race_id,date,pred,label
202607010101,20260314,0.1784614705889864,1
202607010102,20260314,0.1446017886626727,1
202607010103,20260314,0.1432953506691679,1
202607010104,20260314,0.1502672842558821,0
202607010105,20260314,0.1458764978956617,0
202607010106,20260314,0.1522590138030625,0
202607010107,20260314,0.1722931282652967,0
202607010108,20260314,0.1439944445412057,1
202607010109,20260314,0.1492730225914052,0
202607010110,20260314,0.1521288282068164,0
202607010111,20260314,0.1672138868694492,1
202607010112,20260314,0.1311486446481089,0
202606020501,20260314,0.1532453330294712,1
202606020502,20260314,0.1654212677162951,1
202606020503,20260314,0.169354992448496,1
202606020504,20260314,0.2302561158244292,1
202606020505,20260314,0.1988226976964497,0
202606020506,20260314,0.1574649023659729,1
202606020507,20260314,0.1834722115245527,1
202606020508,20260314,0.1507907490291375,1
202606020509,20260314,0.165856199793038,1
202606020510,20260314,0.164323526226143,1
202606020511,20260314,0.1584094431395503,1
202606020512,20260314,0.1458860514200565,0
202609010701,20260314,0.1982245367876736,1
202609010702,20260314,0.1599380887460698,0
202609010703,20260314,0.1674913735178,0
202609010704,20260314,0.1860397796196033,1
202609010705,20260314,0.1742542610871586,1
202609010706,20260314,0.194749209091597,0
202609010707,20260314,0.1630161503254485,0
202609010708,20260314,0.2008423744472429,1
202609010709,20260314,0.1391963459638832,1
202609010710,20260314,0.1750338241879171,1
202609010711,20260314,0.1664454231935292,1
202609010712,20260314,0.1669098857095986,1
202607010201,20260315,0.5709260706575364,1
202607010202,20260315,0.7250816846996513,1
202607010203,20260315,0.7200112456116162,1
202607010204,20260315,0.514198123917567,0
202607010205,20260315,0.6202150013535307,1
202607010206,20260315,0.5370296897666201,1
202607010207,20260315,0.5263278751891399,1
202607010208,20260315,0.5618555693118805,1
202607010209,20260315,0.5531893472533376,1
202607010210,20260315,0.623604259493318,0
202607010211,20260315,0.4378305593514099,1
202607010212,20260315,0.4325288559467776,1
202606020601,20260315,0.6319532787752772,1
202606020602,20260315,0.6223860754032218,1
202606020603,20260315,0.6712962535353569,1
202606020604,20260315,0.6309534608024486,0
202606020605,20260315,0.5405523261311778,0
202606020606,20260315,0.5566175685439928,0
202606020607,20260315,0.6181903726810316,1
202606020608,20260315,0.633618426143545,1
202606020609,20260315,0.5685283195671728,0
202606020610,20260315,0.5790445251085166,1
202606020611,20260315,0.5838585348965655,0
202606020612,20260315,0.4772249591719632,0
202609010801,20260315,0.5786879572705415,1
202609010802,20260315,0.5387948032042427,1
202609010803,20260315,0.7054637607983922,1
202609010805,20260315,0.4614999851213072,0
202609010806,20260315,0.6592746120592851,1
202609010807,20260315,0.5665108855937582,1
202609010808,20260315,0.570341352102356,0
202609010809,20260315,0.5479448768542489,1
202609010810,20260315,0.6019849751284633,1
202609010811,20260315,0.5422256735717359,0
202609010812,20260315,0.5904293331088143,1
202607010301,20260321,0.2052854922670149,1
202607010302,20260321,0.1458412110033221,0
202607010303,20260321,0.1824365504219169,0
202607010304,20260321,0.1481938332421322,1
202607010305,20260321,0.1963943043943472,1
202607010306,20260321,0.1521588409636907,0
202607010307,20260321,0.1429541484318891,1
202607010308,20260321,0.1437044622275806,1
202607010309,20260321,0.1433820546608181,0
202607010310,20260321,0.1587559958530864,0
202607010311,20260321,0.175727477708343,0
202607010312,20260321,0.1481114413018812,1
202606020701,20260321,0.1388615311152165,0
202606020702,20260321,0.1450020309575671,1
202606020703,20260321,0.1454118100719351,0
202606020704,20260321,0.1881817950128644,1
202606020705,20260321,0.2022631939498458,1
202606020706,20260321,0.1820136832057633,0
202606020707,20260321,0.1414013301995415,0
202606020709,20260321,0.1538547485341401,0
202606020710,20260321,0.1366106360529898,0
202606020711,20260321,0.1626482394370987,1
202606020712,20260321,0.1614262176865444,1
202609010901,20260321,0.1524053300575047,0
202609010902,20260321,0.1853006713822502,0
202609010903,20260321,0.1467484806353726,1
202609010904,20260321,0.1681505993501162,0
202609010905,20260321,0.1480252618061767,0
202609010906,20260321,0.1527305845495118,0
202609010907,20260321,0.154784461238217,1
202609010908,20260321,0.1470662485059799,1
202609010909,20260321,0.1417161855975013,0
202609010910,20260321,0.1386887605982875,0
202609010911,20260321,0.1652275203957375,1
202609010912,20260321,0.151566566221618,0
202606030501,20260411,0.4953789445774054,1
202606030502,20260411,0.3046032816421806,0
202606030503,20260411,0.5890845694703994,0
202606030505,20260411,0.3734625060427076,1
202606030506,20260411,0.3342060564198846,1
202606030507,20260411,0.343992249044774,1
202606030508,20260411,0.4543649155305113,1
202606030509,20260411,0.3655749097115006,1
202606030510,20260411,0.5363127677061262,0
202606030511,20260411,0.4338932668182932,0
202606030512,20260411,0.5364715673920716,0
202603010101,20260411,0.5032850173770935,1
202603010102,20260411,0.3075306708351781,1
202603010103,20260411,0.2954948889048194,1
202603010104,20260411,0.3018261670091832,0
202603010105,20260411,0.3436382656733159,1
202603010106,20260411,0.3938819959962816,1
202603010107,20260411,0.4268489250266457,0
202603010108,20260411,0.4413206167865905,0
202603010109,20260411,0.4453038458986007,0
202603010110,20260411,0.485857796706617,1
202603010111,20260411,0.6563198303571404,1
202603010112,20260411,0.4061264303167308,0
202609020501,20260411,0.4307784458419051,1
202609020502,20260411,0.3782368479032824,1
