jockey_id,jockey,total_races,wins,top3,total_prize,win_rate,top3_rate,turf_races,turf_wins,turf_top3,turf_wr,dirt_races,dirt_wins,dirt_top3,dirt_wr,sprint_races,sprint_wins,sprint_wr,mile_races,mile_wins,mile_wr,middle_races,middle_wins,middle_wr,long_races,long_wins,long_wr
00726,岩部純二,1611,31,106,46746,0.019242706393544383,0.06579764121663563,615.0,11.0,42.0,0.01788617886178862,996.0,20.0,64.0,0.020080321285140562,928.0,25.0,0.02693965517241379,559.0,5.0,0.008944543828264758,104.0,1.0,0.009615384615384616,20.0,0.0,0.0
00727,植野貴也,542,51,156,114187,0.0940959409594096,0.2878228782287823,377.0,37.0,97.0,0.09814323607427056,165.0,14.0,59.0,0.08484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,51.0,0.0940959409594096
00732,幸英明,9366,645,2099,1341374,0.06886611146700833,0.22410847747170617,4481.0,259.0,908.0,0.05779959830395001,4885.0,386.0,1191.0,0.0790174002047083,3837.0,288.0,0.07505863956215794,3726.0,253.0,0.06790123456790123,1527.0,86.0,0.056319580877537655,276.0,18.0,0.06521739130434782
00733,吉田豊,5089,267,922,565314,0.05246610336018864,0.1811750835134604,2335.0,110.0,378.0,0.047109207708779445,2754.0,157.0,544.0,0.0570079883805374,1758.0,90.0,0.051194539249146756,2411.0,122.0,0.05060141020323517,665.0,38.0,0.05714285714285714,255.0,17.0,0.06666666666666667
00815,川原正一,27,0,3,1200,0.0,0.1111111111111111,12.0,0.0,1.0,0.0,15.0,0.0,2.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
00817,的場文男,8,0,1,180,0.0,0.125,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
00837,井上俊彦,8,0,1,640,0.0,0.125,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00843,モッセ,3,0,1,1240,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00856,ベイズ,4,0,0,230,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
00875,デットー,29,9,14,10910,0.3103448275862069,0.4827586206896552,22.0,7.0,12.0,0.3181818181818182,7.0,2.0,2.0,0.2857142857142857,5.0,1.0,0.2,14.0,4.0,0.2857142857142857,7.0,3.0,0.42857142857142855,3.0,1.0,0.3333333333333333
00878,ジャルネ,7,0,0,310,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
00894,小牧太,2890,162,501,311466,0.056055363321799306,0.17335640138408304,1200.0,57.0,193.0,0.0475,1690.0,105.0,308.0,0.0621301775147929,1252.0,56.0,0.04472843450479233,1153.0,79.0,0.06851691240242845,395.0,24.0,0.060759493670886074,90.0,3.0,0.03333333333333333
01004,西田雄一,1560,40,146,80788,0.02564102564102564,0.09358974358974359,746.0,22.0,77.0,0.029490616621983913,814.0,18.0,69.0,0.022113022113022112,894.0,30.0,0.03355704697986577,493.0,7.0,0.014198782961460446,122.0,1.0,0.00819672131147541,51.0,2.0,0.0392156862745098
01005,西谷誠,428,49,147,123650,0.11448598130841121,0.34345794392523366,296.0,36.0,103.0,0.12162162162162163,132.0,13.0,44.0,0.09848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,49.0,0.11448598130841121
01008,山本康志,409,25,91,49985,0.061124694376528114,0.22249388753056235,310.0,21.0,67.0,0.06774193548387097,99.0,4.0,24.0,0.04040404040404041,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,404.0,25.0,0.06188118811881188
01009,柴田大知,6731,268,1067,604694,0.03981577774476304,0.15852027930470955,3714.0,167.0,657.0,0.04496499730748519,3017.0,101.0,410.0,0.033476963871395427,2198.0,83.0,0.03776160145586897,3129.0,111.0,0.03547459252157239,1118.0,53.0,0.04740608228980322,286.0,21.0,0.07342657342657342
01010,柴田未崎,595,11,45,20179,0.018487394957983194,0.07563025210084033,243.0,4.0,23.0,0.01646090534979424,352.0,7.0,22.0,0.019886363636363636,225.0,3.0,0.013333333333333334,253.0,5.0,0.019762845849802372,100.0,3.0,0.03,17.0,0.0,0.0
01014,福永祐一,5673,929,2352,2038921,0.16375815265291732,0.41459545214172394,3251.0,575.0,1418.0,0.17686865579821592,2422.0,354.0,934.0,0.14616019818331957,1980.0,305.0,0.15404040404040403,2457.0,424.0,0.17256817256817256,978.0,155.0,0.15848670756646216,258.0,45.0,0.1744186046511628
01015,古川吉洋,5000,250,833,559069,0.05,0.1666,2450.0,116.0,413.0,0.0473469387755102,2550.0,134.0,420.0,0.05254901960784314,2008.0,104.0,0.05179282868525897,2078.0,99.0,0.04764196342637151,708.0,33.0,0.046610169491525424,206.0,14.0,0.06796116504854369
01018,和田竜二,9116,606,2193,1419681,0.06647652479157526,0.24056603773584906,4461.0,299.0,1089.0,0.0670253306433535,4655.0,307.0,1104.0,0.06595059076262083,3604.0,223.0,0.06187569367369589,3751.0,256.0,0.06824846707544655,1464.0,101.0,0.06898907103825136,297.0,26.0,0.08754208754208755
01019,秋山真一,3422,228,726,509855,0.06662770309760374,0.21215663354763295,1861.0,116.0,390.0,0.06233207952713595,1561.0,112.0,336.0,0.07174887892376682,1539.0,107.0,0.06952566601689408,1304.0,82.0,0.06288343558282208,479.0,31.0,0.06471816283924843,100.0,8.0,0.08
01023,江田勇亮,357,18,69,38747,0.05042016806722689,0.19327731092436976,243.0,13.0,48.0,0.053497942386831275,114.0,5.0,21.0,0.043859649122807015,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,345.0,18.0,0.05217391304347826
01025,勝浦正樹,4427,228,809,449665,0.05150214592274678,0.18274226338378133,2289.0,117.0,403.0,0.05111402359108781,2138.0,111.0,406.0,0.0519176800748363,1833.0,103.0,0.05619203491543917,1859.0,98.0,0.052716514254975796,522.0,16.0,0.03065134099616858,213.0,11.0,0.051643192488262914
01026,武幸四郎,499,29,65,46867,0.05811623246492986,0.13026052104208416,224.0,13.0,20.0,0.05803571428571429,275.0,16.0,45.0,0.05818181818181818,217.0,11.0,0.05069124423963134,224.0,17.0,0.07589285714285714,53.0,1.0,0.018867924528301886,5.0,0.0,0.0
01029,武士沢友,3220,66,288,143049,0.020496894409937887,0.08944099378881988,1172.0,17.0,76.0,0.014505119453924915,2048.0,49.0,212.0,0.02392578125,1397.0,23.0,0.0164638511095204,1412.0,36.0,0.025495750708215296,328.0,6.0,0.018292682926829267,83.0,1.0,0.012048192771084338
01030,松田大作,2689,151,500,291712,0.056154704351059875,0.1859427296392711,1304.0,75.0,243.0,0.057515337423312884,1385.0,76.0,257.0,0.054873646209386284,1200.0,62.0,0.051666666666666666,1020.0,56.0,0.054901960784313725,378.0,24.0,0.06349206349206349,91.0,9.0,0.0989010989010989
01031,村田一誠,751,15,63,30755,0.019973368841544607,0.08388814913448735,317.0,6.0,26.0,0.01892744479495268,434.0,9.0,37.0,0.020737327188940093,338.0,4.0,0.011834319526627219,330.0,7.0,0.021212121212121213,57.0,4.0,0.07017543859649122,26.0,0.0,0.0
01032,池添謙一,5510,538,1493,1331219,0.09764065335753176,0.270961887477314,3160.0,321.0,888.0,0.10158227848101266,2350.0,217.0,605.0,0.09234042553191489,2031.0,189.0,0.0930576070901034,2386.0,244.0,0.10226320201173512,848.0,77.0,0.09080188679245282,245.0,28.0,0.11428571428571428
01034,酒井学,5502,214,774,535021,0.038894947291893855,0.1406761177753544,2439.0,84.0,352.0,0.03444034440344403,3063.0,130.0,422.0,0.042442050277505715,2504.0,113.0,0.04512779552715655,2079.0,67.0,0.03222703222703223,749.0,30.0,0.04005340453938585,170.0,4.0,0.023529411764705882
01035,白浜雄造,399,42,124,95021,0.10526315789473684,0.3107769423558897,311.0,25.0,87.0,0.08038585209003216,88.0,17.0,37.0,0.19318181818181818,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,396.0,42.0,0.10606060606060606
01036,竹之下智,420,12,49,31268,0.02857142857142857,0.11666666666666667,166.0,4.0,13.0,0.024096385542168676,254.0,8.0,36.0,0.031496062992125984,212.0,3.0,0.014150943396226415,162.0,9.0,0.05555555555555555,36.0,0.0,0.0,10.0,0.0,0.0
01037,太宰啓介,3884,136,537,312771,0.035015447991761074,0.138259526261586,1625.0,50.0,200.0,0.03076923076923077,2259.0,86.0,337.0,0.038069942452412575,1769.0,56.0,0.03165630299604296,1483.0,50.0,0.033715441672285906,564.0,30.0,0.05319148936170213,68.0,0.0,0.0
