horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
クラッチシュート,2018102898,7,514,56.0,4,牡,1600,ダ,良,,10,1,0,0,7,14,15.0,8,松崎正泰,10,4,202244012506,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ポイントオブオナー,2016104786,14,473,56.0,6,牡,1600,ダ,良,,10,1,0,0,14,14,15.0,8,石川駿介,11,8,202244012506,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
フィッツカラルド,2018106468,5,518,56.0,4,牡,1600,ダ,良,,10,1,0,0,5,14,15.0,8,藤田凌,12,3,202244012506,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
サイレンスディガ,2014102518,13,452,54.0,8,牝,1600,ダ,良,,10,1,0,1,13,14,15.0,8,遠藤健太,13,7,202244012506,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
リュウールドレ,2018102222,9,414,54.0,4,牝,1600,ダ,良,,10,1,0,1,9,14,15.0,8,達城龍次,14,5,202244012506,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
イッツソーラッド,2018101681,9,512,56.0,4,牡,1600,ダ,良,,10,1,0,0,9,16,15.0,8,森泰斗,1,5,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
サンビースト,2017106163,11,543,56.0,5,牡,1600,ダ,良,,10,1,0,0,11,16,15.0,8,的場文男,2,6,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ガーネットクロス,2015102362,16,562,56.0,7,セ,1600,ダ,良,,10,1,0,2,16,16,15.0,8,張田昂,3,8,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ハッピーパワポケ,2017101618,14,473,53.0,5,牡,1600,ダ,良,,10,1,0,0,14,16,15.0,8,菅原涼太,4,7,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
セイウンヒュージ,2017110149,4,494,56.0,5,牡,1600,ダ,良,,10,1,0,0,4,16,15.0,8,藤田凌,5,2,202244012509,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
