sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
Midnight Lute,5,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,
Highland Reel,5,0.0,0.0,0.0,12.8,0.0,0.0,0.0,,0.0,
Hat Trick,5,0.0,0.2,0.2,7.0,0.25,0.0,,0.3333,0.0,
ネイティヴハート,5,0.0,0.0,0.0,7.4,0.0,,0.0,0.0,0.0,
King's Best,5,0.0,0.2,0.2,7.4,0.25,0.0,0.0,,0.3333,
フィガロ,5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,
メジロダイボサツ,5,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,,
Verrazano,5,0.2,0.4,0.4,5.4,0.0,0.5,0.5,0.5,0.0,
Will Take Charge,5,0.2,0.4,0.4,3.4,,0.4,0.3333,,0.5,
ポアゾンブラック,5,0.2,0.2,0.2,4.8,0.0,0.25,0.25,0.0,,
ミッキースワロー,5,0.0,0.0,0.4,4.6,0.4,,,0.5,0.3333,
Take Charge Indy,5,0.2,0.4,0.6,6.0,0.0,1.0,0.6667,0.5,,
ワールドプレミア,5,0.2,0.2,0.2,8.0,0.25,0.0,,,0.25,
Tiz the Law,5,0.2,0.4,0.6,4.8,0.3333,1.0,0.5,,0.6667,
Too Darn Hot,5,0.2,0.4,0.4,6.0,0.5,0.0,0.5,0.0,,
Discreet Cat,5,0.2,0.6,0.6,3.2,1.0,0.5,0.5,,1.0,
リッカロイヤル,5,0.0,0.0,0.0,11.2,0.0,0.0,0.0,,0.0,
ロッコウオロシ,5,0.2,0.2,0.2,9.2,0.2,,0.0,0.3333,0.0,
Animal Kingdom,5,0.0,0.0,0.2,7.0,0.25,0.0,1.0,0.0,0.0,
Almanzor,5,0.2,0.2,0.2,8.0,0.2,,1.0,0.0,0.0,
ヴィットリオドーロ,5,0.2,0.2,0.2,5.4,,0.2,0.3333,,0.0,
