sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
ポエティックフレア,26,0.1154,0.3077,0.5385,4.85,0.5652,0.3333,0.3333,0.5385,0.6667,
ヘンリーバローズ,26,0.0769,0.2308,0.3077,6.35,0.3158,0.2857,0.2308,0.3333,0.4,
ヒルノダムール,26,0.1154,0.1154,0.1154,9.19,0.0909,0.25,0.2,0.125,0.0,
バンブーエール,26,0.0,0.0385,0.0769,9.46,0.0,0.0909,0.1053,0.0,0.0,
ダノンシャーク,26,0.0,0.0,0.0,11.46,0.0,0.0,0.0,0.0,0.0,
スタチューオブリバティ,25,0.04,0.04,0.32,7.92,0.375,0.2941,0.3,0.5,0.3333,
フォーティナイナーズサン,25,0.04,0.16,0.24,8.04,0.0,0.375,0.2667,0.2,0.2,
エイシンアポロン,25,0.16,0.16,0.2,9.16,0.2143,0.1818,0.2857,0.2,0.0,
ヴァンゴッホ,25,0.04,0.12,0.12,8.28,0.1429,0.0909,0.0909,0.0,0.2222,
オウケンブルースリ,24,0.0,0.0417,0.0833,9.33,0.1053,0.0,0.0,0.1111,0.0,
テイエムオペラオー,24,0.0417,0.125,0.1667,9.58,0.2353,0.0,0.2105,0.0,0.0,
Saxon Warrior,24,0.0,0.0833,0.2083,6.71,0.2381,0.0,0.25,0.0,0.2143,
オンファイア,23,0.0,0.0435,0.1304,9.22,0.0909,0.1667,0.1667,0.0,0.2,
Kitten's Joy,23,0.1304,0.2174,0.2609,7.17,0.2857,0.0,0.0,0.2857,0.375,
レーヴミストラル,23,0.0,0.0,0.0435,10.52,0.0769,0.0,0.0,0.1429,0.0,
アドミラブル,22,0.0909,0.1364,0.1818,9.05,0.1538,0.2222,0.3333,0.0,0.1429,
エピカリス,22,0.0455,0.0455,0.0909,9.32,0.2,0.0588,0.1818,0.0,0.0,
ガルボ,22,0.0,0.0909,0.0909,7.86,0.1053,0.0,0.0,0.0,0.1429,
ミュゼスルタン,21,0.0476,0.0476,0.1429,9.14,0.1538,0.125,0.0769,0.3333,0.2,
エポカドーロ,21,0.0,0.0,0.0476,10.19,0.0588,0.0,0.0,0.0,0.1667,
ブライアンズタイム,21,0.0476,0.0476,0.0476,8.52,0.0,0.0714,0.0,0.0,0.1,
アスカクリチャン,21,0.0,0.0,0.0476,11.62,0.0714,0.0,0.0,0.3333,0.0,
ヤマニンセラフィム,20,0.0,0.0,0.1,10.05,0.0909,0.1111,0.1111,0.0,0.125,
