kaisai_key,yyyymmdd,course_name,kaisai_ku,weather_code,turf_baba_code,turf_baba_sa,turf_baba_inner,turf_baba_mid,turf_baba_outer,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_sa,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,turf_type,grass_height,rain_mid,renzoku_day,data_ku
2020050106,20200216,東京,1,4,2 ,-6.0,2,1,1,0.0,0.0,0.0,0.0,0.0,3 ,-17.0,1,1,1,3,16.0,0.0,6,4
2020080206,20200216,京都,2,4,3 ,20.0,3,3,3,2.0,2.0,1.0,1.0,1.0,4 ,-17.0,1,1,1,3,14.0,8.0,15,4
2020100110,20200216,小倉,3,4,3 ,25.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-20.0,1,1,1,3,16.0,26.5,10,4
2020050107,20200222,東京,1,2,1 ,-4.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-8.0,2,2,2,3,16.0,0.0,7,4
2020080207,20200222,京都,2,2,1 ,10.0,3,3,3,2.0,2.0,2.0,2.0,2.0,1 ,-1.0,3,3,3,3,16.0,0.0,16,4
2020100111,20200222,小倉,3,4,2 ,20.0,3,3,3,2.0,2.0,1.0,1.0,1.0,2 ,-8.0,2,2,2,3,16.0,2.0,11,4
2020050108,20200223,東京,1,1,1 ,-4.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,16.0,0.0,8,4
2020080208,20200223,京都,2,1,3 ,30.0,3,3,3,2.0,2.0,2.0,2.0,2.0,4 ,-17.0,1,1,1,3,16.0,0.0,17,4
2020100112,20200223,小倉,3,1,2 ,20.0,4,3,3,3.0,3.0,2.0,2.0,2.0,4 ,-20.0,1,1,1,3,16.0,2.0,12,4
2020060201,20200229,中山,1,1,1 ,-13.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,4.5,1,4
2020070101,20200229,中京,3,2,1 ,-12.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-3.0,2,2,2,3,18.0,7.5,1,4
2020090101,20200229,阪神,2,2,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,6.5,1,4
2020060202,20200301,中山,1,1,1 ,-13.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,4.5,2,4
2020070102,20200301,中京,3,1,1 ,-12.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-3.0,2,2,2,3,18.0,7.5,2,4
2020090102,20200301,阪神,2,2,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,3,16.0,6.5,2,4
2020060203,20200307,中山,1,2,1 ,-13.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,12.0,3,4
2020070103,20200307,中京,3,1,1 ,-18.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,5.5,3,4
2020090103,20200307,阪神,2,1,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,3,16.0,13.0,3,4
2020060204,20200308,中山,1,4,1 ,-13.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,12.0,4,4
2020070104,20200308,中京,3,4,2 ,-10.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,3 ,-15.0,1,1,1,3,16.0,5.5,4,4
2020090104,20200308,阪神,2,4,2 ,-3.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,13.0,4,4
2020060205,20200314,中山,1,4,2 ,6.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,14.0,15.5,5,4
2020070105,20200314,中京,3,4,2 ,5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-15.0,1,1,1,3,16.0,41.0,5,4
2020090105,20200314,阪神,2,4,2 ,0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,10.5,3,4
2020060206,20200315,中山,1,1,2 ,6.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,14.0,15.5,6,4
2020070106,20200315,中京,3,1,2 ,5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-3.0,2,2,2,3,16.0,41.0,6,4
2020090106,20200315,阪神,2,1,2 ,0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,10.5,6,4
2020060207,20200320,中山,1,1,1 ,-5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-11.0,2,2,2,3,14.0,0.0,7,4
2020090107,20200320,阪神,2,1,1 ,-11.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,1.0,7,4
2020060208,20200321,中山,1,1,1 ,-5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,0.0,8,4
2020090108,20200321,阪神,2,1,1 ,-11.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,1.0,8,4
2020060209,20200322,中山,1,1,1 ,-5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,0.0,9,4
2020090109,20200322,阪神,2,2,1 ,-11.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,1.0,9,4
2020060301,20200328,中山,1,4,2 ,-6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,14.0,2.5,10,4
2020070107,20200328,中京,3,4,3 ,5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-17.0,1,1,1,3,16.0,3.0,7,4
2020090201,20200328,阪神,2,4,4 ,15.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-21.0,1,1,1,3,16.0,5.0,10,4
2020060302,20200329,中山,1,6,3 ,-3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-23.0,1,1,1,3,14.0,2.5,11,4
2020070108,20200329,中京,3,4,3 ,5.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-17.0,1,1,1,3,16.0,3.0,8,4
2020090202,20200329,阪神,2,4,3 ,2.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-21.0,1,1,1,3,16.0,5.0,11,4
2020060302,20200331,中山,1,2,2 ,-7.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,14.0,2.5,11,4
2020060303,20200404,中山,1,1,1 ,-3.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,31.0,12,4
2020090203,20200404,阪神,2,1,1 ,-8.0,2,2,2,0.0,0.0,0.0,0.0,0.0,2 ,-9.0,2,2,2,3,16.0,22.5,12,4
2020060304,20200405,中山,1,2,1 ,-3.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,14.0,31.0,13,4
2020090204,20200405,阪神,2,1,1 ,-8.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,22.5,13,4
2020030101,20200411,福島,3,1,1 ,-16.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,0.0,1,4
2020060305,20200411,中山,1,1,1 ,-6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,3,3,3,3,16.0,1.0,14,4
2020090205,20200411,阪神,2,1,1 ,-8.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,3,3,3,3,16.0,0.0,14,4
2020030102,20200412,福島,3,2,1 ,-16.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,0.0,2,4
2020060306,20200412,中山,1,2,2 ,0.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-11.0,2,2,2,3,16.0,1.0,15,4
2020090206,20200412,阪神,2,4,2 ,4.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,0.0,15,4
2020030103,20200418,福島,3,4,2 ,2.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-12.0,1,1,1,3,16.0,15.0,3,4
2020060307,20200418,中山,1,4,2 ,3.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,16.0,66.5,16,4
2020090207,20200418,阪神,2,4,3 ,15.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,14.0,16,4
2020030104,20200419,福島,3,2,3 ,13.0,2,2,2,0.0,0.0,0.0,0.0,0.0,3 ,-12.0,1,1,1,3,16.0,15.0,4,4
2020060308,20200419,中山,1,1,3 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,4 ,-23.0,1,1,1,3,16.0,66.5,17,4
2020090208,20200419,阪神,2,2,2 ,10.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-14.0,1,1,1,3,16.0,14.0,17,4
2020030105,20200425,福島,3,1,1 ,4.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,6.0,5,4
2020050201,20200425,東京,1,1,1 ,-18.0,1,1,1,1.0,1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,20.0,10.5,1,4
2020080301,20200425,京都,2,1,1 ,-8.0,2,1,1,0.0,0.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,18.5,1,4
2020030106,20200426,福島,3,1,1 ,4.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-3.0,3,3,3,3,16.0,6.0,6,4
2020050202,20200426,東京,1,1,1 ,-18.0,1,1,1,1.0,1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,20.0,10.5,2,4
2020080302,20200426,京都,2,2,1 ,-8.0,2,1,1,0.0,0.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,18.5,2,4
