race_id,upset_level,top_popularity_reliability
202001010101,0,
202001010102,0,
202001010101,0,
202001010103,0,
202001010102,0,
202001010104,0,
202001010103,0,
202001010105,0,
202001010104,0,
202001010106,0,
202001010105,0,
202001010107,0,
202001010106,0,
202001010108,0,
202001010107,0,
202001010109,0,
202001010108,0,
202001010110,0,
202001010109,0,
202001010111,0,
202001010110,0,
202001010112,0,
202001010111,0,
202001010201,0,
202001010112,0,
202001010202,0,
202001010201,0,
202001010203,0,
202001010202,0,
202001010204,0,
202001010203,0,
202001010205,0,
202001010204,0,
202001010206,0,
202001010205,0,
202001010207,0,
202001010206,0,
202001010208,0,
202001010207,0,
202001010209,0,
202001010208,0,
202001010210,0,
202001010209,0,
202001010211,0,
202001010210,0,
202001010212,0,
202001010211,0,
202001010301,0,
202001010212,0,
202001010302,0,
202001010301,0,
202001010303,0,
202001010302,0,
202001010304,0,
202001010303,0,
202001010305,0,
202001010306,0,
202001010304,0,
202001010307,0,
202001010305,0,
202001010306,0,
202001010308,0,
202001010307,0,
202001010309,0,
202001010308,0,
202001010310,0,
202001010311,0,
202001010309,0,
202001010310,0,
202001010312,0,
202001010401,0,
202001010311,0,
202001010312,0,
202001010402,0,
202001010401,0,
202001010403,0,
202001010402,0,
202001010404,0,
202001010405,0,
202001010403,0,
202001010406,0,
202001010404,0,
202001010407,0,
202001010405,0,
202001010408,0,
202001010406,0,
202001010407,0,
202001010409,0,
202001010408,0,
202001010410,0,
202001010411,0,
202001010409,0,
202001010412,0,
202001010410,0,
202001010411,0,
202001010501,0,
202001010412,0,
202001010502,0,
202001010501,0,
202001010503,0,
202001010502,0,
202001010504,0,
202001010503,0,
202001010505,0,
202001010504,0,
202001010506,0,
202001010505,0,
202001010507,0,
202001010506,0,
202001010508,0,
202001010509,0,
202001010507,0,
202001010508,0,
202001010510,0,
202001010509,0,
202001010511,0,
202001010510,0,
202001010512,0,
202001010511,0,
202001010601,0,
202001010602,0,
202001010512,0,
202001010603,0,
202001010601,0,
202001010602,0,
202001010604,0,
