race_id,year,month,course,course_enc,distance,surface,condition,num_horses,class_code,class_label,cond_key,actual_top3,ai_top3,trio_hit,trio_invest,trio_return,umaren_hit,umaren_invest,umaren_return,wide_hit,wide_invest,wide_return,combo_hit,combo_invest,combo_return
07182611,2018,3,中京,6,1200,芝,良,18,195,G1,D,"{1: 9, 2: 8, 3: 7}","[6, 13, 9]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
07183211,2018,7,中京,6,1200,芝,良,18,163,G2G3,D,"{1: 8, 2: 10, 3: 9}","[18, 12, 6]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
06184911,2018,9,中山,5,1200,芝,稍,16,195,G1,D,"{1: 8, 2: 9, 3: 1}","[8, 9, 12]",False,700,0,True,700,15533.0,True,700,4658.5,True,1000,14422.5
06182810,2018,3,中山,5,1200,ダ,良,16,131,OP,D,"{1: 15, 2: 14, 3: 16}","[8, 6, 11]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08183811,2018,5,京都,7,1400,ダ,不,16,131,OP,D,"{1: 6, 2: 12, 3: 2}","[8, 1, 6]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
08181511,2018,1,京都,7,2400,芝,良,12,179,G2G3,A,"{1: 7, 2: 2, 3: 9}","[3, 7, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
10181411,2018,2,小倉,9,1800,芝,良,16,163,G2G3,C,"{1: 13, 2: 16, 3: 1}","[13, 6, 1]",False,700,0,False,700,0.0,True,700,1085.0,True,1000,775.0
06182210,2018,2,中山,5,1200,ダ,良,10,67,2win,D,"{1: 6, 2: 3, 3: 5}","[6, 3, 1]",True,700,1641,True,700,2019.5,True,700,605.5,True,1000,1875.0
06183110,2018,3,中山,5,1200,ダ,稍,16,67,2win,D,"{1: 10, 2: 4, 3: 11}","[4, 15, 11]",False,700,0,False,700,0.0,True,700,1687.0,True,1000,1205.0
05182812,2018,5,東京,4,1400,ダ,重,14,67,2win,D,"{1: 9, 2: 11, 3: 6}","[11, 12, 8]",False,700,0,False,700,0.0,False,700,0.0,False,1000,0.0
