race_id,horse_id,corner_position_delta,jockey_trainer_combo_top3_exp
0919331113,10101667.0,-2.0,0.07142857142857142
1021121112,10101667.0,-7.0,0.09316770186335403
0118111101,10101767.0,,
0118131107,10101767.0,0.0,0.0
0118231104,10101767.0,-1.0,
0218211110,10101767.0,-5.0,0.09375
0519121006,10101767.0,1.0,0.16129032258064516
0618131001,10101767.0,0.0,0.0
0618251005,10101767.0,2.0,0.09090909090909091
0618431103,10101767.0,1.0,0.07920792079207921
0818431001,10101767.0,1.0,0.0
0819120903,10101767.0,-5.0,0.0
0819260909,10101767.0,0.0,
0918241002,10101767.0,-1.0,0.09090909090909091
0918521109,10101767.0,0.0,0.0
0318230101,10101798.0,,
0318340505,10101798.0,0.0,0.0
0320330409,10101798.0,1.0,0.0
0419170402,10101798.0,1.0,0.5
0518350401,10101798.0,-2.0,0.3333333333333333
0519370803,10101798.0,4.0,0.42857142857142855
0519550802,10101798.0,-2.0,0.375
0618450410,10101798.0,0.0,0.3333333333333333
0618480409,10101798.0,1.0,0.4
0619260412,10101798.0,-1.0,0.45454545454545453
0619460805,10101798.0,0.0,0.5
0619571014,10101798.0,-1.0,0.46153846153846156
0620270809,10101798.0,-1.0,0.0
0620571013,10101798.0,-2.0,0.0
0818120413,10101798.0,3.0,0.42857142857142855
0918520403,10101798.0,0.0,0.375
0919230805,10101798.0,0.0,0.4117647058823529
0318140405,10101834.0,,0.0
0818121008,10101884.0,,0.29310344827586204
0818221008,10101884.0,0.0,
0818381009,10101884.0,-2.0,0.0
1018161108,10101884.0,-8.0,0.29411764705882354
0418281107,10101958.0,,
0618311010,10101958.0,-9.0,0.4444444444444444
0918411102,10101958.0,-3.0,0.32142857142857145
0718141014,10101965.0,,
0818251010,10101965.0,0.0,0.25
1018151102,10101965.0,-2.0,0.18181818181818182
0220211206,10101988.0,,
0320231008,10101988.0,-6.0,
0419231004,10101988.0,-8.0,0.0
0518180809,10101988.0,-12.0,0.0
0519180801,10101988.0,-9.0,
0519340910,10101988.0,-7.0,0.0
0519521207,10101988.0,-16.0,0.0
0519540902,10101988.0,-12.0,0.0
0520141203,10101988.0,-1.0,0.04878048780487805
0520161209,10101988.0,-4.0,
0520220903,10101988.0,-11.0,0.0
0520230905,10101988.0,-1.0,0.1
0520260807,10101988.0,-10.0,0.0
0520480908,10101988.0,-7.0,
0520561206,10101988.0,-10.0,0.0
0520580808,10101988.0,-8.0,0.0
0618121212,10101988.0,-8.0,0.0
0618211013,10101988.0,0.0,0.0
0618260908,10101988.0,1.0,0.0
0618320904,10101988.0,-9.0,0.0
0619211011,10101988.0,1.0,0.0
0619320910,10101988.0,-4.0,0.03636363636363636
0619450908,10101988.0,-5.0,0.0
0619481003,10101988.0,-1.0,0.0
0619531208,10101988.0,-1.0,0.0
0719351010,10101988.0,-4.0,
0919581009,10101988.0,-5.0,
0920451006,10101988.0,-3.0,0.1
0618221010,10102007.0,,0.0
0618311009,10102007.0,-9.0,0.0
0818171011,10102007.0,-9.0,
0918381008,10102007.0,-12.0,
0418130404,10102111.0,,0.2222222222222222
0518160812,10102111.0,4.0,0.3125
0718110501,10102111.0,-3.0,0.3157894736842105
0718230510,10102111.0,-1.0,0.3103448275862069
0718160406,10102202.0,,0.6
1018141218,10102202.0,1.0,0.4
0418111114,10102214.0,,0.0
0618211009,10102214.0,-14.0,0.3333333333333333
0718151112,10102214.0,1.0,
0418230410,10102243.0,,0.0
0418340412,10102243.0,-2.0,0.0
0518111108,10102243.0,-3.0,0.23809523809523808
0518251011,10102243.0,-10.0,0.0
0518291103,10102243.0,0.0,0.21739130434782608
0619221106,10102243.0,-13.0,0.14814814814814814
0719150413,10102243.0,0.0,0.2
0818151105,10102243.0,-2.0,0.0
0518160808,10102402.0,,0.0
0618130801,10102402.0,-2.0,0.0
0718230502,10102402.0,-5.0,
0618261210,10102405.0,,0.28125
0618580802,10102405.0,-9.0,0.2727272727272727
0818131205,10102405.0,-15.0,0.25
0918240806,10102405.0,-16.0,0.17647058823529413
0918321005,10102405.0,-16.0,1.0
0518181105,10102446.0,,
0818521107,10102446.0,-13.0,0.29180327868852457
0618581113,10102459.0,,0.8
0818341116,10102459.0,-3.0,0.6666666666666666
0818431109,10102459.0,2.0,0.0
0818541111,10102459.0,6.0,0.45454545454545453
0918241106,10102459.0,1.0,0.3333333333333333
0918381114,10102459.0,-7.0,0.4805194805194805
0418180412,10102500.0,,
0618521002,10102500.0,-2.0,0.0
0919120408,10102500.0,-13.0,0.375
0618150909,10102514.0,,1.0
0218131103,10102569.0,,0.375
0718361102,10102569.0,-1.0,0.0
0818161101,10102569.0,-5.0,0.0
0818281113,10102569.0,-2.0,0.0
0818331102,10102569.0,-11.0,0.3709677419354839
0818381109,10102569.0,-7.0,0.25
0918151110,10102569.0,-9.0,0.17142857142857143
0918231101,10102569.0,-7.0,0.5
0418130406,10102603.0,,0.0
0718310412,10102603.0,0.0,
0418120410,10102630.0,,0.4444444444444444
0418170111,10102630.0,-1.0,0.4
0418290813,10102637.0,,
0419170411,10102637.0,-5.0,1.0
0420110409,10102637.0,2.0,
0618210410,10102637.0,3.0,0.0
0618310801,10102637.0,3.0,0.5
0618371104,10102637.0,0.0,0.6666666666666666
0718160409,10102637.0,-8.0,0.6
0719310405,10102637.0,2.0,0.6
0518371108,10102853.0,,0.0
0618231003,10102853.0,-8.0,0.09090909090909091
0618371012,10102853.0,-3.0,0.08333333333333333
0818361011,10102853.0,-3.0,
0918140803,10102884.0,,0.041666666666666664
1018121018,10102884.0,-2.0,0.0
0518450904,10102928.0,,0.6666666666666666
0618371105,10102928.0,0.0,0.5
0618571010,10102928.0,2.0,0.4
0619371108,10102928.0,3.0,0.3333333333333333
0619571010,10102928.0,0.0,0.25
0620270813,10102928.0,1.0,0.2222222222222222
0720230804,10102928.0,0.0,
0818370805,10102928.0,0.0,0.3333333333333333
0819530805,10102928.0,0.0,0.38461538461538464
0820370802,10102928.0,1.0,0.42857142857142855
0918150803,10102928.0,-1.0,0.4
0919150805,10102928.0,0.0,0.4375
0318241109,10103004.0,,
0518291108,10103004.0,-8.0,0.18181818181818182
0518341114,10103004.0,-4.0,0.19298245614035087
0418290808,10103013.0,,0.0
0518311115,10103013.0,2.0,0.5
0518370805,10103013.0,-11.0,0.0
0518450910,10103013.0,1.0,0.5
0618571006,10103013.0,1.0,0.6666666666666666
0619371110,10103013.0,1.0,0.75
0919150801,10103013.0,2.0,0.7142857142857143
0318110509,10103151.0,,
0518260808,10103151.0,-1.0,0.13157894736842105
0518291212,10103151.0,-2.0,0.2
0618240408,10103151.0,-2.0,0.1111111111111111
0818280401,10103151.0,-5.0,0.05555555555555555
0118111103,10103182.0,,
0118231112,10103182.0,2.0,
0218211106,10103182.0,4.0,0.0
0518431006,10103182.0,3.0,0.1
0618431105,10103182.0,0.0,0.08333333333333333
0418141203,10103203.0,,
0418241015,10103203.0,-15.0,0.2857142857142857
0518291204,10103203.0,-11.0,0.15384615384615385
0518361013,10103203.0,-15.0,0.125
0618321211,10103203.0,-15.0,0.1111111111111111
0618310807,10103225.0,,
0618371103,10103225.0,0.0,0.0
0618571005,10103225.0,2.0,
0619371101,10103225.0,1.0,0.3333333333333333
0818131006,10103248.0,,0.23529411764705882
0818241010,10103248.0,-16.0,0.16666666666666666
0818341215,10103248.0,-8.0,0.14285714285714285
0918131012,10103248.0,-16.0,0.0
0418280410,10103284.0,,0.0
0718130405,10103284.0,-3.0,0.5
0718460409,10103284.0,1.0,0.3469387755102041
0918320409,10103284.0,-1.0,0.5
0518271115,10103303.0,,0.2631578947368421
0718261111,10103303.0,-13.0,0.2916666666666667
0418290810,10103339.0,,0.09090909090909091
0518370811,10103339.0,0.0,0.14285714285714285
0618310805,10103339.0,0.0,0.16129032258064516
0818210804,10103339.0,0.0,0.2
0818530803,10103339.0,0.0,0.16666666666666666
0819210802,10103339.0,0.0,0.21428571428571427
0819370804,10103339.0,0.0,0.2222222222222222
0518161208,10103556.0,,
0518271211,10103556.0,-15.0,0.0
0518321215,10103556.0,-12.0,0.0
0618281207,10103556.0,-14.0,0.0
0618371212,10103556.0,-1.0,0.2
0518180806,10103574.0,,0.0
0718221104,10103602.0,,0.0
0918241110,10103602.0,0.0,0.25
0918311111,10103602.0,1.0,0.5462962962962963
0718141116,10103608.0,,0.10526315789473684
