race_id,upset_level,top_popularity_reliability
202603010101,0,
202603010102,0,
202603010103,0,
202603010104,0,
202603010105,0,
202603010106,0,
202603010107,0,
202603010108,0,
202603010109,0,
202603010110,0,
202603010111,0,
202603010112,0,
202606030501,0,
202606030502,0,
202606030503,0,
202606030504,0,
202606030505,0,
202606030506,0,
202606030507,0,
202606030508,0,
202606030509,0,
202606030510,0,
202606030511,0,
202606030512,0,
202609020501,0,
202609020502,0,
202609020503,0,
202609020504,0,
202609020505,0,
202609020506,0,
202609020507,0,
202609020508,0,
202609020509,0,
202609020510,0,
202609020511,0,
202609020512,0,
202603010201,0,
202603010202,0,
202603010203,0,
202603010204,0,
202603010205,0,
202603010206,0,
202603010207,0,
202603010208,0,
202603010209,0,
202603010210,0,
202603010211,0,
202603010212,0,
202606030601,0,
202606030602,0,
202606030603,0,
202606030604,0,
202606030605,0,
202606030606,0,
202606030607,0,
202606030608,0,
202606030609,0,
202606030610,0,
202606030611,0,
202606030612,0,
202609020601,0,
202609020602,0,
202609020603,0,
202609020604,0,
202609020605,0,
202609020606,0,
202609020607,0,
202609020608,0,
202609020609,0,
202609020610,0,
202609020611,0,
202609020612,0,
