race_id,category,horses
202501010411,上昇度,2フェア9ビヨン14フィー調子偏差値へ
202501010412,能力,3ペリプ6アルマ7マイフタイム指数へ
202501010412,上昇度,6アルマ7マイフ8ボンド調子偏差値へ
202501010501,能力,3モズプ5マルモ12アニマタイム指数へ
202501010501,上昇度,5マルモ8サザン11ルーセ調子偏差値へ
202501010502,能力,2キタノ13コスモ14ハロータイム指数へ
202501010502,上昇度,3アルマ7ネトル13コスモ調子偏差値へ
202501010503,能力,1アセン12マゴイ16セガンタイム指数へ
202501010503,上昇度,7タイキ15ハーフ16セガン調子偏差値へ
202501010504,能力,1エマー4ドゥマ9ホウオタイム指数へ
202501010504,上昇度,4ドゥマ8ヒシカ9ホウオ調子偏差値へ
202501010506,能力,1メイシ3ドゥラ4ビジュタイム指数へ
202501010506,上昇度,9ブルー10アリス15エオア調子偏差値へ
202501010507,能力,3ビーマ6エコロ9サードタイム指数へ
202501010507,上昇度,6エコロ8アイフ11スパー調子偏差値へ
202501010508,能力,1エンプ4ナリタ5リュミタイム指数へ
202501010508,上昇度,1エンプ4ナリタ11カンカ調子偏差値へ
202501010509,能力,3キング4マイネ8ウインタイム指数へ
202501010509,上昇度,1チャイ6ワオン7ロスト調子偏差値へ
202501010510,能力,3リッチ9サクラ11スピータイム指数へ
202501010510,上昇度,1ルーチ3リッチ9サクラ調子偏差値へ
202501010511,能力,2ミッキ3ドゥラ5マテンタイム指数へ
202501010511,上昇度,7テーオ8ペイシ11ブライ調子偏差値へ
202501010512,能力,2サトノ9エフォ10レッドタイム指数へ
202501010512,上昇度,3アッシ4マリブ10レッド調子偏差値へ
202501010601,能力,2ワンモ6ロード13ニャンタイム指数へ
202501010601,上昇度,1ヴンダ2ワンモ9リフレ調子偏差値へ
202501010602,能力,1タイセ7ダーカ11タッカタイム指数へ
202501010602,上昇度,2ジーク5メイシ9エイシ調子偏差値へ
202501010603,能力,3ストレ5スイー13アルデタイム指数へ
202501010603,上昇度,6ルーメ10サイモ13アルデ調子偏差値へ
202501010604,能力,1メイシ12ジョー13マーウタイム指数へ
202501010604,上昇度,3レッド5ワンダ8ゴール調子偏差値へ
202501010606,能力,3クラシ7キング14ヤマニタイム指数へ
202501010606,上昇度,1ベレー5ブリリ6デンジ調子偏差値へ
202501010607,能力,5ムチャ6スプリ14サンポタイム指数へ
202501010607,上昇度,5ムチャ8エファ15ストレ調子偏差値へ
202501010608,能力,3マシュ7タイヨ9レッドタイム指数へ
202501010608,上昇度,2デルマ6ドーギ9レッド調子偏差値へ
202501010609,能力,1バルナ4トゥル8マイバタイム指数へ
202501010609,上昇度,3リアラ5アオイ9コーラ調子偏差値へ
202501010610,能力,2アルゲ3アニト4ヨウシタイム指数へ
202501010610,上昇度,10アンド12テラス13レッド調子偏差値へ
202501010611,能力,9ゾンニ11フィオ12ジョータイム指数へ
202501010611,上昇度,2ダノン3スリー12ジョー調子偏差値へ
202501010612,能力,5オコタ10タイセ12パフタイム指数へ
202501010612,上昇度,4イムホ10タイセ14コパノ調子偏差値へ
202501010701,能力,2ラシッ3エバー5グロリタイム指数へ
202501010701,上昇度,1ハイラ2ラシッ7クリス調子偏差値へ
202501010702,能力,2ユージ12スマー13カスバタイム指数へ
202501010702,上昇度,6グラン7シャイ11メルヘ調子偏差値へ
202501010703,能力,1ステラ5レイア10ディニタイム指数へ
202501010703,上昇度,2キョウ5レイア11ラピル調子偏差値へ
202501010704,能力,2エピフ11リリー14ラウニタイム指数へ
202501010704,上昇度,10ワタシ12デザー13ペタル調子偏差値へ
202501010706,能力,1メイシ5メイユ14トリプタイム指数へ
202501010706,上昇度,4ブラン6ピンク10ミステ調子偏差値へ
202501010707,能力,1デルマ5ペリプ9テイキタイム指数へ
202501010707,上昇度,1デルマ5ペリプ9テイキ調子偏差値へ
202501010708,能力,2ウォー7ゼロス13レイワタイム指数へ
202501010708,上昇度,3ブレイ12ジュン14ファイ調子偏差値へ
202501010709,能力,2ロイヤ4ブラッ8アスクタイム指数へ
202501010709,上昇度,2ロイヤ4ブラッ8アスク調子偏差値へ
202501010710,能力,5カリー7エルサ12ルージタイム指数へ
202501010710,上昇度,4スムー7エルサ9エスペ調子偏差値へ
202501010711,能力,2ラフエ11レッド12ホウオタイム指数へ
202501010711,上昇度,2ラフエ9クロー12ホウオ調子偏差値へ
202501010712,能力,1ルージ2ツーエ4クモヒタイム指数へ
202501010712,上昇度,1ルージ8マーゴ9ジーテ調子偏差値へ
202501010801,能力,3マーゴ6マスキ10ハルヒタイム指数へ
202501010801,上昇度,1トーセ2ニシノ6マスキ調子偏差値へ
202501010802,能力,2ステイ3マブア11オオタタイム指数へ
202501010802,上昇度,2ステイ3マブア10ケイア調子偏差値へ
202501010803,能力,2アクデ7メイシ12ヤマノタイム指数へ
202501010803,上昇度,1クラン10ブライ15ドルチ調子偏差値へ
202501010804,能力,1マナエ3ビービ12エポカタイム指数へ
202501010804,上昇度,1マナエ3ビービ10ボール調子偏差値へ
202501010806,能力,2ペレグ9セイゲ12ミニョタイム指数へ
202501010806,上昇度,3ミルフ5サイモ8イノキ調子偏差値へ
202501010807,能力,1ルナル5ピコロ14ラヴスタイム指数へ
202501010807,上昇度,2クリー3ヒット14ラヴス調子偏差値へ
202501010808,能力,2ホウオ3サンダ13ローズタイム指数へ
202501010808,上昇度,2ホウオ4ディア5オドラ調子偏差値へ
202501010809,能力,6マジカ9マキシ13ミクスタイム指数へ
202501010809,上昇度,11マイネ13ミクス15カップ調子偏差値へ
202501010810,能力,3カンザ8カウス11ルーラタイム指数へ
202501010810,上昇度,2パール8カウス11ルーラ調子偏差値へ
202501010811,能力,5ホウオ8ステレ12アルナタイム指数へ
202501010811,上昇度,5ホウオ8ステレ14アラタ調子偏差値へ
202501010812,能力,2シュバ8ヴァイ13ダンツタイム指数へ
202501010812,上昇度,2シュバ10シテフ12レイピ調子偏差値へ
202501020101,能力,3カデナ5モズプ8ストロタイム指数へ
202501020101,上昇度,5モズプ6トーセ7ユイノ調子偏差値へ
202501020102,能力,6ハイエ7サツキ11ジョイタイム指数へ
202501020102,上昇度,5タマゴ6ハイエ12グラン調子偏差値へ
202501020103,能力,1グラン3リック5ウインタイム指数へ
202501020103,上昇度,5ウイン7エイシ16ピティ調子偏差値へ
202501020104,能力,9ハッピ11ドバイ12キタノタイム指数へ
202501020104,上昇度,3ニコ5タイキ8ハイク調子偏差値へ
202501020106,能力,3パルテ9トレミ10イリスタイム指数へ
202501020106,上昇度,1サウン10イリス14モルビ調子偏差値へ
202501020107,能力,1バスタ4エフォ9サンウタイム指数へ
202501020107,上昇度,4エフォ11サンピ13シャー調子偏差値へ
202501020108,能力,4ベイラ8ビッグ9リアンタイム指数へ
202501020108,上昇度,2リエー3ピスト8ビッグ調子偏差値へ
202501020109,能力,4エスカ5スター6ストータイム指数へ
202501020109,上昇度,1ベラジ3ディア4エスカ調子偏差値へ
202501020110,能力,4ルシー5ゴール13トーセタイム指数へ
202501020110,上昇度,5ゴール6ジャガ14ハート調子偏差値へ
202501020111,能力,2サムハ8スミ10アイスタイム指数へ
202501020111,上昇度,4パトリ7アスク14フクノ調子偏差値へ
202501020112,能力,1ハミル2リーゼ4レイワタイム指数へ
202501020112,上昇度,4レイワ5ロード7アーロ調子偏差値へ
202501020201,能力,3ハグレ5リフレ13ミヤエタイム指数へ
202501020201,上昇度,7マーゴ9ティブ11ユニゾ調子偏差値へ
202501020202,能力,10マルモ11スミッ12アニマタイム指数へ
202501020202,上昇度,4ロイヤ5オンマ7レッド調子偏差値へ
202501020203,能力,1デルマ3デルマ10ジョータイム指数へ
202501020203,上昇度,3デルマ5テンフ8ロイヤ調子偏差値へ
202501020204,能力,9ドラギ10レイデ14ヤマニタイム指数へ
202501020204,上昇度,7ガスパ9ドラギ13ジャス調子偏差値へ
202501020206,能力,1アレク2セガン15キュイタイム指数へ
202501020206,上昇度,2セガン8アイス12エイシ調子偏差値へ
202501020207,能力,2ラブミ3ディニ4カップタイム指数へ
202501020207,上昇度,6スイッ8ミスタ10モダン調子偏差値へ
202501020208,能力,5シンボ9セージ10エンプタイム指数へ
202501020208,上昇度,2アルマ6ミサビ11ウィン調子偏差値へ
202501020209,能力,5ドーギ7マイバ8シンゼタイム指数へ
202501020209,上昇度,1マイネ6コスモ9サング調子偏差値へ
202501020210,能力,3オコタ6チュウ12カプラタイム指数へ
202501020210,上昇度,4マフィ6チュウ14エイブ調子偏差値へ
202501020211,能力,4エーテ10ウイン14カルロタイム指数へ
202501020211,上昇度,6ペアポ10ウイン16カルプ調子偏差値へ
202501020212,能力,1ピンク2ロード9サクソタイム指数へ
202501020212,上昇度,2ロード9サクソ11トーア調子偏差値へ
202501020301,能力,1リバテ3ノアー4コマチタイム指数へ
202501020301,上昇度,3ノアー4コマチ6アスコ調子偏差値へ
202501020302,能力,2ロイヤ3ノチェ6アッカタイム指数へ
202501020302,上昇度,4ブライ6アッカ7チェイ調子偏差値へ
202501020303,能力,2トリプ4ドルチ11ホウオタイム指数へ
202501020303,上昇度,4ドルチ10シヴァ14セレー調子偏差値へ
202501020304,能力,4エピフ7ペール10ワンダタイム指数へ
202501020304,上昇度,4エピフ5マイネ7ペール調子偏差値へ
202501020306,能力,9ストレ13シカレ16ヤマノタイム指数へ
202501020306,上昇度,1バトラ6ラファ15ラース調子偏差値へ
202501020307,能力,4ショウ7ミニョ8キャリタイム指数へ
202501020307,上昇度,4ショウ7ミニョ10ペレグ調子偏差値へ
202501020308,能力,5コスモ6プチブ9ヴェラタイム指数へ
202501020308,上昇度,5コスモ6プチブ11スズノ調子偏差値へ
202501020309,能力,1ユウフ7スター13ショウタイム指数へ
202501020309,上昇度,8ウチュ12シーグ13ショウ調子偏差値へ
202501020310,能力,5ソムリ8サンド10タイセタイム指数へ
202501020310,上昇度,4オルゴ5ソムリ13ポルポ調子偏差値へ
202501020311,能力,7ショウ9デルマ10ミラータイム指数へ
202501020311,上昇度,7ショウ9デルマ13バニシ調子偏差値へ
202501020312,能力,4サンポ7ザング13ウィンタイム指数へ
202501020312,上昇度,3タマカ7ザング13ウィン調子偏差値へ
202501020401,能力,3ヒッグ8ハネマ10ファニタイム指数へ
202501020401,上昇度,2ディオ3ヒッグ6ジュデ調子偏差値へ
202501020402,能力,2ハロー6ユージ14カスバタイム指数へ
202501020402,上昇度,2ハロー10ラヴァ12ゴール調子偏差値へ
202501020403,能力,1タイセ3ステラ8リュウタイム指数へ
202501020403,上昇度,1タイセ11エレレ12ブラッ調子偏差値へ
202501020404,能力,1アロマ3テンミ4コンスタイム指数へ
202501020404,上昇度,1アロマ5デルマ6コスモ調子偏差値へ
202501020406,能力,7メイシ8サトミ13エルフタイム指数へ
202501020406,上昇度,5カワキ6ヴィー8サトミ調子偏差値へ
202501020407,能力,2ダノン5マイネ7マイネタイム指数へ
202501020407,上昇度,1デリシ2ダノン8セイウ調子偏差値へ
202501020408,能力,8サウン11タイヨ12カポレタイム指数へ
202501020408,上昇度,11タイヨ12カポレ13タマモ調子偏差値へ
202501020409,能力,2ウイン8アルデ11ロットタイム指数へ
202501020409,上昇度,3シャイ11ロット13オロス調子偏差値へ
202501020410,能力,2ゴール11コーテ15ロードタイム指数へ
202501020410,上昇度,1レッド6ニシノ15ロード調子偏差値へ
202501020411,能力,1モンド3ウイン7ラファタイム指数へ
202501020411,上昇度,3ウイン8ブラン10フォル調子偏差値へ
