race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202504030205,14,2184,130.1,29591.7,2231.6,533.4
202504030206,14,2184,65.8,170428.0,4199.9,537.8
202504030207,18,4896,78.8,416276.0,9030.7,1201.1
202504030208,10,720,37.5,14530.0,904.4,175.5
202504030209,18,4896,98.4,769999.8,8955.8,1019.6
202504030210,13,1716,80.9,33102.8,1950.9,408.0
202504030211,10,720,39.9,19074.2,894.2,164.6
202504030212,15,2730,62.8,266697.5,5564.4,648.4
202507040201,11,990,34.9,24850.1,1531.2,227.4
202507040202,16,3360,49.4,230048.3,8431.7,847.2
202507040203,8,336,33.2,2703.8,324.6,85.2
202507040204,16,3360,55.4,208056.4,8122.0,845.3
202507040205,5,60,12.9,125.5,40.0,17.9
202507040206,17,4080,45.7,641046.5,11779.2,1081.9
202507040207,7,210,19.9,1383.9,230.9,45.1
202507040208,15,2730,29.9,479056.6,10000.9,727.7
202507040209,14,2184,48.7,73471.2,3422.3,519.2
202507040210,16,3360,60.9,298467.1,7251.9,830.6
202507040211,9,504,17.9,14784.4,743.0,115.9
202507040212,14,2184,52.3,88499.7,4179.6,493.9
202501020301,8,336,28.3,5293.1,325.2,68.8
202501020302,7,210,17.5,1908.6,208.4,49.3
202501020303,14,2184,52.6,63125.0,3606.1,515.8
202501020304,14,2184,51.4,85656.8,3392.9,529.5
202501020305,13,1716,55.1,20554.1,2196.6,466.5
202501020306,16,3360,74.5,218207.9,6888.2,798.6
202501020307,12,1320,44.3,18084.1,1881.6,301.3
202501020308,11,990,32.8,18483.1,1309.9,233.2
202501020309,13,1716,69.2,34891.9,1979.0,400.2
202501020310,14,2184,70.5,74974.1,3077.2,495.4
202501020311,14,2184,50.7,62727.5,3103.0,459.8
202501020312,16,3360,105.2,81141.1,4314.1,768.2
202504030301,13,1716,59.6,60318.8,2745.7,420.2
202504030302,15,2730,28.5,599902.8,9540.7,748.8
202504030303,11,990,49.0,25749.6,1439.4,221.2
202504030304,15,2730,44.4,268502.6,5795.3,642.4
202504030305,18,4896,51.4,769999.8,26812.7,1367.8
202504030306,18,4896,120.3,769999.8,10688.8,1034.0
202504030307,18,4896,45.4,769999.8,15987.0,1288.1
202504030308,10,720,18.1,64209.9,1448.4,166.7
202504030309,18,4896,71.4,769999.8,12644.6,1174.5
202504030310,13,1716,28.3,144889.7,3944.9,417.0
202504030311,16,3360,57.4,319480.5,6877.2,802.4
202504030312,15,2730,35.3,364183.7,8418.0,717.5
202507040301,12,1320,46.6,44445.2,2009.7,301.7
202507040302,14,2184,60.3,41080.8,3079.0,511.6
202507040303,15,2730,37.2,170380.4,5843.0,688.5
202507040304,16,3360,43.6,154568.3,8636.6,891.0
202507040305,10,720,42.1,11519.3,770.3,171.0
202507040306,16,3360,64.8,187156.0,6326.2,819.7
202507040307,10,720,30.0,9232.5,993.0,171.6
202507040308,8,336,26.4,3040.4,347.0,79.2
202507040309,16,3360,67.0,322203.9,7835.4,834.1
202507040310,11,990,49.0,32924.6,1544.5,251.5
202507040311,16,3360,77.3,279058.9,6097.7,745.8
202507040312,12,1320,62.9,31105.2,1671.4,319.2
202501020401,10,720,45.4,10282.3,881.2,162.6
202501020402,14,2184,74.7,68547.1,3623.9,521.5
202501020403,12,1320,59.0,17965.4,1542.8,318.8
202501020404,16,3360,87.2,133154.0,5044.9,780.2
202501020405,8,336,24.6,3102.7,333.6,81.9
202501020406,14,2184,49.4,64763.0,3689.8,540.2
202501020407,13,1716,30.6,60594.5,3012.9,437.4
202501020408,13,1716,69.5,84310.8,2687.8,390.4
202501020409,14,2184,127.4,29821.3,2072.2,545.2
202501020410,16,3360,82.2,259253.6,6756.0,794.8
202501020411,13,1716,70.7,24402.8,2005.5,405.7
202501020412,12,1320,73.9,30298.7,1482.5,299.4
202504030401,14,2184,57.9,190294.7,4487.3,512.4
202504030402,15,2730,61.1,371749.3,5777.0,615.6
202504030403,18,4896,43.8,769999.8,13897.9,1298.8
202504030404,18,4896,94.2,597831.6,11725.5,1172.9
202504030405,12,1320,20.9,114672.1,3160.5,339.0
202504030406,15,2730,39.1,122028.9,5931.0,661.0
202504030407,15,2730,89.6,192179.6,3971.2,629.4
202504030408,9,504,21.1,34221.3,964.2,112.5
202504030409,12,1320,34.1,36683.2,2142.0,302.7
202504030410,11,990,19.5,47507.1,1975.4,237.6
202504030411,17,4080,66.3,652571.7,9105.8,1012.9
202504030412,12,1320,37.4,65575.9,2200.1,310.8
202507040401,13,1716,38.4,65149.1,2825.8,412.6
202507040402,16,3360,61.1,136877.4,5564.3,825.6
202507040403,18,4896,65.7,769999.8,9740.9,1179.5
202507040404,16,3360,48.2,293433.2,7298.8,812.2
202507040405,7,210,11.8,5158.2,322.4,51.2
202507040406,14,2184,87.3,26679.9,2691.8,527.1
202507040407,13,1716,52.6,51150.4,2909.7,393.2
202507040408,16,3360,47.9,270436.7,7839.4,839.8
202507040409,8,336,15.0,15992.7,543.7,70.9
202507040410,16,3360,55.9,345067.3,8364.3,830.4
202507040411,13,1716,53.9,50574.1,2748.1,386.8
202507040412,14,2184,36.7,114005.0,5705.4,538.6
202501020501,10,720,45.9,11185.9,800.3,173.5
202501020502,11,990,48.6,20440.4,1390.6,224.6
202501020503,12,1320,50.7,39900.9,1917.5,312.2
202501020504,16,3360,76.5,199585.3,4938.5,803.9
202501020505,11,990,54.6,19757.0,1257.6,262.0
202501020506,14,2184,56.6,74494.4,3131.0,512.3
202501020507,14,2184,157.3,29743.6,2103.7,539.4
202501020508,14,2184,128.5,63545.2,2469.1,458.2
202501020509,15,2730,98.8,358054.7,4948.2,637.4
202501020510,16,3360,114.3,167785.1,4779.0,784.4
202501020511,12,1320,98.7,23480.6,1360.2,324.2
202501020512,14,2184,69.5,138862.1,3430.4,502.3
202506040101,10,720,42.8,14608.1,878.8,160.9
202506040102,12,1320,25.3,76095.9,3131.4,345.3
202506040103,9,504,18.1,9254.7,695.1,104.1
