race_id,num_horses,wide_min,wide_max,wide_median
202010010103,18,3.1,237.5,65.2
202010010104,12,1.7,137.3,29.7
202010010105,15,2.4,170.1,54.1
202010010106,13,2.9,132.5,28.2
202010010107,16,2.7,214.2,52.7
202010010108,18,4.0,253.0,58.5
202010010109,16,2.3,200.8,55.8
202010010110,16,2.4,204.9,54.4
202010010111,16,3.8,245.5,46.5
202010010112,14,2.3,137.6,37.7
202006010701,16,3.4,264.4,62.4
202006010702,16,2.5,255.6,74.8
202006010703,15,1.9,212.3,63.6
202006010704,16,3.4,252.2,56.4
202006010705,16,3.8,274.6,53.6
202006010706,16,2.7,262.7,64.5
202006010707,15,3.0,216.8,47.9
202006010708,15,3.4,255.4,47.6
202006010709,12,2.3,139.7,26.0
202006010710,16,3.0,176.6,53.1
202006010711,12,2.9,127.4,24.7
202006010712,16,6.4,272.2,43.0
202008010701,9,1.6,61.5,13.0
202008010702,13,2.7,174.3,31.8
202008010703,13,3.0,186.8,29.0
202008010704,11,2.4,125.7,25.3
202008010705,16,3.6,194.8,60.8
202008010706,12,3.1,141.3,26.7
202008010707,10,2.1,53.2,15.5
202008010708,10,1.8,113.2,18.2
202008010709,9,2.6,86.4,14.3
202008010710,8,3.1,39.4,8.4
202008010711,14,3.5,161.2,33.2
202008010712,16,3.5,225.0,47.4
202010010201,15,2.8,192.1,46.2
202010010202,14,5.7,171.5,29.6
202010010203,16,4.3,208.8,46.7
202010010204,18,2.7,216.4,63.1
202010010205,15,2.7,194.7,40.4
202010010206,18,8.2,194.5,45.3
202010010207,13,2.5,150.8,30.6
202010010208,18,4.3,207.5,55.8
202010010209,14,2.4,165.9,36.3
202010010210,7,1.6,48.4,7.4
202010010211,18,3.5,252.0,64.0
202010010212,14,3.1,165.0,34.0
202006010801,16,2.2,228.9,56.4
202006010802,14,2.7,188.1,37.8
202006010803,12,2.9,152.8,28.0
202006010804,16,3.4,250.8,51.6
202006010805,15,5.1,282.0,47.6
202006010806,16,3.5,252.4,57.4
202006010807,11,3.0,167.0,23.0
202006010808,14,3.5,201.0,34.5
202006010809,13,2.7,157.9,31.6
202006010810,11,2.6,94.9,18.1
202006010811,16,3.1,247.0,49.3
202006010812,16,5.8,246.9,35.9
202008010801,10,1.4,80.1,23.2
202008010802,14,2.0,173.9,47.3
202008010803,11,2.6,65.7,23.1
202008010804,14,2.1,127.1,40.3
202008010805,11,2.1,160.3,24.4
202008010806,16,2.8,232.6,51.6
202008010807,11,2.1,97.8,23.1
202008010808,11,2.5,93.8,19.0
202008010809,10,1.8,82.5,17.6
202008010810,9,1.7,83.8,15.7
202008010811,16,3.0,203.9,44.4
202008010812,9,1.7,112.4,15.2
202010010301,14,2.3,144.4,36.0
202010010302,11,2.5,80.9,19.3
202010010303,17,2.9,222.8,56.9
202010010304,13,2.0,126.9,39.0
202010010305,9,1.8,54.0,10.4
202010010306,12,3.4,127.4,23.0
202010010307,16,3.6,168.8,45.9
202010010308,10,2.4,86.6,14.7
202010010309,8,3.0,28.1,8.2
202010010310,10,2.4,136.2,18.2
202010010311,16,3.9,217.0,43.4
202010010312,13,3.3,147.2,27.5
202006010901,16,2.5,205.2,50.1
202006010902,12,3.5,215.0,29.1
202006010903,16,2.4,233.6,72.9
202006010904,14,2.8,195.5,36.8
202006010905,16,3.7,278.1,66.9
202006010906,16,2.8,254.4,60.3
202006010907,16,4.1,228.1,42.9
202006010908,15,2.8,260.3,41.8
202006010909,11,3.2,184.2,23.3
202006010910,12,1.8,150.6,30.2
202006010911,12,2.9,115.0,26.1
202006010912,6,1.5,15.8,4.4
202008010901,9,1.6,76.8,11.8
202008010902,11,1.8,122.8,23.5
202008010903,11,1.8,121.2,22.5
202008010904,15,3.4,206.7,41.0
202008010905,10,1.7,93.3,17.0
202008010906,16,3.6,228.9,55.2
202008010907,9,1.7,66.0,12.9
202008010908,5,1.2,12.5,3.0
202008010909,16,3.8,210.6,43.3
202008010910,6,1.7,19.4,3.7
202008010911,16,3.0,192.8,51.6
202008010912,13,3.0,180.8,28.3
202010010401,16,3.1,190.4,47.8
202010010402,14,3.6,169.4,31.1
202010010403,16,4.1,226.5,43.0
202010010404,10,1.7,60.8,14.5
202010010405,18,3.8,259.5,57.9
202010010406,11,5.5,66.5,15.6
202010010407,10,2.8,74.2,13.8
202010010408,16,2.4,175.3,54.3
202010010409,12,2.4,85.3,26.3
202010010410,16,4.0,240.1,41.8
202010010411,16,3.1,137.3,48.3
202010010412,17,2.8,228.0,61.3
202005010101,15,3.1,275.7,48.0
202005010102,16,2.0,229.3,63.9
202005010103,16,4.2,267.5,56.4
202005010104,11,1.8,129.2,24.5
202005010105,16,2.5,248.4,63.5
202005010106,12,1.9,131.1,31.2
202005010107,16,3.1,256.0,59.1
202005010108,16,2.6,208.4,60.1
202005010109,16,6.9,245.6,43.8
202005010110,10,2.0,137.3,19.8
202005010111,14,3.3,177.0,33.1
202005010112,15,2.2,218.5,48.4
202008020101,10,1.7,96.1,16.6
202008020102,16,2.6,230.8,58.6
202008020103,15,2.2,211.6,54.4
202008020104,11,1.7,119.0,24.3
202008020105,12,2.6,157.5,27.1
202008020106,13,4.5,166.1,30.3
202008020107,12,2.5,112.1,25.7
202008020108,14,2.7,154.9,42.0
202008020109,10,2.4,53.7,16.8
202008020110,12,2.2,142.4,22.0
202008020111,14,2.3,154.2,39.3
202008020112,11,3.4,84.0,16.8
202010010501,14,3.4,165.1,32.2
202010010502,16,2.4,201.9,53.8
202010010503,14,2.9,188.1,37.2
202010010504,18,3.0,236.3,67.6
202010010505,9,2.4,39.2,10.9
202010010506,14,3.5,127.5,29.6
202010010507,9,2.6,55.1,11.1
202010010508,12,2.5,113.8,27.2
202010010509,8,2.2,58.3,9.9
202010010510,8,1.9,30.4,9.3
202010010511,13,4.5,130.4,26.2
202010010512,12,3.0,69.4,24.2
202005010201,15,2.4,193.2,48.6
202005010202,16,3.2,241.4,53.3
202005010203,16,2.7,258.1,63.1
202005010204,16,3.0,250.9,59.0
202005010205,16,4.3,279.7,74.1
202005010206,16,5.6,208.6,34.6
202005010207,16,3.7,188.8,45.3
202005010208,16,7.4,288.5,40.1
202005010209,13,2.9,224.4,35.3
202005010210,13,4.3,191.8,31.4
202005010211,16,3.1,247.6,49.4
202005010212,10,2.5,146.7,14.8
202008020201,12,2.2,131.0,26.3
202008020202,13,2.1,175.0,38.5
202008020203,9,3.0,43.4,12.9
202008020204,13,2.0,133.7,33.6
202008020205,16,3.0,232.2,56.0
202008020206,14,4.1,215.7,34.8
202008020207,8,1.8,33.6,10.7
202008020208,16,3.0,227.1,58.3
202008020209,9,2.1,77.6,11.7
202008020210,13,6.4,183.7,24.6
202008020211,18,7.3,246.8,54.9
202008020212,11,2.7,68.0,20.7
202010010601,16,2.4,225.3,52.5
202010010602,14,3.2,159.7,29.7
202010010603,18,6.3,245.1,51.1
202010010604,18,3.3,251.0,67.6
202010010605,16,3.4,199.9,47.3
202010010606,10,2.7,85.9,13.1
202010010607,16,3.5,214.4,46.7
202010010608,11,2.5,94.1,20.8
202010010609,8,1.5,59.3,9.7
202010010610,13,2.7,151.6,30.6
202010010611,18,4.3,229.9,60.6
202010010612,11,2.7,113.0,18.5
202005010301,16,3.2,275.2,57.5
202005010302,16,1.9,234.8,71.5
