label,odds_band,course,nh_band,tc,condition,N,investment,payout,ROI%,hit%,CI_lo%,CI_hi%,p_value
strat7c,1-3,中京,12-14,良,A,5,3500,4520,129.1,60.0,35.7,222.6,0.3124
strat7c,1-3,中京,15-18,良,C,4,2800,4400,157.1,50.0,,,
strat7c,1-3,中京,15-18,良,D,4,2800,0,0.0,0.0,,,
strat7c,1-3,中京,8-11,良,A,3,2100,0,0.0,0.0,,,
strat7c,1-3,中山,12-14,良,A,4,2800,2060,73.6,50.0,,,
strat7c,1-3,中山,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,1-3,中山,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,1-3,中山,15-18,良,C,8,5600,0,0.0,0.0,0.0,0.0,1.0
strat7c,1-3,中山,15-18,良,D,5,3500,6940,198.3,60.0,15.4,516.4,0.2857
strat7c,1-3,中山,15-18,重,X,1,700,0,0.0,0.0,,,
strat7c,1-3,中山,8-11,良,A,7,4900,3020,61.6,28.6,0.0,145.3,0.8091
strat7c,1-3,新潟,12-14,良,D,1,700,0,0.0,0.0,,,
strat7c,1-3,新潟,15-18,良,C,1,700,800,114.3,100.0,,,
strat7c,1-3,新潟,15-18,良,D,1,700,710,101.4,100.0,,,
strat7c,1-3,新潟,8-11,良,A,1,700,540,77.1,100.0,,,
strat7c,1-3,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
strat7c,1-3,東京,12-14,良,A,1,700,0,0.0,0.0,,,
strat7c,1-3,東京,15-18,稍,C,1,700,0,0.0,0.0,,,
strat7c,1-3,東京,15-18,良,C,2,1400,0,0.0,0.0,,,
strat7c,1-3,東京,15-18,良,D,1,700,0,0.0,0.0,,,
strat7c,1-3,東京,8-11,良,A,1,700,0,0.0,0.0,,,
strat7c,1-3,東京,8-11,良,D,1,700,2810,401.4,100.0,,,
strat7c,1-3,福島,15-18,良,C,5,3500,0,0.0,0.0,0.0,0.0,1.0
strat7c,1-3,福島,15-18,良,D,5,3500,770,22.0,20.0,0.0,66.0,0.9881
strat7c,1-3,阪神,12-14,稍,D,1,700,0,0.0,0.0,,,
strat7c,1-3,阪神,12-14,良,A,8,5600,1530,27.3,12.5,0.0,82.0,0.9838
strat7c,1-3,阪神,12-14,良,D,2,1400,840,60.0,50.0,,,
strat7c,1-3,阪神,15-18,稍,D,1,700,0,0.0,0.0,,,
strat7c,1-3,阪神,15-18,良,C,3,2100,630,30.0,33.3,,,
strat7c,1-3,阪神,15-18,良,D,8,5600,270,4.8,12.5,0.0,14.5,1.0
strat7c,1-3,阪神,15-18,重,D,1,700,0,0.0,0.0,,,
strat7c,1-3,阪神,8-11,稍,A,1,700,0,0.0,0.0,,,
