race_id,umaban,horse_id,master_idx_prev_avg_time,master_idx_prev_avg_master,master_idx_prev_avg_start,master_idx_prev_avg_chase,master_idx_prev_avg_agari
202408010109,7,12100683,82.20561573267382,80.96597855665394,92.80513913585473,89.79898839908448,90.81278354769216
202408010109,7,12100683,94.0,94.0,96.0,100.0,94.0
202408020710,12,12100683,94.0,94.0,96.0,100.0,94.0
202408020710,12,12100683,91.0,88.33333333333333,93.66666666666667,95.33333333333333,92.66666666666667
202409020710,15,12100683,89.5,85.5,92.5,93.0,92.0
202409020710,15,12100683,89.6,84.8,91.2,90.8,93.4
202405010512,11,14100566,89.6,84.8,91.2,90.8,93.4
202405010512,11,14100566,90.83333333333333,86.83333333333333,90.66666666666667,90.33333333333333,95.33333333333333
202405030310,2,14100566,91.71428571428571,88.28571428571429,90.28571428571429,90.0,96.71428571428571
202405030310,2,14100566,91.25,88.25,89.625,90.25,96.375
202306040711,9,14101985,91.25,88.25,89.625,90.25,96.375
202305050812,12,14101985,89.66666666666667,87.0,88.66666666666667,89.77777777777777,95.22222222222223
202306010111,16,14102163,89.66666666666667,87.0,88.66666666666667,89.77777777777777,95.22222222222223
202406010510,10,14102562,89.66666666666667,87.0,88.66666666666667,89.77777777777777,95.22222222222223
202406010510,10,14102562,90.7,87.9,88.4,89.4,96.7
202406020810,5,14102562,91.54545454545455,88.63636363636364,88.18181818181819,89.0909090909091,97.9090909090909
202406020810,5,14102562,92.08333333333333,89.0,88.41666666666667,89.25,98.33333333333333
202408040211,15,14102562,92.53846153846153,89.3076923076923,88.61538461538461,89.38461538461539,98.6923076923077
202408040211,15,14102562,92.21428571428571,88.92857142857143,89.21428571428571,89.92857142857143,97.92857142857143
202406040611,2,14102562,91.93333333333334,88.6,89.73333333333333,90.4,97.26666666666667
202406040611,2,14102562,92.1875,89.0625,89.9375,90.375,97.8125
202408070211,13,14102562,92.41176470588235,89.47058823529412,90.11764705882354,90.3529411764706,98.29411764705883
202408070211,13,14102562,92.55555555555556,89.38888888888889,89.94444444444444,89.88888888888889,98.72222222222223
202508010410,1,14102562,92.6842105263158,89.3157894736842,89.78947368421052,89.47368421052632,99.10526315789474
202509020310,10,14102562,92.45,88.95,89.55,89.1,99.1
202308010211,6,14102625,92.45,88.95,89.55,89.1,99.1
202308010211,6,14102625,92.52380952380952,89.19047619047619,90.23809523809524,89.80952380952381,98.61904761904762
202408010411,1,14102625,92.5909090909091,89.4090909090909,90.86363636363636,90.45454545454545,98.18181818181819
202408010411,1,14102625,92.34782608695652,89.52173913043478,90.78260869565217,90.43478260869566,98.34782608695652
202408020309,15,14103514,92.34782608695652,89.52173913043478,90.78260869565217,90.43478260869566,98.34782608695652
202408020309,15,14103514,91.58333333333333,88.875,91.0,90.66666666666667,97.5
202408020710,10,14103963,91.58333333333333,88.875,91.0,90.66666666666667,97.5
202408020710,10,14103963,91.36,88.36,90.56,90.2,97.48
202408031011,8,14103963,91.15384615384616,87.88461538461539,90.15384615384616,89.76923076923077,97.46153846153847
202408031011,8,14103963,90.51851851851852,86.96296296296296,90.22222222222223,89.66666666666667,96.66666666666667
202407020810,6,14103963,89.92857142857143,86.10714285714286,90.28571428571429,89.57142857142857,95.92857142857143
202407020810,6,14103963,89.75862068965517,86.06896551724138,90.24137931034483,89.51724137931035,95.96551724137932
202408020410,2,14104716,89.75862068965517,86.06896551724138,90.24137931034483,89.51724137931035,95.96551724137932
202408020410,2,14104716,89.76666666666667,85.96666666666667,90.23333333333333,89.6,95.8
202403020511,1,14104716,89.7741935483871,85.87096774193549,90.2258064516129,89.6774193548387,95.64516129032258
202403020511,1,14104716,89.84375,86.0625,89.90625,89.40625,96.125
202408050210,11,14104716,89.9090909090909,86.24242424242425,89.60606060606061,89.15151515151516,96.57575757575758
202408050210,11,14104716,89.91176470588235,86.3529411764706,89.82352941176471,89.41176470588235,96.44117647058823
202408070211,9,14104716,89.91428571428571,86.45714285714286,90.02857142857142,89.65714285714286,96.31428571428572
202408070211,9,14104716,90.0,86.41666666666667,90.11111111111111,89.52777777777777,96.41666666666667
202509030211,13,14104716,90.08108108108108,86.37837837837837,90.1891891891892,89.4054054054054,96.51351351351352
202307010111,9,14105589,90.08108108108108,86.37837837837837,90.1891891891892,89.4054054054054,96.51351351351352
202307010111,9,14105589,90.07894736842105,86.47368421052632,90.44736842105263,90.02631578947368,96.0
202309011211,12,14105947,90.07894736842105,86.47368421052632,90.44736842105263,90.02631578947368,96.0
202309011211,12,14105947,90.02564102564102,86.51282051282051,90.61538461538461,89.6923076923077,96.05128205128206
202408020311,6,15100274,90.02564102564102,86.51282051282051,90.61538461538461,89.6923076923077,96.05128205128206
202408020311,6,15100274,90.225,86.8,90.625,89.95,96.1
202409010111,4,15100274,90.41463414634147,87.07317073170732,90.63414634146342,90.1951219512195,96.14634146341463
202409010111,4,15100274,90.64285714285714,87.19047619047619,90.52380952380952,90.30952380952381,96.14285714285714
202405020410,10,15100274,90.86046511627907,87.30232558139535,90.4186046511628,90.4186046511628,96.13953488372093
202405020410,10,15100274,90.79545454545455,87.13636363636364,90.3409090909091,89.95454545454545,96.29545454545455
202408040411,4,15100274,90.73333333333333,86.97777777777777,90.26666666666667,89.5111111111111,96.44444444444444
202408040411,4,15100274,90.8695652173913,86.97826086956522,90.34782608695652,89.78260869565217,96.15217391304348
202408050311,3,15100274,91.0,86.97872340425532,90.42553191489361,90.04255319148936,95.87234042553192
202408050311,3,15100274,91.14583333333333,87.20833333333333,90.39583333333333,90.1875,95.89583333333333
202506010410,16,15100274,91.28571428571429,87.42857142857143,90.36734693877551,90.3265306122449,95.91836734693878
202304020211,8,15100416,91.28571428571429,87.42857142857143,90.36734693877551,90.3265306122449,95.91836734693878
202408010310,2,15100533,91.28571428571429,87.42857142857143,90.36734693877551,90.3265306122449,95.91836734693878
202408010310,2,15100533,91.1,87.32,89.96,89.98,95.96
202307010111,11,15100635,91.1,87.32,89.96,89.98,95.96
202307010111,11,15100635,91.29411764705883,87.56862745098039,90.03921568627452,90.19607843137256,95.98039215686275
202309010211,7,15100744,91.29411764705883,87.56862745098039,90.03921568627452,90.19607843137256,95.98039215686275
202309010211,7,15100744,91.46153846153847,87.8076923076923,90.17307692307692,90.4423076923077,95.98076923076923
202306030111,10,15100744,91.62264150943396,88.0377358490566,90.30188679245283,90.67924528301887,95.98113207547169
202309030111,13,15100744,91.81481481481481,88.29629629629629,90.38888888888889,90.83333333333333,96.01851851851852
202309030111,13,15100744,91.7090909090909,88.25454545454545,90.34545454545454,90.9090909090909,95.96363636363637
202307040311,6,15100744,91.60714285714286,88.21428571428571,90.30357142857143,90.98214285714286,95.91071428571429
202307040311,6,15100744,91.73684210526316,88.33333333333333,90.33333333333333,90.96491228070175,96.10526315789474
202406010111,5,15100744,91.86206896551724,88.44827586206897,90.36206896551724,90.94827586206897,96.29310344827586
202406010111,5,15100744,91.89830508474576,88.49152542372882,90.45762711864407,90.91525423728814,96.33898305084746
202410020411,10,15100744,91.93333333333334,88.53333333333333,90.55,90.88333333333334,96.38333333333334
202410020411,10,15100744,92.0,88.59016393442623,90.47540983606558,90.91803278688525,96.34426229508196
202403010411,1,15100744,92.06451612903226,88.64516129032258,90.40322580645162,90.95161290322581,96.30645161290323
202403010411,1,15100744,92.11111111111111,88.71428571428571,90.31746031746032,90.80952380952381,96.36507936507937
202401020811,3,15100744,92.15625,88.78125,90.234375,90.671875,96.421875
