race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str,top2_name,top2_score,top3_name,top3_score,top1_num_recovered,top1_num_dp,top1_num_final,track_code,track,horse_num,odds,pop_rank,hit
202606030704,中山,4,3歳未勝利,A,,1800.0,ダ,,,,,,,5.0,4,2,,3-5-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,2-7-8; 2-7-10; 3-7-8; 3-7-10; 5-7-8; 5-7-10; 7-8-10,,,,,7.0,7.0,7.0,06,中山,7.0,3.0,1.0,False
202606030705,中山,5,3歳未勝利,C,,1600.0,芝,,,,,,,6.0,7,4,,2-5-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-5-8; 1-8-11; 1-8-13; 1-8-16; 5-8-16; 8-11-16; 8-13-16,,,,,8.0,8.0,8.0,06,中山,8.0,1.5,1.0,False
202606030706,中山,6,3歳1勝クラス,E,,1800.0,芝,,,,,,,3.0,4,1,,2-3-5,umaren,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,5-6; 2-5,,,,,5.0,5.0,5.0,06,中山,5.0,2.6,2.0,False
202606030707,中山,7,4歳以上1勝クラス,A,,2000.0,芝,,,,,,,2.0,10,6,,3-8-10,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,3-6-10; 3-7-10; 6-7-10; 6-8-10; 6-9-10; 7-8-10; 7-9-10,,,,,10.0,10.0,10.0,06,中山,10.0,3.4,1.0,False
202606030708,中山,8,4歳以上1勝クラス,C,,2400.0,ダ,,,,,,,2.0,5,7,,3-12-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,7-10-16; 7-11-16; 7-12-16; 7-14-16; 10-11-16; 11-12-16; 11-14-16,,,,,16.0,16.0,16.0,06,中山,16.0,3.0,1.0,False
202606030709,中山,9,袖ケ浦特別,D,,1200.0,芝,,,,,,,1.0,5,9,,3-7-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-4-8; 1-8-12; 3-4-8; 3-8-12; 4-8-9; 4-8-12; 8-9-12,,,,,8.0,8.0,8.0,06,中山,8.0,9.2,5.0,False
202606030710,中山,10,下総S,A,,1800.0,ダ,,,,,,,13.0,12,2,,3-5-9,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,4-5-8; 4-5-10; 4-5-11; 4-5-12; 4-8-10; 4-10-11; 4-10-12,,,,,4.0,4.0,4.0,06,中山,4.0,5.0,2.0,False
202606030712,中山,12,葛飾特別,D,,1200.0,ダ,,,,,,,3.0,2,1,,7-12-13,trio,1.0,1560,0,1560.0,700,860.0,settled,20260418,0.0,5-7-13; 5-12-13; 7-8-13; 7-10-13; 7-12-13; 8-12-13; 10-12-13,,,,,13.0,13.0,13.0,06,中山,13.0,16.1,6.0,True
202609020701,阪神,1,3歳未勝利,C,,1800.0,ダ,,,,,,,3.0,5,1,,3-6-9,trio,1.0,630,0,630.0,700,-70.0,settled,20260418,0.0,3-6-9; 3-6-12; 3-6-14; 3-6-15; 3-9-12; 3-12-14; 3-12-15,,,,,3.0,3.0,3.0,09,阪神,3.0,4.3,2.0,True
202609020702,阪神,2,3歳未勝利,D,,1200.0,ダ,,,,,,,3.0,1,6,,4-6-16,trio,1.0,270,0,270.0,700,-430.0,settled,20260418,0.0,2-3-4; 2-4-16; 3-4-6; 3-4-9; 3-4-16; 4-6-16; 4-9-16,,,,,4.0,4.0,4.0,09,阪神,4.0,1.7,1.0,True
