race_id,category,value
202603010307,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010307,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010307,今回のオッズで期待できる騎手,発売開始後公開予定
202603010307,今回の調教師と相性の良い騎手,丸山元気
202603010307,今回の馬主と相性の良い騎手,推奨なし
202603010307,race_info,13:05発走 /ダ1150m(右)
202603010307,race_detail,"1回福島3日目15頭本賞金:820,330,210,120,82万円"
202603010308,このコースで有利な枠順,枠順確定後公開予定
202603010308,このコースで有利な脚質,逃げ
202603010308,このコースが得意な騎手,石川裕紀人
202603010308,このコースが得意な調教師,大橋勇樹
202603010308,このコースに実績がある種牡馬,フィエールマン
202603010308,このコースに実績がある母父,エンパイアメーカー
202603010308,このコースが得意な馬,コスモララエ
202603010308,この距離が得意な馬,ハイクメイシララエ
202603010308,この競馬場が得意な馬,コスモララエ
202603010308,今回の馬場状態が得意な馬,イイデメイシララエ
202603010308,今回のレース間隔で実績がある馬,リアルウォーコスモ
202603010308,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010308,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010308,今回のオッズで期待できる騎手,発売開始後公開予定
202603010308,今回の調教師と相性の良い騎手,荻野極
202603010308,今回の馬主と相性の良い騎手,推奨なし
202603010308,race_info,13:35発走 /ダ1700m(右)
202603010308,race_detail,"1回福島3日目15頭本賞金:820,330,210,120,82万円"
202603010309,このコースで有利な枠順,枠順確定後公開予定
202603010309,このコースで有利な脚質,先行
202603010309,このコースが得意な騎手,松若風馬
202603010309,このコースが得意な調教師,古賀慎明
202603010309,このコースに実績がある種牡馬,ヴァンゴッホ
202603010309,このコースに実績がある母父,キングカメハメハ
202603010309,このコースが得意な馬,オブラ
202603010309,この距離が得意な馬,マカナオブラサイモ
202603010309,この競馬場が得意な馬,オブラアイド
202603010309,今回の馬場状態が得意な馬,ロザーオブラサイモ
202603010309,今回のレース間隔で実績がある馬,サインキングマイネ
202603010309,今回の調教評価で実績がある馬,レース前日13時公開予定
202603010309,今回の厩舎コメント評価で実績がある馬,レース前日13時公開予定
202603010309,今回のオッズで期待できる騎手,発売開始後公開予定
202603010309,今回の調教師と相性の良い騎手,舟山瑠泉
202603010309,今回の馬主と相性の良い騎手,推奨なし
202603010309,race_info,14:05発走 /芝2000m(右 A)
202603010309,race_detail,"1回福島3日目サラ系３歳１勝クラス(混)(特指)馬齢9頭本賞金:1140,460,290,170,114万円"
202603010310,このコースで有利な枠順,枠順確定後公開予定
202603010310,このコースで有利な脚質,先行
