trainer_id,trainer,total_races,wins,top3,total_prize,win_rate,top3_rate,turf_races,turf_wins,turf_top3,turf_wr,dirt_races,dirt_wins,dirt_top3,dirt_wr
00402,谷原義明,709,18,76,31561,0.02538787023977433,0.1071932299012694,420.0,10.0,41.0,0.023809523809523808,289.0,8.0,35.0,0.02768166089965398
00405,小西一男,2465,134,440,232489,0.05436105476673428,0.17849898580121704,582.0,26.0,93.0,0.044673539518900345,1883.0,108.0,347.0,0.05735528412108338
00406,柴田政見,118,6,18,10342,0.05084745762711865,0.15254237288135594,46.0,2.0,6.0,0.043478260869565216,72.0,4.0,12.0,0.05555555555555555
00408,田中清隆,1583,67,219,112605,0.04232469993682881,0.13834491471888818,878.0,38.0,125.0,0.04328018223234624,705.0,29.0,94.0,0.04113475177304964
00409,二ノ宮敬,883,49,164,120616,0.05549263873159683,0.1857304643261608,500.0,26.0,92.0,0.052,383.0,23.0,72.0,0.06005221932114883
00411,浅見秀一,2392,188,587,421129,0.07859531772575251,0.24540133779264214,1197.0,89.0,286.0,0.07435254803675856,1195.0,99.0,301.0,0.08284518828451883
00412,高橋裕,1997,120,398,217888,0.06009013520280421,0.19929894842263396,1188.0,75.0,230.0,0.06313131313131314,809.0,45.0,168.0,0.05562422744128554
00413,田中章博,396,17,58,35091,0.04292929292929293,0.14646464646464646,164.0,6.0,14.0,0.036585365853658534,232.0,11.0,44.0,0.04741379310344827
00415,菅原泰夫,462,13,58,28051,0.02813852813852814,0.12554112554112554,204.0,6.0,24.0,0.029411764705882353,258.0,7.0,34.0,0.027131782945736434
00417,土田稔,2385,80,317,162189,0.033542976939203356,0.1329140461215933,942.0,25.0,111.0,0.02653927813163482,1443.0,55.0,206.0,0.038115038115038115
00419,松元茂樹,960,80,253,162642,0.08333333333333333,0.2635416666666667,479.0,42.0,124.0,0.08768267223382047,481.0,38.0,129.0,0.079002079002079
00420,宗像義忠,2910,162,578,374842,0.05567010309278351,0.1986254295532646,1856.0,115.0,397.0,0.06196120689655173,1054.0,47.0,181.0,0.04459203036053131
00421,浅野洋一,1406,30,117,51341,0.021337126600284494,0.08321479374110953,523.0,10.0,40.0,0.019120458891013385,883.0,20.0,77.0,0.022650056625141562
00422,五十嵐忠,1916,152,479,280386,0.07933194154488518,0.25,816.0,70.0,191.0,0.0857843137254902,1100.0,82.0,288.0,0.07454545454545454
00423,上原博之,2720,165,564,345274,0.06066176470588235,0.2073529411764706,1571.0,100.0,310.0,0.06365372374283895,1149.0,65.0,254.0,0.05657093124456049
00425,加用正,2414,169,511,327119,0.0700082850041425,0.2116818558409279,1230.0,67.0,228.0,0.05447154471544716,1184.0,102.0,283.0,0.08614864864864864
00427,森秀行,3336,252,755,549780,0.07553956834532374,0.2263189448441247,1367.0,89.0,294.0,0.06510607168983175,1969.0,163.0,461.0,0.08278313864906044
00428,石毛善彦,2110,48,178,103656,0.022748815165876776,0.08436018957345971,1148.0,36.0,121.0,0.0313588850174216,962.0,12.0,57.0,0.012474012474012475
00429,佐々木晶,2644,218,675,485030,0.08245083207261725,0.2552950075642965,1599.0,129.0,403.0,0.08067542213883677,1045.0,89.0,272.0,0.08516746411483253
00431,谷潔,2661,127,465,266012,0.04772641863960917,0.17474633596392333,1107.0,57.0,190.0,0.051490514905149054,1554.0,70.0,275.0,0.04504504504504504
00433,成島英春,264,4,20,10437,0.015151515151515152,0.07575757575757576,118.0,1.0,11.0,0.00847457627118644,146.0,3.0,9.0,0.02054794520547945
00434,西橋豊治,1389,37,140,80140,0.02663786897048236,0.1007919366450684,641.0,16.0,65.0,0.0249609984399376,748.0,21.0,75.0,0.02807486631016043
00435,藤原辰雄,1302,65,223,111563,0.04992319508448541,0.17127496159754224,278.0,6.0,32.0,0.02158273381294964,1024.0,59.0,191.0,0.0576171875
00436,堀井雅広,2056,91,302,167164,0.04426070038910506,0.14688715953307394,1026.0,48.0,152.0,0.04678362573099415,1030.0,43.0,150.0,0.04174757281553398
00437,南田美知,2444,63,232,120270,0.025777414075286414,0.09492635024549918,1181.0,30.0,111.0,0.02540220152413209,1263.0,33.0,121.0,0.026128266033254157
00438,安田隆行,3335,383,1059,894283,0.11484257871064468,0.3175412293853073,1678.0,192.0,532.0,0.11442193087008343,1657.0,191.0,527.0,0.11526855763427882
00803,アトフィ,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00823,錦見勇夫,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00844,桑原義光,5,1,2,2400,0.2,0.4,5.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0
00862,若松平,3,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00886,田中正二,19,0,2,1495,0.0,0.10526315789473684,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
00985,ヘイズ,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01002,音無秀孝,3737,379,1049,1027660,0.10141824993310142,0.2807064490232807,2254.0,236.0,640.0,0.10470275066548358,1483.0,143.0,409.0,0.0964261631827377
01003,川村禎彦,2674,137,484,270031,0.0512341062079282,0.18100224382946897,917.0,38.0,157.0,0.04143947655398037,1757.0,99.0,327.0,0.056346044393853156
01005,小桧山悟,2875,77,305,161310,0.026782608695652174,0.10608695652173913,1248.0,38.0,145.0,0.030448717948717948,1627.0,39.0,160.0,0.023970497848801474
01006,作田誠二,1011,33,115,65528,0.032640949554896145,0.11374876360039565,455.0,14.0,50.0,0.03076923076923077,556.0,19.0,65.0,0.0341726618705036
01007,柴田政人,721,18,75,31306,0.024965325936199722,0.10402219140083217,314.0,8.0,38.0,0.025477707006369428,407.0,10.0,37.0,0.02457002457002457
01008,杉浦宏昭,2856,113,458,236897,0.03956582633053221,0.16036414565826332,1479.0,59.0,232.0,0.03989181879648411,1377.0,54.0,226.0,0.0392156862745098
01009,田所秀孝,1763,78,242,152282,0.04424276800907544,0.13726602382302894,806.0,34.0,107.0,0.04218362282878412,957.0,44.0,135.0,0.04597701149425287
01010,中野栄治,2521,105,386,232237,0.04165013883379611,0.15311384371281236,1396.0,66.0,223.0,0.04727793696275072,1125.0,39.0,163.0,0.034666666666666665
01011,松田国英,1369,147,432,288794,0.10737764791818846,0.3155588020452885,713.0,63.0,226.0,0.08835904628330996,656.0,84.0,206.0,0.12804878048780488
01012,大江原哲,1899,80,258,123533,0.042127435492364404,0.1358609794628752,822.0,30.0,110.0,0.0364963503649635,1077.0,50.0,148.0,0.04642525533890436
01013,小島太,887,54,164,120551,0.060879368658399095,0.18489289740698986,426.0,29.0,79.0,0.06807511737089202,461.0,25.0,85.0,0.05422993492407809
01014,高市圭二,1333,69,245,128365,0.051762940735183796,0.1837959489872468,657.0,29.0,102.0,0.0441400304414003,676.0,40.0,143.0,0.05917159763313609
01016,西浦勝一,1741,138,422,289072,0.07926479035037334,0.24238943136128663,990.0,79.0,240.0,0.0797979797979798,751.0,59.0,182.0,0.07856191744340879
01017,萩原清,2142,270,683,496493,0.12605042016806722,0.3188608776844071,1026.0,130.0,336.0,0.1267056530214425,1116.0,140.0,347.0,0.12544802867383512
01018,宮徹,3012,177,649,387816,0.05876494023904383,0.2154714475431607,1793.0,100.0,398.0,0.05577244841048522,1219.0,77.0,251.0,0.06316652994257588
01020,相沢郁,3179,224,685,419536,0.07046240956275558,0.2154765649575338,1636.0,106.0,343.0,0.0647921760391198,1543.0,118.0,342.0,0.07647440051847051
01021,池添兼雄,2191,141,466,330762,0.06435417617526244,0.2126882701962574,1102.0,72.0,243.0,0.06533575317604355,1089.0,69.0,223.0,0.06336088154269973
01022,石坂正,1927,191,577,399259,0.09911779968863518,0.299429164504411,1014.0,104.0,315.0,0.10256410256410256,913.0,87.0,262.0,0.09529025191675794
01023,伊藤圭三,3443,284,829,440397,0.08248620389195468,0.24077839093813536,784.0,56.0,161.0,0.07142857142857142,2659.0,228.0,668.0,0.0857465212485897
01024,萱野浩二,2711,106,355,191242,0.03909996311324235,0.13094798967170787,1141.0,43.0,132.0,0.03768624014022787,1570.0,63.0,223.0,0.040127388535031845
01025,佐藤正雄,609,36,133,65101,0.059113300492610835,0.21839080459770116,152.0,4.0,16.0,0.02631578947368421,457.0,32.0,117.0,0.0700218818380744
01026,鈴木伸尋,2693,184,553,302206,0.06832528778314148,0.20534719643520238,812.0,54.0,169.0,0.0665024630541872,1881.0,130.0,384.0,0.06911217437533226
01027,田村康仁,3420,287,795,477513,0.08391812865497077,0.2324561403508772,1446.0,112.0,347.0,0.07745504840940526,1974.0,175.0,448.0,0.08865248226950355
01028,西園正都,3808,332,956,656677,0.08718487394957983,0.2510504201680672,1803.0,135.0,382.0,0.07487520798668885,2005.0,197.0,574.0,0.09825436408977556
01029,根本康広,2594,76,299,150335,0.029298380878951428,0.11526599845797995,1024.0,26.0,107.0,0.025390625,1570.0,50.0,192.0,0.03184713375796178
01030,星野忍,1069,33,107,61448,0.03086997193638915,0.10009354536950421,447.0,16.0,60.0,0.035794183445190156,622.0,17.0,47.0,0.027331189710610933
01031,伊藤伸一,2566,71,264,136774,0.027669524551831644,0.10288386593920498,1234.0,35.0,133.0,0.028363047001620744,1332.0,36.0,131.0,0.02702702702702703
01032,大根田裕,2255,117,421,233738,0.05188470066518847,0.18669623059866963,768.0,24.0,107.0,0.03125,1487.0,93.0,314.0,0.06254203093476798
01033,木原一良,2445,159,450,293858,0.06503067484662577,0.18404907975460122,873.0,42.0,156.0,0.048109965635738834,1572.0,117.0,294.0,0.07442748091603053
01035,佐藤吉勝,2288,46,211,110641,0.020104895104895104,0.09222027972027973,1046.0,23.0,102.0,0.02198852772466539,1242.0,23.0,109.0,0.018518518518518517
01036,高橋義博,859,20,79,40644,0.023282887077997673,0.0919674039580908,515.0,16.0,62.0,0.031067961165048542,344.0,4.0,17.0,0.011627906976744186
01038,手塚貴久,3501,370,1048,976805,0.10568409025992574,0.29934304484433016,2255.0,258.0,708.0,0.11441241685144124,1246.0,112.0,340.0,0.0898876404494382
01039,中竹和也,3739,318,909,703951,0.0850494784701792,0.24311313185343675,1828.0,166.0,500.0,0.09080962800875274,1911.0,152.0,409.0,0.07953950811093669
01040,服部利之,1683,50,177,97996,0.029708853238265002,0.1051693404634581,714.0,25.0,78.0,0.0350140056022409,969.0,25.0,99.0,0.025799793601651185
01041,藤沢則雄,2146,78,284,153540,0.036346691519105315,0.13233923578751164,740.0,17.0,78.0,0.022972972972972974,1406.0,61.0,206.0,0.04338549075391181
01042,安達昭夫,2355,143,435,298941,0.06072186836518047,0.18471337579617833,931.0,52.0,178.0,0.055853920515574654,1424.0,91.0,257.0,0.06390449438202248
01043,石栗龍彦,2111,71,251,125248,0.033633349123638086,0.11890099478919944,742.0,16.0,57.0,0.0215633423180593,1369.0,55.0,194.0,0.04017531044558072
01044,昆貢,2244,210,625,492576,0.09358288770053476,0.2785204991087344,1418.0,125.0,374.0,0.08815232722143865,826.0,85.0,251.0,0.10290556900726393
01046,鮫島一歩,2940,191,649,448616,0.06496598639455782,0.2207482993197279,1678.0,115.0,371.0,0.06853396901072706,1262.0,76.0,278.0,0.060221870047543584
01047,勢司和浩,2110,77,259,135356,0.036492890995260666,0.12274881516587678,987.0,36.0,119.0,0.0364741641337386,1123.0,41.0,140.0,0.0365093499554764
01048,畠山吉宏,2817,154,523,317098,0.054668086616968405,0.18565850195243166,1528.0,76.0,276.0,0.049738219895287955,1289.0,78.0,247.0,0.060512024825446084
01049,南井克巳,2275,186,548,365121,0.08175824175824176,0.2408791208791209,1031.0,71.0,224.0,0.06886517943743937,1244.0,115.0,324.0,0.09244372990353698
01050,飯田雄三,1986,119,371,230900,0.05991943605236657,0.18680765357502518,742.0,33.0,115.0,0.0444743935309973,1244.0,86.0,256.0,0.06913183279742766
01051,岩戸孝樹,3057,179,614,339961,0.058554138043833824,0.20085050703303892,1461.0,93.0,275.0,0.06365503080082136,1596.0,86.0,339.0,0.05388471177944862
01052,菊川正達,2889,139,455,248852,0.04811353409484251,0.1574939425406715,1729.0,81.0,275.0,0.04684788895315211,1160.0,58.0,180.0,0.05
01053,角居勝彦,1714,233,593,596724,0.13593932322053676,0.3459743290548425,1181.0,161.0,436.0,0.1363251481795089,533.0,72.0,157.0,0.1350844277673546
01054,戸田博文,3041,197,709,443733,0.06478132193357448,0.23314699112134166,1856.0,120.0,454.0,0.06465517241379311,1185.0,77.0,255.0,0.06497890295358649
01055,藤原英昭,3163,457,1137,1067277,0.14448308567815366,0.3594688586784698,2278.0,314.0,828.0,0.13784021071115013,885.0,143.0,309.0,0.1615819209039548
01056,本間忍,2337,79,274,136145,0.03380402225074882,0.11724433033804023,926.0,30.0,99.0,0.032397408207343416,1411.0,49.0,175.0,0.03472714386959603
01057,湯窪幸雄,1458,65,243,128819,0.04458161865569273,0.16666666666666666,430.0,12.0,51.0,0.027906976744186046,1028.0,53.0,192.0,0.05155642023346303
01058,大久保龍,2925,343,924,754352,0.11726495726495727,0.3158974358974359,1421.0,147.0,456.0,0.10344827586206896,1504.0,196.0,468.0,0.13031914893617022
01059,加藤征弘,3008,339,891,577304,0.11269946808510638,0.29621010638297873,1212.0,109.0,342.0,0.08993399339933994,1796.0,230.0,549.0,0.12806236080178174
01061,友道康夫,2966,479,1140,1597559,0.16149696561024948,0.38435603506405935,2438.0,420.0,993.0,0.1722723543888433,528.0,59.0,147.0,0.11174242424242424
01062,藤岡健一,3009,321,870,688049,0.10667996011964108,0.28913260219341974,2079.0,228.0,642.0,0.10966810966810966,930.0,93.0,228.0,0.1
01063,的場均,2217,40,161,78786,0.018042399639152006,0.07262065854758683,944.0,18.0,79.0,0.019067796610169493,1273.0,22.0,82.0,0.01728201099764336
01064,武藤善則,2982,169,548,294270,0.05667337357478203,0.18376928236083165,1352.0,64.0,232.0,0.047337278106508875,1630.0,105.0,316.0,0.06441717791411043
01065,大橋勇樹,3176,207,660,358793,0.06517632241813602,0.20780856423173805,764.0,37.0,125.0,0.04842931937172775,2412.0,170.0,535.0,0.07048092868988391
01066,岡田稲男,2785,229,667,446054,0.0822262118491921,0.23949730700179533,1047.0,86.0,233.0,0.08213944603629417,1738.0,143.0,434.0,0.08227848101265822
