race_id,horse_id,video_gait_coverage,video_gait_aspect_mean,video_gait_aspect_std,video_gait_aspect_range,video_gait_area_mean,video_gait_area_std,video_gait_w_mean,video_gait_h_mean,video_gait_conf_mean,video_gait_conf_std,video_gait_conf_min,video_gait_motion_dcx_mean,video_gait_motion_dcy_mean,video_gait_motion_speed_mean,video_gait_motion_speed_std,video_gait_motion_speed_max,video_gait_area_change_mean,video_gait_aspect_change_mean,video_body_coat_brightness_mean,video_body_coat_brightness_std,video_body_coat_saturation_mean,video_body_coat_saturation_std,video_body_coat_contrast_mean,video_body_coat_contrast_std,video_body_body_aspect_mean,video_body_body_aspect_std,video_body_body_compactness_mean,video_body_body_compactness_std,video_body_color_r_mean,video_body_color_g_mean,video_body_color_b_mean,video_body_condition_score_mean,video_body_condition_score_std
202605020503,2023105264,0.986,1.771,0.134,0.458,216005.3,26494.1,618.2,348.4,0.626,0.105,0.576,-0.71,-0.25,5.22,13.08,70.6,2144.3,0.014,0.3311,0.0026,0.0806,0.0023,0.1687,0.0013,1.7721,0.1343,0.4165,0.051,0.3525,0.3411,0.2994,0.5908,0.0036
202605020503,2023105308,0.986,1.091,0.251,0.925,112863.6,21907.7,350.9,322.7,0.731,0.077,0.676,-0.39,-0.1,3.32,7.24,31.1,2101.2,0.03,0.4067,0.0191,0.0715,0.0018,0.2215,0.0103,1.0926,0.2511,0.2171,0.0425,0.4242,0.4145,0.3812,0.6919,0.0232
202605020504,2023103799,1.0,1.478,0.083,0.465,167459.5,7670.1,497.3,336.9,0.704,0.084,0.389,0.3,0.11,7.2,14.25,62.4,2930.7,0.033,0.3505,0.014,0.0754,0.003,0.2025,0.0094,1.4755,0.082,0.3234,0.0148,0.3681,0.367,0.3163,0.6355,0.018
202605020504,2023106254,1.0,1.55,0.057,0.394,163153.9,6592.1,502.7,324.5,0.905,0.023,0.831,0.64,0.07,6.45,12.69,57.5,1859.1,0.033,0.413,0.0048,0.0895,0.0042,0.2175,0.0031,1.5526,0.0565,0.3147,0.0127,0.4334,0.4262,0.3795,0.7014,0.0054
202605020504,2023107327,1.0,1.431,0.076,0.523,184882.9,10461.1,514.2,359.5,0.836,0.025,0.771,-1.42,-0.02,5.34,12.81,74.6,2550.5,0.023,0.4007,0.0038,0.0662,0.0031,0.2274,0.0041,1.4314,0.0755,0.3569,0.0201,0.4199,0.4117,0.3705,0.6909,0.0067
202605020505,2023106849,1.0,1.527,0.073,0.509,159912.4,8265.1,494.0,323.7,0.895,0.046,0.728,-0.62,0.21,10.19,25.34,141.1,2404.1,0.028,0.3736,0.0291,0.0738,0.0031,0.1964,0.0169,1.528,0.0732,0.308,0.0161,0.3886,0.3858,0.3465,0.6446,0.0348
202605020505,2023106986,1.0,1.461,0.048,0.243,171989.2,5683.9,501.1,343.2,0.811,0.027,0.74,-0.04,-0.07,4.23,8.66,33.4,1184.0,0.015,0.4184,0.0094,0.0919,0.0021,0.205,0.0024,1.4641,0.0474,0.3315,0.0109,0.4515,0.4258,0.3778,0.6938,0.009
202605020505,2023107234,1.0,1.539,0.084,0.686,193304.1,21685.4,544.7,353.8,0.734,0.045,0.617,0.88,0.12,7.98,18.53,79.1,5913.3,0.047,0.4447,0.0057,0.0915,0.0036,0.2148,0.0067,1.5407,0.0842,0.3725,0.0416,0.4692,0.4605,0.4043,0.7219,0.0085
202605020506,2023104224,1.0,1.448,0.098,0.886,157214.6,10290.9,477.0,329.6,0.776,0.075,0.228,0.18,0.41,11.85,20.61,101.0,5335.3,0.06,0.3532,0.0142,0.045,0.0043,0.2029,0.0055,1.4481,0.0976,0.3032,0.0198,0.3627,0.363,0.3339,0.6226,0.0165
202605020506,2023105689,1.0,1.571,0.071,0.401,170854.6,12124.4,517.8,329.7,0.48,0.244,0.285,-0.23,-0.32,7.27,11.92,53.6,4419.7,0.039,0.3884,0.0086,0.0627,0.0033,0.2146,0.0039,1.5694,0.0712,0.33,0.0233,0.3989,0.4018,0.3646,0.6678,0.0089
202605020506,2023107204,1.0,1.636,0.112,0.479,162390.4,7702.8,515.3,315.3,0.891,0.061,0.665,-0.11,0.41,9.52,15.84,59.8,3336.3,0.035,0.4238,0.0135,0.1015,0.0036,0.2169,0.0043,1.6378,0.1123,0.3132,0.0147,0.4585,0.4249,0.3879,0.7142,0.0131
202605020507,2022104419,1.0,1.747,0.146,0.846,160906.4,7644.9,529.9,304.1,0.805,0.065,0.732,-0.01,0.2,9.44,14.45,62.2,4209.5,0.057,0.4334,0.0255,0.0871,0.0064,0.2169,0.0035,1.7486,0.1463,0.3103,0.0147,0.4629,0.4424,0.3949,0.7138,0.0236
