race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202006010602,15,105,9.7,9999.8,405.8,58.8
202006010603,16,120,9.0,9924.0,423.9,62.7
202006010604,14,91,10.1,3730.8,305.0,61.7
202006010605,16,120,18.2,4000.3,426.7,81.4
202006010606,7,21,5.2,499.8,70.4,11.1
202006010607,16,120,17.3,8736.5,407.2,70.8
202006010608,16,120,6.6,9550.2,656.9,78.4
202006010609,16,120,19.5,5424.9,307.0,60.0
202006010610,16,120,19.6,7264.7,383.3,72.2
202006010611,16,120,16.3,2594.6,294.7,72.7
202006010612,10,45,19.0,418.1,71.3,33.3
202008010601,16,120,6.9,9999.8,691.8,59.8
202008010602,10,45,6.9,753.1,158.3,21.7
202008010603,13,78,10.5,2952.4,276.0,34.5
202008010604,16,120,11.5,9999.8,560.0,62.7
202008010605,15,105,9.1,8692.5,514.6,61.0
202008010606,6,15,7.5,118.7,30.2,11.0
202008010607,12,66,15.1,727.9,143.7,40.3
202008010608,14,91,16.1,905.7,218.5,62.7
202008010609,12,66,9.4,1302.8,187.8,39.8
202008010610,10,45,18.9,214.0,72.3,26.4
202008010611,15,105,9.2,3258.6,395.4,54.6
202008010612,16,120,13.3,4336.5,427.7,62.7
202010010101,13,78,17.6,2062.4,181.9,40.1
202010010102,15,105,13.7,6128.4,366.7,72.7
202010010103,18,153,14.3,7905.1,528.2,85.7
202010010104,12,66,6.3,2151.7,266.2,37.2
202010010105,15,105,10.8,2800.8,442.2,60.5
202010010106,13,78,13.6,1343.3,186.3,47.0
202010010107,16,120,12.6,5769.0,412.1,77.9
202010010108,18,153,18.9,8678.4,457.2,83.5
202010010109,16,120,10.3,5177.8,500.2,69.9
202010010110,16,120,11.5,5365.4,463.6,67.5
202010010111,16,120,18.6,7909.6,335.9,71.5
202010010112,14,91,9.3,1661.9,319.7,52.7
202006010701,16,120,16.2,9999.8,456.1,71.0
202006010702,16,120,10.0,9999.8,784.2,63.2
202006010703,15,105,8.3,9999.8,642.3,81.0
202006010704,16,120,17.5,9999.8,417.0,72.3
202006010705,16,120,17.3,9999.8,356.4,66.6
202006010706,16,120,12.4,9999.8,527.8,75.4
202006010707,15,105,14.6,5393.7,341.9,55.0
202006010708,15,105,14.9,9999.8,331.4,43.6
202006010709,12,66,10.3,1769.8,201.7,35.0
202006010710,16,120,12.5,2645.7,409.0,61.7
202006010711,12,66,12.3,1266.2,154.8,44.1
202006010712,16,120,29.6,9999.8,284.9,65.5
202008010701,9,36,5.6,757.1,104.2,15.6
202008010702,13,78,11.8,2628.4,246.9,37.5
202008010703,13,78,13.0,2997.1,209.8,39.9
202008010704,11,55,9.9,1373.0,199.0,26.9
202008010705,16,120,14.6,3222.7,464.8,85.4
202008010706,12,66,14.5,1546.3,154.3,33.5
202008010707,10,45,8.7,448.8,114.3,29.3
202008010708,10,45,7.4,1410.5,141.6,33.6
202008010709,9,36,11.7,822.4,95.0,16.8
202008010710,8,28,14.1,270.7,46.2,19.3
202008010711,14,91,16.0,1831.8,224.7,53.2
202008010712,16,120,17.4,5543.5,338.9,62.8
202010010201,15,105,12.4,3644.0,391.0,62.4
202010010202,14,91,27.1,1908.0,175.7,54.6
202010010203,16,120,20.2,3645.4,381.0,61.2
202010010204,18,153,12.6,5260.9,506.5,86.3
202010010205,15,105,12.3,3534.3,287.2,52.7
202010010206,18,153,39.4,2396.5,301.4,88.8
202010010207,13,78,11.0,1853.0,235.9,36.5
202010010208,18,153,19.7,3434.4,386.3,82.8
202010010209,14,91,10.0,2339.0,265.1,48.7
202010010210,7,21,7.3,493.3,67.3,12.2
202010010211,18,153,14.5,9999.8,496.2,82.0
202010010212,14,91,15.4,2105.4,251.9,54.6
202006010801,16,120,9.3,9999.8,488.6,64.8
202006010802,14,91,12.4,3583.0,329.8,63.9
202006010803,12,66,12.8,1844.4,187.0,27.6
202006010804,16,120,16.0,9999.8,386.6,59.9
202006010805,15,105,23.3,9999.8,344.4,53.3
202006010806,16,120,16.0,9999.8,423.3,56.4
202006010807,11,55,14.3,2286.3,140.4,28.0
202006010808,14,91,17.4,3461.4,235.6,51.5
202006010809,13,78,11.9,1987.8,226.7,46.1
