horse_id,is_jackpot,jockey_id,jockey_trainer_combo_top3,race_id,umaban
2023104835,0,01142,,202608030601,1
2023106552,0,01195,,202608030601,2
2023109040,0,00732,,202608030601,3
2023102949,0,01034,,202608030601,4
2023106070,0,01128,,202608030601,5
2023104384,0,05558,,202608030601,6
2023106217,0,00666,,202608030601,7
2023107077,0,01157,,202608030601,8
2023102174,0,01037,,202608030601,9
2023101603,0,01130,,202608030601,10
2023102891,0,01220,,202608030601,11
2023104612,0,05203,,202608030602,1
2023107009,0,01032,,202608030602,2
2023105648,0,01128,,202608030602,3
2023107539,0,01157,,202608030602,4
2023105839,0,01216,,202608030602,5
2023110099,0,00666,,202608030602,6
2023101969,0,01195,,202608030602,7
2023101415,0,01142,,202608030602,8
2023103848,0,01182,,202608030602,9
2023103286,0,05558,,202608030602,10
2023106105,0,00732,,202608030602,11
2023106699,0,01091,,202608030602,12
2023101755,0,01186,,202608030602,13
2023104433,0,01220,,202608030602,14
2023102736,0,01138,,202608030602,15
2023104999,0,01130,,202608030602,16
2023103316,0,01220,,202608030603,1
2023106271,0,00732,,202608030603,2
2023104077,0,01032,,202608030603,3
2023101579,0,01195,,202608030603,4
2023103083,0,01142,,202608030603,5
2023101781,0,01034,,202608030603,6
2023104476,0,01099,,202608030603,7
2023103315,0,01186,,202608030603,8
2023100467,0,05558,,202608030603,9
2023107469,0,01128,,202608030603,10
2023104100,0,01138,,202608030603,11
2023107344,0,01112,,202608030603,12
2023110015,0,01216,,202608030604,1
2023110056,0,00732,,202608030604,2
2023105189,0,05558,,202608030604,3
2023105513,0,01166,,202608030604,4
2023107235,0,01157,,202608030604,5
2023106404,0,05203,,202608030604,6
2023105211,0,01138,,202608030604,7
2023100053,0,01130,,202608030604,8
2023106478,0,01091,,202608030604,9
2023102357,0,01037,,202608030604,10
2023102751,0,01147,,202608030604,11
2023103352,0,01142,,202608030604,12
2023103431,0,01186,,202608030604,13
2023101938,0,01220,,202608030604,14
2023102920,0,01034,,202608030604,15
2023106188,0,05212,,202608030604,16
2023101700,0,01195,,202608030604,17
2023106776,0,05203,,202608030605,1
2023104382,0,01220,,202608030605,2
2023100138,0,01166,,202608030605,3
2023103545,0,00732,,202608030605,4
2023105979,0,01037,,202608030605,5
2023104370,0,01034,,202608030605,6
2023106211,0,01091,,202608030605,7
2023107022,0,01157,,202608030605,8
2023104008,0,01032,,202608030605,9
2023103168,0,01216,,202608030605,10
2023103546,0,01138,,202608030605,11
2023105881,0,05558,,202608030605,12
2023103743,0,01186,,202608030605,13
2021101557,0,01032,,202608030606,1
2022104598,0,01157,,202608030606,2
2022104688,0,01138,,202608030606,3
2022105083,0,01186,,202608030606,4
2020103910,0,01091,,202608030606,5
2021103845,0,00732,,202608030606,6
2020101323,0,01216,,202608030606,7
2022102139,0,01220,,202608030606,8
2022105734,0,01195,,202608030606,9
2020103502,0,05558,,202608030606,10
2023105272,0,01091,,202608030607,1
2023106107,0,01186,,202608030607,2
2023107262,0,00732,,202608030607,3
2023100930,0,01220,,202608030607,4
2023103689,0,05203,,202608030607,5
2023102948,0,00666,,202608030607,6
2023102243,0,01037,,202608030607,7
2023102405,0,01034,,202608030607,8
2023105023,0,01138,,202608030607,9
2023107337,0,01157,,202608030607,10
2023102641,0,05558,,202608030607,11
2023104352,0,05212,,202608030607,12
2022103991,0,01091,,202608030608,1
2022106756,0,01220,,202608030608,2
2022105689,0,01186,,202608030608,3
2021100362,0,01195,,202608030608,4
2022100128,0,01130,,202608030608,5
2021106586,0,01138,,202608030608,6
2021101048,0,05212,,202608030608,7
2021110014,0,05558,,202608030608,8
2021106395,0,01142,,202608030608,9
2022101607,0,01216,,202608030608,10
2021104806,0,01112,,202608030608,11
2022106438,0,00732,,202608030608,12
2020106667,0,01032,,202608030609,1
2021105072,0,01186,,202608030609,2
2021102510,0,01220,,202608030609,3
2020101918,0,01034,,202608030609,4
2022104887,0,01166,,202608030609,5
2022107282,0,05203,,202608030609,6
2021105796,0,01091,,202608030609,7
2020102925,0,01138,,202608030609,8
2021105856,0,05212,,202608030609,9
2021106194,0,01216,,202608030609,10
2021105474,0,00732,,202608030609,11
2021105247,0,01157,,202608030609,12
2021104976,0,00666,,202608030609,13
2023107138,0,00666,,202608030610,1
2023100526,0,05558,,202608030610,2
2023100935,0,01142,,202608030610,3
2023104313,0,01157,,202608030610,4
2023107352,0,05212,,202608030610,5
2023105273,0,01032,,202608030610,6
2023100772,0,00732,,202608030610,7
2023106194,0,01034,,202608030610,8
2023104121,0,05203,,202608030610,9
2023104960,0,01037,,202608030610,10
2023100113,0,01147,,202608030610,11
2019101198,0,01037,,202608030611,1
2021105058,0,01032,,202608030611,2
2019105308,0,01034,,202608030611,3
2022103686,0,00732,,202608030611,4
2021104416,0,00666,,202608030611,5
2020103566,0,01128,,202608030611,6
2022103941,0,05558,,202608030611,7
2021104882,0,01091,,202608030611,8
2018101087,0,01186,,202608030611,9
2022105722,0,01216,,202608030611,10
2021106610,0,01220,,202608030611,11
2019102665,0,01142,,202608030611,12
2022104796,0,01157,,202608030611,13
2021105425,0,05212,,202608030611,14
2019105197,0,01182,,202608030611,15
2020110081,0,05203,,202608030611,16
2021103242,0,05203,,202608030612,1
2021103268,0,00666,,202608030612,2
2019102656,0,01034,,202608030612,3
2022105177,0,01186,,202608030612,4
2021104514,0,01138,,202608030612,5
2021103549,0,01220,,202608030612,6
2022100245,0,01128,,202608030612,7
2021102754,0,05558,,202608030612,8
2021104777,0,00732,,202608030612,9
2020103189,0,05212,,202608030612,10
2022101016,0,01216,,202608030612,11
2021102797,0,01091,,202608030612,12
2021100652,0,01032,,202608030612,13
2022105853,0,01157,,202608030612,14
2023103288,0,01214,,202604010401,1
2023106938,0,01190,,202604010401,2
2023103570,0,01203,,202604010401,3
2023105130,0,01135,,202604010401,4
2023106858,0,01176,,202604010401,5
2023104420,0,01127,,202604010401,6
2023105206,0,01218,,202604010401,7
2023104632,0,01169,,202604010401,8
2023104265,0,01117,,202604010401,9
2023102693,0,01204,,202604010401,10
2023104793,0,00689,,202604010401,11
2023105244,0,05675,,202604010401,12
2023106711,0,01152,,202604010401,13
2023101861,0,01223,,202604010401,14
2023107065,0,01125,,202604010401,15
2023102794,0,01203,,202604010402,1
2023103573,0,05675,,202604010402,2
2023103048,0,01161,,202604010402,3
2023100006,0,01158,,202604010402,4
2023102748,0,01206,,202604010402,5
2023100888,0,01204,,202604010402,6
2023104048,0,01212,,202604010402,7
2023105049,0,01143,,202604010402,8
2023101317,0,01168,,202604010402,9
2023100961,0,01221,,202604010402,10
2023102414,0,01117,,202604010402,11
2023100633,0,01222,,202604010402,12
2023101782,0,01190,,202604010402,13
2023107029,0,01214,,202604010402,14
2023106275,0,01193,,202604010402,15
2023106573,0,05675,,202604010403,1
2023106474,0,01209,,202604010403,2
2023110102,0,01191,,202604010403,3
2023102520,0,01124,,202604010403,4
2023101721,0,01095,,202604010403,5
2023102242,0,01204,,202604010403,6
2023104072,0,01185,,202604010403,7
2023105870,0,01161,,202604010403,8
2023101391,0,01109,,202604010403,9
2023100389,0,01218,,202604010403,10
2023100739,0,01143,,202604010403,11
2023103801,0,01160,,202604010403,12
2023106686,0,01169,,202604010403,13
2023101445,0,01168,,202604010403,14
2023102161,0,01141,,202604010403,15
2023102234,0,01221,,202604010405,1
2023104321,0,05675,,202604010405,2
2023101687,0,01185,,202604010405,3
2023105156,0,01167,,202604010405,4
2023106592,0,01218,,202604010405,5
2023106242,0,01194,,202604010405,6
2023106913,0,01135,,202604010405,7
2023104884,0,01109,,202604010405,8
2023106450,0,01169,,202604010405,9
2023105863,0,01204,,202604010405,10
2023102008,0,01223,,202604010405,11
2023106362,0,01152,,202604010405,12
2023104617,0,01127,,202604010405,13
2023102166,0,01209,,202604010405,14
2023107243,0,01206,,202604010405,15
2023105036,0,01214,,202604010405,16
2023104481,0,01223,,202604010406,1
2023106220,0,01124,,202604010406,2
2023102720,0,01203,,202604010406,3
2023104109,0,01190,,202604010406,4
2023106598,0,01134,,202604010406,5
2023103934,0,01218,,202604010406,6
2023102342,0,01206,,202604010406,7
2023101083,0,01187,,202604010406,8
2023100397,0,01204,,202604010406,9
2023100611,0,01176,,202604010406,10
2023103702,0,01193,,202604010406,11
2023109140,0,01222,,202604010406,12
2023107261,0,01214,,202604010406,13
2023107497,0,05675,,202604010406,14
2023100290,0,01161,,202604010406,15
2023106907,0,01221,,202604010406,16
2022105459,0,01203,,202604010407,1
2021105098,0,01185,,202604010407,2
