horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
,,2023102753,,,,,,,,,,,,0,00660,30,0.23333333333333334,0.13333333333333333,,202606030601,,,1
,,2023100272,,,,,,,,,,,,0,00689,30,0.1,0.0,,202606030601,,,2
2,0.0,2023105251,37.5,7,1150,14,1193,0.0,14.0,ダ,1008,0.0,0.0,0,01085,30,0.1,0.0,0.15476190476190477,202606030601,0.2,0.06666666666666667,3
6,0.0,2023101994,34.1,23,1200,5,1152,0.0,7.0,芝,1215,0.0,0.0,0,01152,30,0.13333333333333333,0.0,0.0,202606030601,0.23333333333333334,0.03333333333333333,4
3,0.3333333333333333,2023105677,39.8,7,1700,7,1168,5.0,6.0,ダ,1098,0.3333333333333333,0.0,0,01214,30,0.16666666666666666,0.03333333333333333,0.0,202606030601,0.13333333333333333,0.03333333333333333,5
4,0.25,2023106658,37.8,7,1200,3,1167,0.0,9.0,ダ,1093,0.25,0.0,0,01075,30,0.36666666666666664,0.1,0.2647058823529412,202606030601,0.16666666666666666,0.0,6
1,0.0,2023103997,42.7,15,1800,9,1214,9.0,11.0,ダ,1134,0.0,0.0,0,00733,30,0.13333333333333333,0.06666666666666667,0.20758928571428573,202606030601,0.0,0.0,7
1,0.0,2023100333,40.6,15,2000,7,1126,1.0,5.0,芝,1106,0.0,0.0,0,01162,30,0.13333333333333333,0.03333333333333333,0.2071156289707751,202606030601,0.1,0.0,8
1,1.0,2023102171,39.9,15,1800,3,1170,4.0,2.0,ダ,1199,1.0,0.0,0,01140,30,0.26666666666666666,0.13333333333333333,0.4,202606030601,0.3,0.13333333333333333,9
,,2023104568,,,,,,,,,,,,0,01158,30,0.0,0.0,,202606030601,,,10
,,2023107505,,,,,,,,,,,,0,01069,30,0.3333333333333333,0.13333333333333333,,202606030601,,,11
2,0.0,2023105068,42.6,7,1800,11,1217,1.0,2.0,ダ,1177,0.0,0.0,0,01197,30,0.2,0.06666666666666667,0.1724137931034483,202606030601,0.23333333333333334,0.13333333333333333,12
1,0.0,2023101605,37.8,15,1600,18,1138,0.0,12.0,芝,1099,0.0,0.0,0,01034,30,0.06666666666666667,0.0,0.24647887323943662,202606030601,0.2,0.1,13
4,0.0,2023102621,38.6,7,1200,13,1207,0.0,9.0,ダ,1023,0.0,0.0,0,01201,30,0.03333333333333333,0.03333333333333333,0.25,202606030601,0.13333333333333333,0.06666666666666667,14
1,0.0,2023102383,38.3,15,1200,7,1192,0.0,7.0,ダ,1076,0.0,0.0,0,01220,30,0.1,0.03333333333333333,,202606030601,0.3,0.06666666666666667,15
,,2023106691,,,,,,,,,,,,0,01075,30,0.36666666666666664,0.1,,202606030602,,,1
1,0.0,2023100362,36.1,15,2000,6,1179,3.0,2.0,芝,1088,0.0,0.0,0,01170,30,0.3,0.03333333333333333,0.45098039215686275,202606030602,0.3,0.03333333333333333,2
