horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
2,0.0,2023105989,35.7,7,1200,11,1126,0.0,16.0,芝,1184,0.0,0.0,0,01174,30,0.3,0.1,0.38028169014084506,202608030201,0.4666666666666667,0.13333333333333333,1
2,0.0,2023107009,36.3,7,1400,14,1176,0.0,2.0,芝,1151,0.0,0.0,0,01180,30,0.26666666666666666,0.06666666666666667,0.30501089324618735,202608030201,0.36666666666666664,0.2,2
,,2023107185,,,,,,,,,,,,0,01157,30,0.3333333333333333,0.2,,202608030201,,,3
,,2023104071,,,,,,,,,,,,0,01208,30,0.06666666666666667,0.0,,202608030201,,,4
,,2023103819,,,,,,,,,,,,0,01220,30,0.1,0.03333333333333333,,202608030201,,,5
,,2023102032,,,,,,,,,,,,0,01212,30,0.03333333333333333,0.0,,202608030201,,,6
2,0.0,2023104328,39.0,7,1800,4,1181,1.0,1.0,ダ,1078,0.0,0.0,0,01181,30,0.0,0.0,0.22321428571428573,202608030201,0.13333333333333333,0.03333333333333333,7
,,2023102458,,,,,,,,,,,,0,01037,30,0.2,0.06666666666666667,,202608030201,,,8
,,2023101691,,,,,,,,,,,,0,01193,30,0.16666666666666666,0.06666666666666667,,202608030201,,,9
,,2023101281,,,,,,,,,,,,0,01147,30,0.03333333333333333,0.0,,202608030201,,,10
,,2023102992,,,,,,,,,,,,0,01195,30,0.1,0.03333333333333333,,202608030201,,,11
1,0.0,2023104612,38.5,15,1400,8,1179,0.0,10.0,ダ,1186,0.0,0.0,0,01015,30,0.16666666666666666,0.06666666666666667,0.0,202608030201,0.26666666666666666,0.06666666666666667,12
3,0.3333333333333333,2023106926,37.2,7,1400,3,1102,0.0,13.0,ダ,1136,0.3333333333333333,0.0,0,01102,30,0.2,0.1,0.27692307692307694,202608030201,0.16666666666666666,0.03333333333333333,13
,,2023106322,,,,,,,,,,,,0,01216,30,0.16666666666666666,0.06666666666666667,,202608030201,,,14
,,2023101725,,,,,,,,,,,,0,01130,30,0.1,0.03333333333333333,,202608030201,,,15
3,0.3333333333333333,2023105677,39.8,7,1700,7,1168,5.0,6.0,ダ,1098,0.3333333333333333,0.0,0,05386,30,0.43333333333333335,0.16666666666666666,0.5142857142857142,202608030201,0.13333333333333333,0.03333333333333333,16
,,2023103315,,,,,,,,,,,,0,01186,30,0.23333333333333334,0.1,,202608030202,,,1
1,0.0,2023104866,39.6,15,1800,6,1109,11.0,10.0,ダ,1212,0.0,0.0,0,01220,30,0.1,0.03333333333333333,0.16666666666666666,202608030202,0.23333333333333334,0.06666666666666667,2
,,2023100389,,,,,,,,,,,,0,01037,30,0.2,0.06666666666666667,,202608030202,,,3
,,2023106967,,,,,,,,,,,,0,01216,30,0.16666666666666666,0.06666666666666667,,202608030202,,,4
,,2023104171,,,,,,,,,,,,0,01015,30,0.16666666666666666,0.06666666666666667,,202608030202,,,5
1,0.0,2023103441,37.9,15,1800,4,1213,7.0,6.0,ダ,1058,0.0,0.0,0,01213,30,0.36666666666666664,0.13333333333333333,0.2222222222222222,202608030202,0.4,0.2,6
1,0.0,2023106682,43.2,15,1600,16,660,0.0,16.0,ダ,1044,0.0,0.0,0,00660,30,0.23333333333333334,0.13333333333333333,0.30214424951267055,202608030202,0.2,0.06666666666666667,7
1,0.0,2023103241,37.8,15,2000,10,1018,7.0,9.0,芝,1111,0.0,0.0,0,01091,30,0.16666666666666666,0.1,0.5,202608030202,0.23333333333333334,0.13333333333333333,8
,,2023102384,,,,,,,,,,,,0,01181,30,0.0,0.0,,202608030202,,,9
,,2023105639,,,,,,,,,,,,0,01212,30,0.03333333333333333,0.0,,202608030202,,,10
,,2023104367,,,,,,,,,,,,0,01195,30,0.1,0.03333333333333333,,202608030202,,,11
1,0.0,2023105294,35.6,15,1800,5,1032,3.0,1.0,芝,1203,0.0,0.0,0,01174,30,0.3,0.1,0.525,202608030202,0.5,0.13333333333333333,12
3,0.0,2023104611,36.8,7,1600,13,5212,0.0,12.0,芝,1160,0.0,0.0,0,01222,30,0.03333333333333333,0.03333333333333333,0.21052631578947367,202608030202,0.3333333333333333,0.1,13
,,2023102582,,,,,,,,,,,,0,01130,30,0.1,0.03333333333333333,,202608030202,,,14
,,2023104399,,,,,,,,,,,,0,00666,30,0.3,0.06666666666666667,,202608030202,,,15
,,2023102185,,,,,,,,,,,,0,01157,30,0.3333333333333333,0.2,,202608030203,,,1
,,2023100846,,,,,,,,,,,,0,01212,30,0.03333333333333333,0.0,,202608030203,,,2
,,2023106189,,,,,,,,,,,,0,01208,30,0.06666666666666667,0.0,,202608030203,,,3
2,1.0,2023100610,33.9,7,1200,3,1213,0.0,9.0,芝,1062,1.0,0.0,1,01213,30,0.36666666666666664,0.13333333333333333,0.3468208092485549,202608030203,0.3333333333333333,0.1,4
2,0.5,2023103357,38.1,7,1400,15,1174,0.0,4.0,芝,1120,0.5,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.19047619047619047,202608030203,0.13333333333333333,0.06666666666666667,5
2,0.5,2023101077,34.6,7,1400,7,1144,0.0,12.0,芝,1200,0.5,0.0,0,01171,30,0.3,0.06666666666666667,0.5714285714285714,202608030203,0.2,0.06666666666666667,6
4,0.25,2023102661,38.5,7,1400,4,1193,0.0,3.0,ダ,1158,0.25,0.0,0,01163,30,0.3333333333333333,0.13333333333333333,0.2553191489361702,202608030203,0.13333333333333333,0.03333333333333333,7
4,0.0,2023105012,41.0,7,1400,12,1115,0.0,12.0,ダ,1205,0.0,0.0,0,01181,30,0.0,0.0,0.0,202608030203,0.3,0.1,8
