horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
,,2023101659,,,,,,,,,,,,0,05674,30,0.26666666666666666,0.03333333333333333,,202606030701,,,1
3,0.0,2023107206,35.6,7,1600,6,1091,0.0,2.0,芝,1115,0.0,0.0,0,01170,30,0.3,0.03333333333333333,0.27692307692307694,202606030701,0.2,0.06666666666666667,2
2,0.0,2023102971,40.6,7,1600,13,726,0.0,10.0,ダ,1024,0.0,0.0,0,01158,30,0.0,0.0,0.024390243902439025,202606030701,0.06666666666666667,0.03333333333333333,3
4,0.5,2023100283,38.1,7,1200,2,1179,0.0,4.0,ダ,1081,0.5,0.0,0,05386,30,0.43333333333333335,0.16666666666666666,0.4186046511627907,202606030701,0.13333333333333333,0.0,4
,,2023102338,,,,,,,,,,,,0,01077,30,0.23333333333333334,0.06666666666666667,,202606030701,,,5
5,0.4,2023100888,37.4,7,1150,5,1158,0.0,5.0,ダ,1024,0.4,0.0,0,01184,30,0.1,0.0,0.2777777777777778,202606030701,0.06666666666666667,0.03333333333333333,6
1,0.0,2023100805,35.4,15,1400,17,1129,0.0,11.0,芝,1131,0.0,0.0,0,01201,30,0.03333333333333333,0.03333333333333333,0.0,202606030701,0.03333333333333333,0.0,7
,,2023100808,,,,,,,,,,,,0,01169,30,0.03333333333333333,0.0,,202606030701,,,8
4,0.0,2023102401,38.1,7,1200,4,1218,0.0,8.0,ダ,1035,0.0,0.0,0,00689,30,0.1,0.0,0.12307692307692308,202606030701,0.06666666666666667,0.0,9
,,2023106065,,,,,,,,,,,,0,01162,30,0.13333333333333333,0.03333333333333333,,202606030701,,,10
1,0.0,2023103225,38.7,15,1600,14,1153,0.0,14.0,芝,1096,0.0,0.0,0,01153,30,0.16666666666666666,0.03333333333333333,0.06716417910447761,202606030701,0.1,0.0,11
3,0.0,2023107403,34.3,7,1600,9,1157,0.0,8.0,芝,1086,0.0,0.0,0,05203,30,0.3,0.13333333333333333,0.30246913580246915,202606030701,0.4,0.13333333333333333,12
,,2023103072,,,,,,,,,,,,0,01119,30,0.2,0.06666666666666667,,202606030701,,,13
1,0.0,2023104480,34.7,15,1800,4,1092,2.0,3.0,芝,1150,0.0,0.0,0,01085,30,0.1,0.0,0.08695652173913043,202606030701,0.16666666666666666,0.0,14
