horse_id,is_jackpot,jockey_id,jockey_trainer_combo_top3,race_id,umaban
2023106916,0,01197,,202605020611,1
2023110065,0,01154,,202605020611,2
2023107288,0,01092,,202605020611,3
2023107153,0,01171,,202605020611,4
2023107187,0,01200,,202605020611,5
2023104885,0,01178,,202605020611,6
2023105685,0,01088,,202605020611,7
2023107199,0,01126,,202605020611,8
2023107053,0,05339,,202605020611,9
2023103184,0,01140,,202605020611,10
2023105311,0,01163,,202605020611,11
2023103752,0,01174,,202605020611,12
2023100797,0,01122,,202605020611,13
2023107241,0,01102,,202605020611,14
2023103268,0,01184,,202605020611,15
2023105267,0,05386,,202605020611,16
2023107166,0,05585,,202605020611,17
2023103418,0,01170,,202605020611,18
