horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
,,2023101937,,,,,,,,,,,,0,01115,30,0.2,0.03333333333333333,,202608030503,,,4
2,0.0,2023105579,40.4,7,1700,13,1200,13.0,12.0,ダ,1196,0.0,0.0,0,01141,30,0.06666666666666667,0.03333333333333333,,202608030503,0.43333333333333335,0.13333333333333333,5
4,0.75,2023106766,34.7,7,1600,2,1126,0.0,2.0,芝,1085,0.75,0.0,0,01163,30,0.3333333333333333,0.13333333333333333,0.3181818181818182,202608030503,0.23333333333333334,0.13333333333333333,6
,,2023105225,,,,,,,,,,,,0,01138,30,0.16666666666666666,0.03333333333333333,,202608030503,,,7
2,0.0,2023103535,34.4,7,1600,4,1032,0.0,5.0,芝,1185,0.0,0.0,0,01157,30,0.3333333333333333,0.2,0.3902439024390244,202608030503,0.16666666666666666,0.1,8
,,2023101069,,,,,,,,,,,,0,01034,30,0.06666666666666667,0.0,,202608030503,,,9
2,0.0,2023102990,42.6,7,1400,15,1034,0.0,5.0,ダ,1065,0.0,0.0,0,01174,30,0.3,0.1,0.0,202608030503,0.13333333333333333,0.0,10
3,0.0,2023107132,35.7,7,1200,9,1176,0.0,2.0,芝,1146,0.0,0.0,0,01171,30,0.3,0.06666666666666667,0.43037974683544306,202608030503,0.23333333333333334,0.1,11
,,2023103538,,,,,,,,,,,,0,01102,30,0.2,0.1,,202608030503,,,12
3,0.0,2023102684,41.5,7,1800,15,1125,6.0,9.0,ダ,1042,0.0,0.0,0,01169,30,0.03333333333333333,0.0,0.3333333333333333,202608030503,0.2,0.03333333333333333,13
1,0.0,2023106951,35.9,15,1600,9,1093,0.0,6.0,芝,1062,0.0,0.0,0,01213,30,0.36666666666666664,0.13333333333333333,0.3468208092485549,202608030503,0.3333333333333333,0.1,14
2,0.5,2023101077,34.6,7,1400,7,1144,0.0,12.0,芝,1200,0.5,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.21052631578947367,202608030503,0.2,0.06666666666666667,15
3,0.6666666666666666,2023103353,36.2,7,1400,13,1220,0.0,3.0,芝,1194,0.6666666666666666,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.2857142857142857,202608030503,0.23333333333333334,0.1,16
,,2023103154,,,,,,,,,,,,0,01220,30,0.1,0.03333333333333333,,202608030503,,,17
1,0.0,2023102739,35.4,15,1400,13,1126,0.0,6.0,芝,1154,0.0,0.0,0,01220,30,0.1,0.03333333333333333,0.0,202608030504,0.3,0.13333333333333333,1
1,0.0,2023101404,34.2,15,2000,6,1191,6.0,5.0,芝,1101,0.0,0.0,0,01032,30,0.23333333333333334,0.1,0.28888888888888886,202608030504,0.26666666666666666,0.06666666666666667,2
,,2023102724,,,,,,,,,,,,0,01144,30,0.06666666666666667,0.0,,202608030504,,,3
3,0.3333333333333333,2023106148,37.1,7,1800,10,1015,0.0,2.0,芝,1039,0.3333333333333333,0.0,0,00732,30,0.16666666666666666,0.0,0.22727272727272727,202608030504,0.13333333333333333,0.0,4
1,0.0,2023105226,34.7,15,1600,8,1077,0.0,7.0,芝,1110,0.0,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.1953125,202608030504,0.16666666666666666,0.06666666666666667,5
2,1.0,2023107092,34.5,7,1800,3,5473,0.0,2.0,芝,1144,1.0,0.0,0,01171,30,0.3,0.06666666666666667,0.34,202608030504,0.16666666666666666,0.0,6
1,0.0,2023107253,35.2,15,1600,8,1102,0.0,11.0,芝,1164,0.0,0.0,0,01157,30,0.3333333333333333,0.2,0.2898550724637681,202608030504,0.23333333333333334,0.13333333333333333,7
1,1.0,2023107076,34.3,15,2000,3,1102,3.0,3.0,芝,1176,1.0,0.0,0,01102,30,0.2,0.1,0.4230769230769231,202608030504,0.4666666666666667,0.23333333333333334,8
,,2023104615,,,,,,,,,,,,0,01193,30,0.16666666666666666,0.06666666666666667,,202608030504,,,9
3,0.6666666666666666,2023103367,34.4,7,2000,3,1191,8.0,7.0,芝,1073,0.6666666666666666,0.0,0,01115,30,0.2,0.03333333333333333,0.37777777777777777,202608030504,0.13333333333333333,0.03333333333333333,10
1,0.0,2023105117,35.4,15,1600,17,1018,0.0,5.0,芝,1058,0.0,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.42045454545454547,202608030504,0.4,0.2,11
,,2023101198,,,,,,,,,,,,0,01180,30,0.26666666666666666,0.06666666666666667,,202608030504,,,12
,,2023105647,,,,,,,,,,,,0,01088,30,0.36666666666666664,0.06666666666666667,,202608030504,,,13
2,0.0,2023102221,34.4,7,1800,4,666,0.0,15.0,芝,1140,0.0,0.0,0,01213,30,0.36666666666666664,0.13333333333333333,0.4444444444444444,202608030504,0.3,0.03333333333333333,14
,,2023105385,,,,,,,,,,,,0,01166,30,0.1,0.03333333333333333,,202608030504,,,15
2,1.0,2023106785,36.4,7,1600,1,1163,0.0,5.0,芝,1135,1.0,0.5,0,00732,30,0.16666666666666666,0.0,0.17880794701986755,202608030505,0.06666666666666667,0.0,1
4,0.75,2023103782,34.3,179,1400,5,5203,0.0,1.0,芝,1183,0.75,0.25,0,01174,30,0.3,0.1,0.4659090909090909,202608030505,0.3,0.13333333333333333,2
2,1.0,2023100933,34.9,23,2000,3,1088,1.0,1.0,芝,1157,1.0,0.5,1,01088,30,0.36666666666666664,0.06666666666666667,0.5833333333333334,202608030505,0.4666666666666667,0.26666666666666666,3
2,0.5,2023106614,36.2,195,1600,13,1216,0.0,4.0,芝,1151,0.5,0.5,0,01157,30,0.3333333333333333,0.2,0.2727272727272727,202608030505,0.36666666666666664,0.2,4
4,0.25,2023101405,36.4,195,1600,12,1174,0.0,2.0,芝,1085,0.25,0.25,0,01126,30,0.36666666666666664,0.2,0.22666666666666666,202608030505,0.23333333333333334,0.13333333333333333,5
,,2023107290,,,,,,,,,,,,0,01180,30,0.26666666666666666,0.06666666666666667,,202608030505,,,6
6,0.8333333333333334,2023105084,36.0,195,1600,11,1088,0.0,4.0,芝,1205,0.8,0.2,0,01115,30,0.2,0.03333333333333333,0.5882352941176471,202608030505,0.3,0.1,7
5,0.2,2023106226,35.3,7,1400,5,1208,0.0,8.0,芝,1065,0.2,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.5789473684210527,202608030505,0.13333333333333333,0.0,8
2,0.5,2023110100,40.4,23,1400,14,5678,0.0,3.0,ダ,1055,0.5,0.5,0,01220,30,0.1,0.03333333333333333,,202608030506,0.3333333333333333,0.1,1
3,0.0,2023100241,43.5,7,1700,14,1179,2.0,1.0,ダ,1078,0.0,0.0,0,01181,30,0.0,0.0,0.22321428571428573,202608030506,0.13333333333333333,0.03333333333333333,2
,,2023107545,,,,,,,,,,,,0,01184,30,0.1,0.0,,202608030506,,,3
3,0.6666666666666666,2023103557,34.2,23,1200,11,1197,0.0,8.0,芝,1127,0.6666666666666666,0.3333333333333333,0,01174,30,0.3,0.1,0.3,202608030506,0.4,0.1,4
2,0.5,2023110106,37.3,7,1200,2,1166,0.0,1.0,ダ,1178,0.5,0.0,0,01166,30,0.1,0.03333333333333333,0.12849162011173185,202608030506,0.13333333333333333,0.03333333333333333,5
6,0.3333333333333333,2023103151,37.8,7,1400,2,1154,0.0,9.0,ダ,1085,0.2,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.4074074074074074,202608030506,0.23333333333333334,0.13333333333333333,6
1,1.0,2023105591,36.4,15,1200,1,1154,0.0,2.0,ダ,1209,1.0,1.0,0,01126,30,0.36666666666666664,0.2,0.4444444444444444,202608030506,0.16666666666666666,0.03333333333333333,7
2,0.0,2023103968,40.7,7,1800,9,1161,6.0,7.0,ダ,1156,0.0,0.0,0,01124,30,0.23333333333333334,0.06666666666666667,0.0,202608030506,0.16666666666666666,0.0,8
4,0.5,2023106571,37.4,7,1200,2,1180,0.0,2.0,ダ,1095,0.5,0.0,0,01180,30,0.26666666666666666,0.06666666666666667,0.2811594202898551,202608030506,0.16666666666666666,0.0,9
3,0.3333333333333333,2023103862,37.8,7,1200,1,1213,0.0,4.0,ダ,1209,0.3333333333333333,0.3333333333333333,0,01213,30,0.36666666666666664,0.13333333333333333,0.14285714285714285,202608030506,0.16666666666666666,0.03333333333333333,10
2,0.5,2023110062,43.8,131,1600,12,5504,0.0,2.0,ダ,427,0.5,0.5,0,01141,30,0.06666666666666667,0.03333333333333333,0.23529411764705882,202608030506,0.23333333333333334,0.06666666666666667,11
3,0.3333333333333333,2023106968,37.3,7,1200,1,1213,0.0,5.0,ダ,1197,0.3333333333333333,0.3333333333333333,0,01216,30,0.16666666666666666,0.06666666666666667,0.0,202608030506,0.16666666666666666,0.1,12
4,0.75,2023104798,36.1,23,1200,2,1077,0.0,2.0,ダ,1099,0.75,0.25,0,01037,30,0.2,0.06666666666666667,0.12804878048780488,202608030506,0.2,0.1,13
5,0.6,2023100095,37.2,7,1200,1,5386,0.0,1.0,ダ,1112,0.6,0.2,0,01171,30,0.3,0.06666666666666667,0.21428571428571427,202608030506,0.2,0.1,14
4,0.25,2023110036,38.7,23,1400,13,1176,0.0,9.0,ダ,1092,0.25,0.25,0,01102,30,0.2,0.1,0.4307692307692308,202608030506,0.23333333333333334,0.16666666666666666,15
2,0.0,2023100676,38.7,7,1400,8,732,0.0,3.0,ダ,1091,0.0,0.0,0,00732,30,0.16666666666666666,0.0,0.21428571428571427,202608030506,0.03333333333333333,0.0,16
8,0.25,2022104661,34.0,23,2200,9,1095,12.0,13.0,芝,1148,0.2,0.0,0,01186,30,0.23333333333333334,0.1,0.041666666666666664,202608030507,0.3,0.1,1
10,0.3,2021107331,38.2,23,1800,9,726,16.0,14.0,ダ,1165,0.4,0.2,0,01105,30,0.03333333333333333,0.03333333333333333,,202608030507,0.13333333333333333,0.06666666666666667,2
12,0.08333333333333333,2022102639,37.9,23,1800,10,1142,14.0,15.0,ダ,1142,0.0,0.0,0,01141,30,0.06666666666666667,0.03333333333333333,0.2222222222222222,202608030507,0.03333333333333333,0.0,3
8,0.125,2022104413,35.8,23,2000,12,5658,14.0,12.0,芝,1148,0.0,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.07142857142857142,202608030507,0.3,0.1,4
6,0.3333333333333333,2022105848,37.0,23,1400,9,1126,0.0,14.0,ダ,1168,0.2,0.0,0,01102,30,0.2,0.1,0.38,202608030507,0.4666666666666667,0.3,5
9,0.5555555555555556,2021110139,37.5,23,1800,11,5680,9.0,12.0,ダ,1205,0.4,0.0,0,01195,30,0.1,0.03333333333333333,0.0,202608030507,0.3,0.1,6
29,0.20689655172413793,2020102273,35.3,23,2400,14,1213,11.0,10.0,芝,1123,0.0,0.0,0,01138,30,0.16666666666666666,0.03333333333333333,0.02631578947368421,202608030507,0.23333333333333334,0.13333333333333333,7
13,0.38461538461538464,2021105637,37.9,23,1800,9,1112,10.0,10.0,ダ,1058,0.2,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.42045454545454547,202608030507,0.4,0.2,8
7,0.2857142857142857,2021105526,38.7,23,1900,8,1157,11.0,10.0,ダ,1186,0.2,0.0,0,01124,30,0.23333333333333334,0.06666666666666667,,202608030507,0.26666666666666666,0.06666666666666667,9
6,0.3333333333333333,2022103587,38.6,7,2000,1,1157,4.0,4.0,ダ,1185,0.4,0.2,0,01157,30,0.3333333333333333,0.2,0.3902439024390244,202608030507,0.16666666666666666,0.1,10
16,0.375,2021103064,38.7,23,1700,11,1180,15.0,16.0,ダ,1095,0.2,0.2,0,01180,30,0.26666666666666666,0.06666666666666667,0.2811594202898551,202608030507,0.16666666666666666,0.0,11
8,0.625,2021107097,36.5,23,1200,6,1088,0.0,8.0,ダ,1205,0.6,0.0,1,01088,30,0.36666666666666664,0.06666666666666667,0.4,202608030508,0.3,0.1,1
6,0.16666666666666666,2022105857,35.4,23,1600,8,1095,0.0,8.0,芝,1117,0.0,0.0,0,01171,30,0.3,0.06666666666666667,0.30357142857142855,202608030508,0.36666666666666664,0.2,2
13,0.23076923076923078,2022105011,39.3,23,1700,10,1176,3.0,4.0,ダ,1205,0.0,0.0,0,01102,30,0.2,0.1,0.4,202608030508,0.3,0.1,3
8,0.5,2022102388,37.6,23,1400,4,1032,0.0,3.0,ダ,1211,0.4,0.0,0,01032,30,0.23333333333333334,0.1,0.5555555555555556,202608030508,0.26666666666666666,0.1,4
12,0.25,2021105976,41.0,23,1700,11,1168,2.0,2.0,ダ,1092,0.2,0.0,0,01186,30,0.23333333333333334,0.1,0.24444444444444444,202608030508,0.23333333333333334,0.16666666666666666,5
18,0.2777777777777778,2021104242,34.4,23,1600,3,1187,0.0,14.0,芝,1129,0.2,0.0,0,01220,30,0.1,0.03333333333333333,0.0,202608030508,0.16666666666666666,0.03333333333333333,6
8,0.375,2022101053,35.3,23,1200,8,1203,0.0,3.0,芝,1159,0.2,0.2,0,01144,30,0.06666666666666667,0.0,0.2916666666666667,202608030508,0.4,0.13333333333333333,7
16,0.1875,2021106942,36.3,23,1200,5,5680,0.0,8.0,ダ,1135,0.2,0.0,0,01034,30,0.06666666666666667,0.0,0.1504424778761062,202608030508,0.06666666666666667,0.0,8
8,0.125,2022106189,39.0,23,1400,14,1223,0.0,10.0,ダ,1104,0.2,0.2,0,01141,30,0.06666666666666667,0.03333333333333333,0.09090909090909091,202608030508,0.23333333333333334,0.1,9
11,0.36363636363636365,2021105484,35.6,23,1800,15,1222,0.0,2.0,芝,1160,0.0,0.0,0,05212,30,0.16666666666666666,0.06666666666666667,0.40350877192982454,202608030508,0.3333333333333333,0.1,10
4,0.25,2022103649,38.5,23,1800,4,1171,2.0,2.0,ダ,1181,0.25,0.25,0,01126,30,0.36666666666666664,0.2,0.3409090909090909,202608030508,0.16666666666666666,0.0,11
6,0.0,2022103469,38.3,7,1600,5,1179,0.0,5.0,ダ,1185,0.0,0.0,0,01124,30,0.23333333333333334,0.06666666666666667,0.0,202608030508,0.16666666666666666,0.1,12
5,0.2,2022100200,39.0,23,1400,5,1130,0.0,3.0,ダ,1155,0.2,0.2,0,01130,30,0.1,0.03333333333333333,0.15757575757575756,202608030508,0.3,0.16666666666666666,13
11,0.18181818181818182,2021102162,39.6,23,1800,9,1152,9.0,10.0,ダ,1123,0.2,0.2,0,01138,30,0.16666666666666666,0.03333333333333333,0.02631578947368421,202608030508,0.23333333333333334,0.13333333333333333,14
5,0.2,2022101126,38.5,7,1200,8,1186,0.0,6.0,ダ,1184,0.2,0.0,0,01157,30,0.3333333333333333,0.2,0.0,202608030508,0.4666666666666667,0.13333333333333333,15
8,0.25,2022106590,41.4,7,1700,13,1202,2.0,13.0,ダ,1172,0.0,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.25,202608030508,0.2,0.03333333333333333,16
25,0.2,2020106399,38.8,43,1800,16,1138,2.0,1.0,ダ,1166,0.0,0.0,0,01157,30,0.3333333333333333,0.2,0.2542372881355932,202608030509,0.3,0.16666666666666666,1
15,0.3333333333333333,2021105604,39.1,23,1700,1,1185,2.0,2.0,ダ,1166,0.6,0.2,0,01216,30,0.16666666666666666,0.06666666666666667,0.1111111111111111,202608030509,0.3,0.16666666666666666,2
12,0.25,2022104171,34.3,23,1600,5,1178,0.0,7.0,芝,1206,0.0,0.0,0,01126,30,0.36666666666666664,0.2,0.09090909090909091,202608030509,0.2,0.06666666666666667,3
3,0.0,2022104050,35.2,43,1600,8,5558,0.0,4.0,芝,5675,0.0,0.0,0,01124,30,0.23333333333333334,0.06666666666666667,,202608030509,0.0,0.0,4
16,0.25,2022103651,33.8,23,1600,1,1191,0.0,5.0,芝,1099,0.4,0.2,0,01034,30,0.06666666666666667,0.0,0.24647887323943662,202608030509,0.2,0.1,5
6,0.6666666666666666,2020103647,34.0,23,1600,3,1157,0.0,7.0,芝,1071,0.6,0.0,0,01174,30,0.3,0.1,0.40336134453781514,202608030509,0.3333333333333333,0.06666666666666667,6
