horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
1,0.0,2023106587,37.4,15,1600,13,1183,0.0,14.0,ダ,1125,0.0,0.0,0,01183,30,0.03333333333333333,0.0,0.0,202606030801,0.23333333333333334,0.03333333333333333,1
,,2023104265,,,,,,,,,,,,0,01117,30,0.06666666666666667,0.0,,202606030801,,,2
1,0.0,2023103020,43.0,15,1800,12,1217,15.0,15.0,ダ,1169,0.0,0.0,0,01162,30,0.13333333333333333,0.03333333333333333,0.16279069767441862,202606030801,0.16666666666666666,0.03333333333333333,3
,,2023103024,,,,,,,,,,,,0,01160,30,0.3,0.13333333333333333,,202606030801,,,4
,,2023100850,,,,,,,,,,,,0,05203,30,0.3,0.13333333333333333,,202606030801,,,5
1,0.0,2023100463,34.6,15,1600,9,1168,0.0,12.0,芝,1211,0.0,0.0,0,01184,30,0.1,0.0,0.0,202606030801,0.26666666666666666,0.1,6
,,2023105410,,,,,,,,,,,,0,01085,30,0.1,0.0,,202606030801,,,7
,,2023102247,,,,,,,,,,,,0,01174,30,0.3,0.1,,202606030801,,,8
3,0.0,2023105555,39.7,7,1700,6,1197,9.0,8.0,ダ,1076,0.0,0.0,0,01213,30,0.36666666666666664,0.13333333333333333,0.0,202606030801,0.3,0.06666666666666667,9
2,0.0,2023104273,38.5,7,1600,8,1218,0.0,13.0,ダ,1093,0.0,0.0,0,01152,30,0.13333333333333333,0.0,0.0,202606030801,0.16666666666666666,0.0,10
2,0.5,2023101702,35.6,7,2000,2,1152,2.0,1.0,芝,1166,0.5,0.0,0,01171,30,0.3,0.06666666666666667,0.1875,202606030801,0.3,0.16666666666666666,11
2,0.0,2023104274,39.9,7,1600,9,1085,0.0,6.0,ダ,1074,0.0,0.0,0,01134,30,0.1,0.0,0.0,202606030801,0.1,0.06666666666666667,12
,,2023104290,,,,,,,,,,,,0,01143,30,0.16666666666666666,0.06666666666666667,,202606030802,,,1
1,0.0,2023100828,41.0,15,1300,13,1009,0.0,3.0,ダ,1048,0.0,0.0,0,01009,30,0.1,0.0,0.1947261663286004,202606030802,0.2,0.06666666666666667,2
6,0.0,2023104140,34.7,7,1200,6,1181,0.0,9.0,芝,437,0.0,0.0,0,01117,30,0.06666666666666667,0.0,0.1118421052631579,202606030802,0.03333333333333333,0.0,3
,,2023102328,,,,,,,,,,,,0,01219,30,0.03333333333333333,0.0,,202606030802,,,4
2,0.0,2023101910,39.1,7,1600,14,1184,0.0,4.0,芝,1096,0.0,0.0,0,01184,30,0.1,0.0,0.10204081632653061,202606030802,0.1,0.0,5
,,2023103149,,,,,,,,,,,,0,01162,30,0.13333333333333333,0.03333333333333333,,202606030802,,,6
,,2023101801,,,,,,,,,,,,0,01152,30,0.13333333333333333,0.0,,202606030802,,,7
,,2023100595,,,,,,,,,,,,0,00733,30,0.13333333333333333,0.06666666666666667,,202606030802,,,8
1,0.0,2023102841,41.5,15,1800,15,1160,8.0,9.0,ダ,1201,0.0,0.0,0,05386,30,0.43333333333333335,0.16666666666666666,0.5,202606030802,0.3,0.2,9
1,0.0,2023102812,37.2,15,1500,4,1221,0.0,3.0,芝,1190,0.0,0.0,0,01140,30,0.26666666666666666,0.13333333333333333,0.05,202606030802,0.13333333333333333,0.06666666666666667,10
1,0.0,2023102444,44.5,15,1800,11,1127,4.0,6.0,ダ,1207,0.0,0.0,0,01122,30,0.23333333333333334,0.1,0.6666666666666666,202606030802,0.13333333333333333,0.0,11
2,0.0,2023105866,40.4,7,1800,11,1092,5.0,6.0,ダ,1094,0.0,0.0,0,05674,30,0.26666666666666666,0.03333333333333333,,202606030802,0.1,0.06666666666666667,12
2,0.5,2023100955,34.9,7,1400,12,641,0.0,12.0,芝,1167,0.5,0.0,0,01170,30,0.3,0.03333333333333333,0.5555555555555556,202606030802,0.2,0.1,13
,,2023104203,,,,,,,,,,,,0,01077,30,0.23333333333333334,0.06666666666666667,,202606030802,,,14
,,2023107505,,,,,,,,,,,,0,01134,30,0.1,0.0,,202606030802,,,15
8,0.125,2023102803,38.4,7,1200,7,1162,0.0,3.0,ダ,1008,0.2,0.0,0,01085,30,0.1,0.0,0.15476190476190477,202606030802,0.2,0.06666666666666667,16
,,2023106198,,,,,,,,,,,,0,01177,30,0.13333333333333333,0.03333333333333333,,202606030803,,,1
2,0.0,2023106958,39.3,7,1800,4,422,8.0,5.0,ダ,1171,0.0,0.0,0,05203,30,0.3,0.13333333333333333,0.0,202606030803,0.13333333333333333,0.0,2
