fn,n_r,inv,pay,profit,roi,hits,hit_rate,avg_n_bets
V15_baseline_7,137,94700,37780,-56920,39.89440337909187,22,16.05839416058394,6.912408759124087
V15+T1-T4-T5_8,137,108200,37780,-70420,34.91682070240296,22,16.05839416058394,7.897810218978102
V15+T14_T15_T16_10,137,135200,37780,-97420,27.94378698224852,27,19.708029197080293,9.86861313868613
V15+T1-T4-T5+T1-T4-T6_9,137,121700,37780,-83920,31.043549712407557,23,16.78832116788321,8.883211678832117
V15+T2-T3-T4_8,137,108200,37780,-70420,34.91682070240296,23,16.78832116788321,7.897810218978102
Box5_10,137,135200,28000,-107200,20.710059171597635,23,16.78832116788321,9.86861313868613
Box6_20,137,270200,37780,-232420,13.982235381199112,46,33.57664233576642,19.722627737226276
2axis_4,137,94850,40232,-54617,42.41697416974169,16,11.678832116788321,3.9562043795620436
