race_id,course,race_num,race_name,umaban,horse_name,paddock_idx,padock_mark,weight_diff,horse_weight,training_idx,idm_score,stable_idx,ninki_idx,gekiso_idx,train_eval,train_mark,tansho_odds,tyb_source,kyi_source,cyb_source
202604010311,新潟,11,駿風S,6,タツダイヤモンド,,,,,-11.9,45.0,-9.0,1.0,48.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,7,ハートホイップ,,,,,-11.9,48.0,-6.0,4.0,111.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,8,ジュンヴァンケット,,,,,9.1,56.0,6.0,136.0,195.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,9,メイショウキルギス,,,,,-5.0,45.0,-10.0,75.0,92.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,10,トーアアイギス,,,,,-11.9,40.0,-10.0,,24.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,11,トールキン,,,,,-9.2,46.0,-10.0,16.0,163.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,12,ロードトレイル,,,,,-4.8,55.0,17.7,43.0,142.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,13,エコロジーク,,,,,11.0,54.2,10.0,262.0,175.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,14,ベイビーキッス,,,,,17.0,53.9,26.9,468.0,148.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,15,カウスリップ,,,,,2.5,54.0,0.7,136.0,93.0,,0,,,KYI260509.txt,CYB260509.txt
202604010311,新潟,11,駿風S,16,シュラフ,,,,,-6.0,49.0,-7.6,23.0,100.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,1,チュウワダイオウ,,,,,3.8,39.8,6.0,65.0,91.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,2,トーアケルキラ,,,,,21.4,42.1,12.3,290.0,145.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,3,タルタロス,,,,,7.8,47.0,4.0,148.0,84.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,4,キュードス,,,,,-9.7,36.0,-10.0,17.0,61.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,5,ロストボール,,,,,-11.9,42.0,-20.0,,35.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,6,ブラックジジ,,,,,-0.6,39.0,15.2,97.0,182.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,7,キタノブレイク,,,,,4.6,37.0,12.0,84.0,153.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,8,カレンラップスター,,,,,13.3,46.0,6.0,187.0,142.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,9,ナムラジミー,,,,,-11.9,44.0,-9.1,25.0,144.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,10,リリーアロー,,,,,-9.9,38.0,-10.0,14.0,120.0,,0,,,KYI260509.txt,CYB260509.txt
202604010312,新潟,12,4歳以上1勝クラス,11,ハイクオリティ,,,,,22.3,48.0,15.0,598.0,170.0,,0,,,KYI260509.txt,CYB260509.txt
