race_id,horse_id,pad_body_condition_score,pad_body_condition_std,pad_coat_gloss,pad_coat_contrast,pad_body_aspect_mean,pad_body_aspect_var,pad_body_compactness,pad_gait_motion_speed,pad_gait_motion_std,pad_gait_aspect_range,pad_gait_area_change,pad_yolo_conf_mean
202605020610,2019105193,0.7616,0.0316,0.5338,0.2172,1.5386,0.1035,0.3629,10.03,23.67,0.672,6398.7,0.872
202605020610,2020106909,0.7103,0.0125,0.4565,0.211,1.3838,0.069,0.2894,6.76,11.85,0.314,2809.3,0.784
202605020610,2021110077,0.6908,0.0327,0.3995,0.2267,1.5708,0.1671,0.3554,20.79,77.19,1.609,7457.8,0.838
202605020611,2023103752,0.5876,0.0093,0.3349,0.1682,2.2436,0.2805,0.4662,10.35,24.56,1.273,5845.3,0.642
202605020611,2023105685,0.6383,0.0104,0.3707,0.1795,1.5708,0.0467,0.335,5.98,11.65,0.363,2798.9,0.813
202605020611,2023107166,0.5693,0.0293,0.3034,0.1759,1.4779,0.2391,0.2824,29.65,36.69,0.9,17283.1,0.69
202606030501,2023109067,0.7531,0.0121,0.4975,0.1992,1.6561,0.0652,0.306,13.51,14.4,0.315,2825.0,0.87
202606030601,2023102171,0.6493,0.0101,0.3914,0.1898,1.5356,0.1368,0.2577,26.88,14.4,0.477,13298.1,0.743
202606030601,2023102383,0.5995,0.0398,0.3659,0.1595,1.047,0.2256,0.1708,55.04,137.92,0.688,9626.7,0.547
202606030601,2023106658,0.6209,0.0443,0.3657,0.1811,1.1256,0.3805,0.2393,11.38,19.55,1.166,6595.0,0.53
202606030602,2023100362,0.6492,0.0243,0.3948,0.1945,1.3082,0.2708,0.2435,71.53,13.88,0.554,51142.2,0.537
202606030602,2023106691,0.6162,0.011,0.3862,0.166,1.5397,0.1166,0.2803,7.32,12.22,0.296,1410.3,0.899
202606030602,2023107260,0.6766,0.0112,0.4208,0.1958,2.012,0.2909,0.3765,24.61,40.65,1.266,12057.1,0.555
202606030603,2023100533,0.6836,0.0131,0.4067,0.2056,1.476,0.0793,0.3168,14.66,24.45,0.332,4483.8,0.662
202606030603,2023102317,0.6587,0.0134,0.3651,0.2295,1.4468,0.3076,0.3279,50.5,39.86,0.907,20916.0,0.718
202606030603,2023107524,0.5725,0.01,0.3216,0.1737,1.273,0.1924,0.2766,12.73,17.79,0.608,6550.5,0.801
202606030605,2023102558,0.6701,0.0331,0.3989,0.2103,1.4587,0.1989,0.3046,25.92,33.31,1.077,12331.5,0.556
202606030605,2023103799,0.7034,0.0221,0.4246,0.2149,1.8779,0.3223,0.3345,19.67,28.15,0.774,8858.2,0.603
202606030605,2023105418,0.8063,0.035,0.5477,0.2799,1.3348,0.0954,0.3184,12.5,16.61,0.605,6017.0,0.919
202606030606,2023100954,0.7644,0.0292,0.4857,0.2418,1.5438,0.1542,0.28,10.66,11.48,0.554,5150.4,0.837
202606030606,2023103061,0.6867,0.0253,0.4276,0.1969,1.6448,0.2519,0.2783,31.92,36.61,0.856,15069.7,0.505
202606030606,2023103793,0.6917,0.0155,0.4266,0.2018,1.9524,0.2805,0.291,28.57,27.82,0.696,11824.3,0.582
202606030701,2023101659,0.6584,0.0124,0.3843,0.1884,1.4004,0.0673,0.2901,7.92,15.73,0.391,3440.5,0.781
202606030701,2023107095,0.709,0.0594,0.433,0.2311,1.6173,0.1303,0.2361,27.85,24.8,0.512,8945.6,0.805
202606030702,2023100629,0.6952,0.0134,0.4036,0.223,1.6297,0.0923,0.2869,17.8,18.35,0.274,2952.3,0.797
202606030702,2023105682,0.6721,0.0452,0.3992,0.2057,1.5391,0.1521,0.2643,23.44,18.5,0.65,8986.6,0.823
202606030703,2023105795,0.7864,0.029,0.4934,0.2397,1.3745,0.1434,0.2537,12.18,12.62,0.517,6803.5,0.897
202606030703,2023105839,0.6576,0.0149,0.3644,0.2064,1.614,0.2094,0.3112,27.59,24.39,0.76,10277.5,0.737
202606030801,2023102247,0.7219,0.0505,0.4471,0.2361,1.451,0.137,0.2549,35.06,20.71,0.539,14354.4,0.763
202606030801,2023105555,0.8208,0.0188,0.5977,0.2852,1.3176,0.1697,0.2601,56.96,134.63,0.845,6355.1,0.871
202606030802,2023102841,0.7622,0.01,0.4777,0.2296,1.4348,0.1554,0.3679,18.42,23.22,0.405,10439.3,0.83
202606030802,2023103149,0.6111,0.046,0.3762,0.1707,1.7173,0.1126,0.2896,13.07,21.52,0.556,5236.1,0.71
202606030803,2023101814,0.811,0.0341,0.5006,0.2872,1.3703,0.1245,0.2411,16.09,21.16,0.539,3575.9,0.898
202606030803,2023110029,0.7536,0.0138,0.4599,0.2327,1.5165,0.1019,0.2362,12.11,12.28,0.347,4225.4,0.827
202608030511,2023105223,0.7442,0.0178,0.4889,0.1949,0.6003,0.1173,0.1366,10.66,22.08,0.702,2217.8,0.876
202608030511,2023107127,0.6632,0.0124,0.409,0.2034,1.5756,0.0951,0.2461,5.76,17.34,0.67,1251.3,0.792
202608030511,2023107278,0.7513,0.0067,0.4874,0.226,1.417,0.0654,0.2931,6.95,16.26,0.436,2796.8,0.854
202608030610,2023104313,0.7615,0.0108,0.461,0.2305,1.525,0.0592,0.2715,4.34,9.18,0.277,1516.9,0.918
202608030610,2023104960,0.7754,0.0089,0.5013,0.2351,1.5372,0.0914,0.2569,8.52,15.06,0.558,2999.8,0.825
202608030610,2023107352,0.7575,0.0074,0.4856,0.2263,1.6217,0.1048,0.2567,6.79,11.82,0.317,3194.1,0.87
202608030611,2021105425,0.8178,0.0057,0.5224,0.2781,1.5518,0.1371,0.2595,9.04,15.6,0.52,3970.3,0.85
202608030611,2022103686,0.833,0.0053,0.5151,0.3075,1.4605,0.0612,0.2289,8.08,12.85,0.371,1673.8,0.892
202608030611,2022105722,0.7779,0.0059,0.5432,0.2261,1.756,0.1653,0.3119,7.93,15.66,0.559,2933.6,0.866
