"03221501","前日の雨が影響し、だいぶ軟い馬場。内ラチ沿いはかなり悪化していて凹凸が多い。未勝利と同じ距離。ややバラついたが最初のテン争いは半数以上の馬が横並び。最初の障害をブラウンワンダーが先頭で飛越、２番手にクライムメジャーが続く。前行く２頭が後続を引き離し、中団よりも後ろの後方集団が固まった隊列。襷を過ぎて３番手のシャイニーゲールとテーオーソクラテスが接近していき、ブラウンワンダーが２周目３コーナーで脱落。先頭がクライムメジャーに替わり、シャイニーゲールが競りかける。２頭が先頭で並びつつ直線最後の障害に向くが、その真後ろで構えていたテーオーソクラテスが２頭の間を割って抜け出した。粘るシャイニーゲールの外からメイショウジザイが伸び、ゴール寸前で２着に浮上。シャイニーゲールは３着。","　"
"03221502","前日の雨の影響で脚抜きの良い不良馬場。速い時計が出ている状況。ハイペースで流れて馬群は縦長に。好位から勝負所で先頭に立ったサトミノマロンが渋太く粘り込み、故障明けながらも初勝利を挙げた。速い時計への対応力で他馬を上回っていた。２着ロルバーンスカイは勝ち馬に際どく詰め寄ったが僅かに届かず。徐々に時計は詰めているので、初勝利まで近そう。３着は後方から進出したアオカミ。４角で前を射程圏に捉えたが、そこからが甘かった。上位２頭以外は速い時計に対応できていない印象。","　"
"03221503","前日の雨の影響で脚抜きの良い不良馬場。速い時計が出ている状況。平均ペースで逃げたチェインストーリーが、直線に入っても脚色が鈍ることなく後続に５馬身半差つけて圧勝。２着ラブロッソーは勝ち馬には離されたが、楽にこの順位を確保。３着パリスデージーは前有利な状況下でここまで追い込めた点は評価できる。４着以下は速い時計に対応できていなかった。","　"
"03221504","前日の雨が影響し、だいぶ軟い馬場。内ラチ沿いはかなり悪化していて凹凸が多い。比較的横並びで揃ったスタート。最初の障害を５頭ほどが並んで飛越し、内のモーガンが先手を主張。アポロテネシーが外から早めに追い上げ先頭に並び、アスターマリンバが２頭の後ろに続く。襷を過ぎて一旦アポロテネシーが先頭に変わるが、モーガンはピッタリ並んで常に競りかける形。ジャディードが先頭で粘る２頭に２周目向正面で絡んで行き、モーガンが抵抗する。直線は２頭が並んで飛越、最後はジリジリとモーガンが再度競り返して粘り通した。ジャディードも残してはいたが、後ろで構えていたアスターマリンバが渋太く伸びてきてゴール寸前２着に浮上。ジャディードが３着で入線。","　"
"03221505","春の福島最終週。この週のみＢコースで芝のレースは施行される。前日の雨の影響で重馬場。この日最初の芝のレースということもあり、内ラチ沿いの馬場状態は悪くない。ハナに立ったグラストンベリーが道中厳しいマークを受け、直線入り口で交わされたものの、残り１００ｍ地点で差し返して勝利。２着はこれをマークしていたリアルジョージ。抜け出しにかかったところでモタついたことが響いた。３着は中団後ろから最内を突いて浮上したイデアノキセキ。外を回した差し馬は伸びきることができなかった。","　"
"03221506","前日の雨の影響で脚抜きの良い重馬場。速い時計が出ている状況。このレースはハイペースで流れるも、馬場の影響で前目に位置付けた馬が有利な結果に。道中２番手で逃げ馬をマークしたダイチヴィヴァンが、直線で逃げ馬を競り落として勝利。前走から速い時計に対応できるようになったことが今回の勝利に繋がった。２着エバニスタは、道中は追い通しながらの追走も、バテずに渋太く伸びて前に詰め寄った。３着は逃げたカルーナブルガリスが粘り込み。勝ち馬の時計対応能力がやや抜けていた印象だった。","　"
"03221507","３週間開催の最終週。水分を含んで時計を要しており、直線で内をあけるレースも目立った。この７Ｒから芝は稍重に回復。ハナを主張する馬がおらず譲り合いのような序盤から、ニシノスズカゼとエグゼクティブランが平均ペースで引っ張っていく。しばらくレースに動きはなかったが、残り６００ｍあたりからローゼシュティアが外から並びかけ、直線入口ではこれが先頭に立つ。勝ったのはその後を追うように伸びてエコルフリューゲルで、勝ち時計は２分４秒２を要した。３着は直線最内を突いたヴァンデスト。最初先行していた馬は全て疲れて後退してしまった。","　"
"03221508","午前中は不良発表だったが６Ｒからダートは重に回復。８Ｒは１勝クラスで１分４４秒８の勝ち時計だから、引き続き脚抜きがよく時計の出やすい馬場状態だったと言える。鞍上に促されてロイヤルダンスがハナを主張。そこから勝負所まで特にレースは動かなかったが、向正面では１２秒０と速めのラップを刻んでいた。中盤が速く流れたことで上がりを要し、最後はバテ我慢比べという感じ。脚抜きはいいがタフな競馬になっていた。勝ったナンヨーヴィオレはラスト１Ｆで外から浮上。漁夫の利感はあるが今回のような競馬が合っているのだろう。","　"
"03221509","３週間開催の最終週。水分を含んで時計を要しており、直線で内をあけるレースも目立った。７Ｒから芝は稍重に回復しているが時計は引き続き掛かっていて、９Ｒは１分１０秒１の勝ち時計だった。ただ、９Ｒに関しては前半３Ｆが３５秒２、後半３Ｆが３４秒９の後傾ラップ。これが勝ち時計を遅くした原因とも言える。勝ったのは番手から抜け出したアセンダントで、２着は勝負所で外を回って追い上げたヤマニンガラッシア。２頭の着差はアタマ差だけに、通った場所が差を分けたと思える。３着ヴェールクレールは流れが向かなかったが距離短縮で結果を出した。次走は速めのペースで流れた時に楽に追走できるかどうかだろう。","　"
"03221510","３週間開催の最終週。水分を含んで時計を要しており、直線で内をあけるレースも目立った。７Ｒから芝は稍重に回復しているが時計は引き続き掛かり気味。１０Ｒはアウスヴァールが１０００ｍ通過地点まで後続を３馬身ほど離す単騎逃げ。次の２００ｍで後続が一気に前に迫ったが、アウスヴァールはこの地点で十分に息を入れられた。残り５Ｆのラップは１２秒６－１１秒６－１１秒８－１１秒９－１２秒５。５ハロン脚を使い続けるロングスパート戦となった後続に対して、４ハロン脚を続けるアウスヴァールという構図で軍配は後者に上がった。２着ドリームインパクト、３着タイセイドリーマーは先行馬。ペース的にも中団後ろからの差しは届かなかった。","　"
