"01232301","芝は今週からＣコース。クッション値は８．５と札幌にしては高い数値。ハイペースで流れたレースが少なかった影響もあるが、前で運んだ馬の好走が目立っていた１日。好ダッシュからハナを切ったセットアップが大逃げに持ち込み、そのまま押し切ったレース。単独２番手で運んだスパークリシャールがそのまま２着に入り、８馬身離れた３着は後方から追い込んだソニックラインが入線。特殊な展開ではあったが、現状の体力順で決着した印象。","　"
"01232302","ダートは良馬場で時計の掛かる状況。中盤にレースが動くことが多かったことも影響し、長く脚を続かせられる馬の好走が目立っていた。前半の１０００Ｍ通過は６３秒１。特に速かったわけではないが、早めに動く馬もいて最終的には体力勝負に。勝ったフォーディアライフは淡々と逃げる形を取り、ペースアップにもしっかり対応して粘り込んだ。２着アンジュグルーヴは中団後ろを追走し、３コーナーから動く競馬。勝ち馬に際どく詰め寄ったが、頭差届かず。３着デトネイションは出遅れて後方から。長く脚を使って追い込んだが、前２頭をわずかに交わすことができなかった。５着以下は体力不足が顕著だった印象。","　"
"01232303","芝は今週からＣコース。クッション値は８．５と札幌にしては高い数値。ハイペースで流れたレースが少なかった影響もあるが、前で運んだ馬の好走が目立っていた１日。前半６００Ｍ通過は３４秒１とやや速めのペースで流れたが、前で運んだ馬が上位を占めたレース。勝ったサンポーニャは二の脚速くハナを切り、道中はシティウォリアーを外に置いて併走する形。直線は楽に抜け出し、後続を寄せ付けず完勝。２着マテンロウプラウドは好位を追走。４コーナーでうまく内に誘導し、直線は弾けなかったが渋太く残した。３着アルマロクザンは中団前から渋太く伸びて浮上。","　"
"01232304","ダートは良馬場で時計の掛かる状況。中盤にレースが動くことが多かったことも影響し、長く脚を続かせられる馬の好走が目立っていた。ロックジャムが大逃げを敢行するも、後続各馬が３コーナーでこれを捉まえにいく展開となり、後半の持続力勝負に。勝ったノッテルーナは後方からの競馬。勝負所で外から押し上げ、終いまで脚が続いて他馬を捻じ伏せた。２着シルバービスケッツは中団で促しながらの追走。早めに進出したが、もう一押しが足りずこの着順。３着コンフィズリーは好位追走から早めに先頭に立ち、一杯に粘り込んだ形。","　"
"01232305","芝は今週からＣコース。クッション値は８．５と札幌にしては高い数値。ハイペースで流れたレースが少なかった影響もあるが、前で運んだ馬の好走が目立っていた１日。前半６００Ｍ通過は３７秒２とスローペース。直線に向くまでペースは上がらずラスト２Ｆの決め手勝負に。勝ったラヴスコールは中団追走から追われて確り反応し、鋭く伸びて２着馬に競り勝った。２着ラーンザロープスも好位から良い反応を見せて伸びたが、今回は相手が悪かった。３着オーサムストロークは２番手でスムーズに運ぶも、直線は伸び負けた形。上位２頭以外は速い上がりを使えなかった模様。","　"
"01232306","ダートは良馬場で時計の掛かる状況。中盤にレースが動くことが多かったことも影響し、長く脚を続かせられる馬の好走が目立っていた。このレースは３コーナー付近でペースアップし、持続力が問われた展開。勝ったオリンポスカズマは好位後ろでじっくり運び、捲った２着馬を追いかける形で進出。２着馬との長く続いた追い比べを競り勝った。２着ピュアマークスはスタートで接触して後方からの競馬。向正面半ばから進出を開始し、３コーナー過ぎで先頭。先述の通り直線は勝ち馬との追い比べとなり、これに競り負けた。３着リオンエトワールは後方からの競馬。徐々に進出して４コーナーで３番手に浮上。直線はジリジリとではあるが前に迫った。","　"
"01232307","２回札幌３日目。多少水分を含んだ良馬場で、８Ｒ前～９Ｒにも雨が降った。この日の札幌芝は逃げ馬が強く、後半戦の４Ｒでは全て逃げ馬が勝ち切っている。先行馬も多く好走していて、４角で後方にいる馬は好走が難しかった。７Ｒは道中少し緩んでからの後半勝負。スコプルスが向正面で動いたくらいで、隊列は序盤からほぼ変化なく勝負所を迎える。こうなると逃げ先行馬は脚がたまっているので、逃げたマテンロウカノンと番手のブラックヴァールが直線でもうひと伸びしてワンツー。３着にも４角のロスを最小限に抑えたウマピョイが入った。展開的に外枠差し馬には厳しかった。","　"
"01232308","２回札幌３日目。多少水分を含んだ良馬場で、８Ｒ前～９Ｒにも雨が降った。ダートは捲り差しも決まる状況。８Ｒは向正面に入ったタイミングでデームフォーチュンが一気にハナへ。ここでレースラップが速くなっているので、デームフォーチュンとそれについていこうとしたチェイスザウェイには負荷がかかったか。３角から４角出口の間に半数近くが脱落したのはメンバーレベルによるところが大きいが、先行馬以外もそれなりにタフなレースを強いられたようだ。","　"
"01232309","２回札幌３日目。多少水分を含んだ良馬場で、８Ｒ前～９Ｒにも雨が降った。この日の札幌芝は逃げ馬が強く、後半戦の４Ｒでは全て逃げ馬が勝ち切っている。先行馬も多く好走していて、４角で後方にいる馬は好走が難しかった。９Ｒは芝１５００ｍの大外枠からビジュノワールがハナ。同馬は最後の直線で内をあけていて、すぐ後ろにいたケイアイクビラも同様の進路を選択。この２頭がワンツーなのでコース取りはきっと正解だったのだろう。馬場傾向から末脚を伸ばしたレッドシュヴェルトとダノンフロイデは評価できる走り。","　"
"01232310","２回札幌３日目。多少水分を含んだ良馬場で、８Ｒ前～９Ｒにも雨が降った。この日の札幌芝は逃げ馬が強く、後半戦の４Ｒでは全て逃げ馬が勝ち切っている。先行馬も多く好走していて、４角で後方にいる馬は好走が難しかった。１０Ｒはウインスノーライトがスタート一息ながらもハナを主張。決してペースは速くなかったが向正面では縦長馬群となっていて、先行勢は序盤に負荷があったがここでセーフティリードを築いている。結果、直線では何も起こらず、上位人気の先行馬がそのまま粘り込んだ。差し馬は末脚不発で目立つ脚を使える馬がいなかった。","　"
"01232311","２回札幌３日目。多少水分を含んだ良馬場で、８Ｒ前～９Ｒにも雨が降った。この日の札幌芝は逃げ馬が強く、後半戦の４Ｒでは全て逃げ馬が勝ち切っている。先行馬も多く好走していて、４角で後方にいる馬は好走が難しかった。１１Ｒは芝２６００ｍ戦で前半３Ｆ通過は４１．１秒。２勝クラスとは思えないかなりのＳペースで、その後も馬群は一団で進んでいく。当然上がりは速くなり、ゴールに向かって加速するようなレースラップに。内にいた先行馬が残ったが、２着ゴールデンスナップだけは勝負所で外を回して末脚も伸ばしていた。","　"
