condition,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
A,117,0.8974358974358975,0.2905982905982906,34,11700,10500,-1200,0.5902777777777778,1.304294871794872,0.245,0.6985754985754986,0.5811965811965812,68,35100,24520,-10580,0.5458119658119658,0.8556267806267805,0.0,0.8612535612535612,0.9230769230769231,108,35100,30230,-4870,0.7566809116809118,0.9646723646723647,0.008,0.9085470085470085,0.05982905982905983,7,11700,10630,-1070,0.1278846153846154,2.2375854700854694,0.315,1.1307692307692307,0.17094017094017094,20,11700,13230,1530,0.6332692307692307,1.706068376068376,0.668,1.0447293447293446,0.29914529914529914,35,35100,36670,1570,0.5514316239316239,1.613347578347578,0.48,0.9245014245014245,0.5384615384615384,63,35100,32450,-2650,0.6247792022792023,1.2855413105413105,0.292,1.711111111111111,0.06837606837606838,8,11700,20020,8320,0.252051282051282,4.10619658119658,0.668,1.0645909645909646,0.3162393162393162,37,81900,87190,5290,0.5244078144078145,1.8081807081807078,0.539,1.8752136752136752,0.06837606837606838,8,70200,131640,61440,0.17373931623931624,4.71761396011396,0.658,1.6700854700854701,0.05128205128205128,6,23400,39080,15680,0.335042735042735,3.75982905982906,0.73
B,14,1.4357142857142857,0.35714285714285715,5,1400,2010,610,0.37857142857142856,2.8791071428571424,0.703,0.8595238095238096,0.7142857142857143,10,4200,3610,-590,0.47619047619047616,1.3288095238095234,0.268,0.9404761904761905,0.8571428571428571,12,4200,3950,-250,0.49047619047619045,1.4810119047619048,0.39,0.5428571428571428,0.14285714285714285,2,1400,760,-640,0.0,1.3642857142857143,0.127,0.32857142857142857,0.14285714285714285,2,1400,460,-940,0.0,0.8857142857142857,0.015,0.2904761904761905,0.2857142857142857,4,4200,1220,-2980,0.06583333333333338,0.5785714285714286,0.0,0.5333333333333333,0.42857142857142855,6,4200,2240,-1960,0.11904761904761904,1.1286904761904761,0.081,0.0,0.0,0,1400,0,-1400,0.0,0.0,0.0,0.22040816326530613,0.14285714285714285,2,9800,2160,-7640,0.0,0.6255102040816326,0.0,0.0,0.0,0,8400,0,-8400,0.0,0.0,0.0,0.0,0.0,0,2800,0,-2800,0.0,0.0,0.0
C,107,0.9252336448598131,0.22429906542056074,24,10700,9900,-800,0.5457710280373832,1.3926869158878503,0.345,0.7180685358255452,0.4672897196261682,50,32100,23050,-9050,0.5335747663551401,0.9090576323987538,0.002,0.8847352024922118,0.8411214953271028,90,32100,28400,-3700,0.7310981308411214,1.0799143302180683,0.119,1.847663551401869,0.14018691588785046,15,10700,19770,9070,0.7117056074766356,3.185093457943925,0.886,0.32710280373831774,0.06542056074766354,7,10700,3500,-7200,0.08878504672897196,0.6047429906542056,0.0,0.7697819314641745,0.2336448598130841,25,32100,24710,-7390,0.3728348909657321,1.2276401869158875,0.134,0.8205607476635514,0.411214953271028,44,32100,26340,-5760,0.5316822429906543,1.1230529595015577,0.108,0.43177570093457945,0.028037383177570093,3,10700,4620,-6080,0.0,1.035864485981308,0.027,1.5289719626168223,0.21495327102803738,23,74900,114520,39620,0.6533711615487316,2.549355807743658,0.846,0.43644859813084114,0.028037383177570093,3,64200,28020,-36180,0.0,1.0947040498442369,0.04,0.12242990654205607,0.009345794392523364,1,21400,2620,-18780,0.0,0.36728971962616824,0.0
D,148,0.8108108108108109,0.21621621621621623,32,14800,12000,-2800,0.5108108108108108,1.1432601351351352,0.126,0.7002252252252252,0.41216216216216217,61,44400,31090,-13310,0.49412162162162165,0.9189301801801802,0.004,0.9002252252252252,0.8378378378378378,124,44400,39970,-4430,0.7700281531531531,1.0468524774774774,0.082,0.7148648648648649,0.07432432432432433,11,14800,10580,-4220,0.23038851351351353,1.3230236486486486,0.14,0.7364864864864865,0.06756756756756757,10,14800,10900,-3900,0.2141722972972973,1.4778378378378378,0.197,0.7403153153153154,0.1891891891891892,28,44400,32870,-11530,0.43534346846846844,1.08865990990991,0.07,1.2677927927927928,0.41216216216216217,61,44400,56290,11890,0.7160867117117117,1.9625112612612605,0.8,0.8527027027027027,0.060810810810810814,9,14800,12620,-2180,0.26474662162162166,1.6108614864864865,0.284,1.2297297297297298,0.22297297297297297,33,103600,127400,23800,0.4826423745173745,2.4781973938223936,0.621,1.0333333333333334,0.060810810810810814,9,88800,91760,2960,0.29370213963963965,1.9582347972972964,0.472,1.412162162162162,0.02702702702702703,4,29600,41800,12200,0.04560810810810811,3.8719003378378374,0.608
