condition,course,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
C,中京,12,1.0333333333333334,0.3333333333333333,4,1200,1240,40,0.25,1.9339583333333328,0.501,0.45,0.4166666666666667,5,3600,1620,-1980,0.14166666666666666,0.7833333333333333,0.001,0.8555555555555555,0.8333333333333334,10,3600,3080,-520,0.5082638888888888,1.2444444444444445,0.222,1.3333333333333333,0.16666666666666666,2,1200,1600,400,0.0,3.3333333333333335,0.607,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.4444444444444444,0.16666666666666666,2,3600,1600,-2000,0.0,1.1111111111111112,0.04,0.6222222222222222,0.4166666666666667,5,3600,2240,-1360,0.21388888888888888,1.0611111111111111,0.037,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.9071428571428571,0.25,3,8400,7620,-780,0.0,1.9761904761904763,0.406,0.0,0.0,0,7200,0,-7200,0.0,0.0,0.0,0.0,0.0,0,2400,0,-2400,0.0,0.0,0.0
C,中山,27,0.5296296296296297,0.07407407407407407,2,2700,1430,-1270,0.0,1.5333333333333334,0.197,0.6098765432098765,0.37037037037037035,10,8100,4940,-3160,0.2679012345679012,1.0557098765432098,0.044,0.891358024691358,0.8518518518518519,23,8100,7220,-880,0.606141975308642,1.230925925925926,0.232,0.5481481481481482,0.1111111111111111,3,2700,1480,-1220,0.0,1.1262037037037036,0.07,0.26296296296296295,0.07407407407407407,2,2700,710,-1990,0.0,0.6703703703703704,0.001,0.27037037037037037,0.18518518518518517,5,8100,2190,-5910,0.0654320987654321,0.5111419753086419,0.0,0.8790123456790123,0.37037037037037035,10,8100,7120,-980,0.21481481481481482,1.684104938271605,0.315,0.0,0.0,0,2700,0,-2700,0.0,0.0,0.0,2.585714285714286,0.14814814814814814,4,18900,48870,29970,0.0328042328042328,6.173544973544973,0.859,0.0,0.0,0,16200,0,-16200,0.0,0.0,0.0,0.0,0.0,0,5400,0,-5400,0.0,0.0,0.0
C,新潟,1,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.5,1.0,1,300,150,-150,0.5,0.5,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,700,0,-700,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0
C,東京,13,1.6384615384615384,0.46153846153846156,6,1300,2130,830,0.48442307692307696,3.007884615384615,0.817,1.0153846153846153,0.6923076923076923,9,3900,3960,60,0.4816666666666667,1.644166666666666,0.483,1.3051282051282052,0.8461538461538461,11,3900,5090,1190,0.6204487179487179,2.443717948717949,0.643,1.0076923076923077,0.15384615384615385,2,1300,1310,10,0.0,2.4307692307692306,0.537,1.4076923076923078,0.23076923076923078,3,1300,1830,530,0.0,3.4009615384615377,0.644,0.8051282051282052,0.38461538461538464,5,3900,3140,-760,0.19487179487179487,1.4949358974358975,0.273,0.8179487179487179,0.5384615384615384,7,3900,3190,-710,0.33076923076923076,1.3541666666666665,0.234,0.47692307692307695,0.07692307692307693,1,1300,620,-680,0.0,1.4307692307692308,0.076,1.0516483516483517,0.38461538461538464,5,9100,9570,470,0.29975274725274725,1.9023901098901097,0.524,0.33589743589743587,0.07692307692307693,1,7800,2620,-5180,0.0,1.0076923076923077,0.076,1.0076923076923077,0.07692307692307693,1,2600,2620,20,0.0,3.023076923076923,0.644
C,福島,35,1.0314285714285714,0.17142857142857143,6,3500,3610,110,0.32542857142857146,1.8610714285714276,0.508,0.979047619047619,0.5142857142857142,18,10500,10280,-220,0.617,1.320095238095238,0.46,0.8838095238095238,0.8571428571428571,30,10500,9280,-1220,0.6637857142857143,1.1152619047619046,0.167,3.8771428571428572,0.17142857142857143,6,3500,13570,10070,0.7027142857142857,8.385071428571425,0.959,0.2742857142857143,0.05714285714285714,2,3500,960,-2540,0.0,0.6742857142857143,0.0,1.4685714285714286,0.2857142857142857,10,10500,15420,4920,0.41769047619047617,2.9321428571428565,0.742,1.0695238095238095,0.42857142857142855,15,10500,11230,730,0.5228571428571429,1.6917142857142855,0.594,1.1428571428571428,0.05714285714285714,2,3500,4000,500,0.0,3.0314285714285716,0.529,1.713469387755102,0.2571428571428571,9,24500,41980,17480,0.43860204081632653,3.292295918367347,0.822,1.2095238095238094,0.05714285714285714,2,21000,25400,4400,0.0,3.255714285714286,0.529,0.0,0.0,0,7000,0,-7000,0.0,0.0,0.0
C,阪神,19,0.7842105263157895,0.3157894736842105,6,1900,1490,-410,0.2419736842105263,1.3738157894736842,0.207,0.39473684210526316,0.42105263157894735,8,5700,2250,-3450,0.18407894736842104,0.610657894736842,0.0,0.6280701754385964,0.7894736842105263,15,5700,3580,-2120,0.43855263157894736,0.8280701754385965,0.0,0.9526315789473684,0.10526315789473684,2,1900,1810,-90,0.0,2.4210526315789473,0.39,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.41403508771929826,0.15789473684210525,3,5700,2360,-3340,0.0,0.8982456140350877,0.008,0.44912280701754387,0.3684210526315789,7,5700,2560,-3140,0.1701315789473684,0.766798245614035,0.001,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.48721804511278194,0.10526315789473684,2,13300,6480,-6820,0.0,1.4142857142857144,0.081,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
D,中京,19,0.5684210526315789,0.21052631578947367,4,1900,1080,-820,0.08947368421052632,1.1001315789473685,0.052,0.22456140350877193,0.2631578947368421,5,5700,1280,-4420,0.06315789473684211,0.40359649122807006,0.0,0.9859649122807017,0.7894736842105263,15,5700,5620,-80,0.4455701754385965,1.6877631578947367,0.447,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.6473684210526316,0.05263157894736842,1,1900,1230,-670,0.0,1.9421052631578948,0.274,0.21578947368421053,0.05263157894736842,1,5700,1230,-4470,0.0,0.6473684210526316,0.004,2.2824561403508774,0.21052631578947367,4,5700,13010,7310,0.08771929824561403,5.443859649122807,0.874,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.4368421052631579,0.10526315789473684,2,13300,5810,-7490,0.0,1.3121992481202993,0.077,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
D,中山,35,1.1171428571428572,0.2571428571428571,9,3500,3910,410,0.3742142857142857,2.165857142857143,0.594,0.8419047619047619,0.4,14,10500,8840,-1660,0.3390238095238095,1.4849523809523808,0.279,0.9857142857142858,0.9142857142857143,32,10500,10350,-150,0.7942380952380952,1.1904761904761905,0.409,1.1371428571428572,0.08571428571428572,3,3500,3980,480,0.0,3.2030714285714286,0.608,0.43714285714285717,0.08571428571428572,3,3500,1530,-1970,0.0,1.0062857142857138,0.03,0.6190476190476191,0.2,7,10500,6500,-4000,0.13142857142857142,1.3657857142857142,0.134,1.3428571428571427,0.5428571428571428,19,10500,14100,3600,0.7827857142857142,2.0466904761904763,0.844,1.9114285714285715,0.11428571428571428,4,3500,6690,3190,0.1457142857142857,4.580071428571428,0.765,1.1248979591836734,0.3142857142857143,11,24500,27560,3060,0.4130102040816327,1.9633979591836734,0.583,2.3314285714285714,0.11428571428571428,4,21000,48960,27960,0.06428571428571428,5.646940476190475,0.796,5.5128571428571425,0.08571428571428572,3,7000,38590,31590,0.0,15.26142857142857,0.843
D,新潟,6,1.7166666666666666,0.3333333333333333,2,600,1030,430,0.0,4.25,0.69,0.8,0.5,3,1800,1440,-360,0.15,1.6444444444444444,0.264,0.8055555555555556,0.8333333333333334,5,1800,1450,-350,0.4722222222222222,1.0777777777777777,0.108,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,1.3833333333333333,0.16666666666666666,1,600,830,230,0.0,4.15,0.661,0.9166666666666666,0.3333333333333333,2,1800,1650,-150,0.0,1.8388888888888888,0.331,0.6388888888888888,0.5,3,1800,1150,-650,0.19444444444444445,1.1277777777777778,0.101,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.8761904761904762,0.16666666666666666,1,4200,3680,-520,0.0,2.6285714285714286,0.263,0.0,0.0,0,3600,0,-3600,0.0,0.0,0.0,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0
D,東京,16,0.675,0.25,4,1600,1080,-520,0.14375,1.44375,0.171,0.50625,0.4375,7,4800,2430,-2370,0.20411458333333332,0.8315104166666665,0.0,0.7666666666666667,0.75,12,4800,3680,-1120,0.49140625,1.0521874999999998,0.061,0.30625,0.0625,1,1600,490,-1110,0.0,0.91875,0.012,0.375,0.0625,1,1600,600,-1000,0.0,1.125,0.083,0.5916666666666667,0.1875,3,4800,2840,-1960,0.0,1.4229166666666666,0.13,0.5708333333333333,0.375,6,4800,2740,-2060,0.20411458333333332,1.0021354166666667,0.026,0.0,0.0,0,1600,0,-1600,0.0,0.0,0.0,0.4330357142857143,0.125,2,11200,4850,-6350,0.0,1.042857142857143,0.045,0.0,0.0,0,9600,0,-9600,0.0,0.0,0.0,0.0,0.0,0,3200,0,-3200,0.0,0.0,0.0
D,福島,29,1.0448275862068965,0.27586206896551724,8,2900,3030,130,0.43439655172413794,1.7655172413793103,0.547,0.9045977011494253,0.5862068965517241,17,8700,7870,-830,0.6045977011494252,1.223045977011494,0.287,0.903448275862069,0.896551724137931,26,8700,7860,-840,0.7252586206896552,1.0747413793103449,0.119,0.9655172413793104,0.06896551724137931,2,2900,2800,-100,0.0,2.43448275862069,0.382,2.3137931034482757,0.13793103448275862,4,2900,6710,3810,0.2413793103448276,5.697068965517241,0.79,1.535632183908046,0.27586206896551724,8,8700,13360,4660,0.564080459770115,2.8082183908045977,0.822,1.0632183908045978,0.5172413793103449,15,8700,9250,550,0.5792241379310346,1.6104022988505746,0.599,1.5,0.06896551724137931,2,2900,4350,1450,0.0,3.6566379310344783,0.612,0.9330049261083744,0.2413793103448276,7,20300,18940,-1360,0.3374384236453202,1.7208128078817733,0.401,1.9040229885057471,0.06896551724137931,2,17400,33130,15730,0.0,4.723749999999999,0.751,0.0,0.0,0,5800,0,-5800,0.0,0.0,0.0
D,阪神,43,0.43488372093023253,0.11627906976744186,5,4300,1870,-2430,0.08139534883720931,0.9048837209302324,0.008,0.7155038759689922,0.3488372093023256,15,12900,9230,-3670,0.31775193798449614,1.214864341085271,0.122,0.8534883720930233,0.7906976744186046,34,12900,11010,-1890,0.6053682170542636,1.172093023255814,0.146,0.7697674418604651,0.11627906976744186,5,4300,3310,-990,0.22093023255813954,1.5233720930232557,0.237,0.0,0.0,0,4300,0,-4300,0.0,0.0,0.0,0.5651162790697675,0.16279069767441862,7,12900,7290,-5610,0.14647286821705427,1.2242635658914727,0.084,1.2434108527131782,0.32558139534883723,14,12900,16040,3140,0.30071705426356593,2.8714922480620153,0.614,0.3674418604651163,0.06976744186046512,3,4300,1580,-2720,0.0,0.8238953488372087,0.006,2.211295681063123,0.23255813953488372,10,30100,66560,36460,0.1777076411960133,6.01515780730897,0.63,0.3748062015503876,0.06976744186046512,3,25800,9670,-16130,0.0,0.846240310077519,0.008,0.3732558139534884,0.023255813953488372,1,8600,3210,-5390,0.0,1.119767441860465,0.063
