condition,course,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
B,東京,3,1.4,0.3333333333333333,1,300,420,120,0.0,4.2,0.708,0.7222222222222222,0.6666666666666666,2,900,650,-250,0.0,1.4,0.145,0.5222222222222223,0.6666666666666666,2,900,470,-430,0.0,0.8333333333333334,0.0,1.2333333333333334,0.3333333333333333,1,300,370,70,0.0,3.7,0.708,0.4666666666666667,0.3333333333333333,1,300,140,-160,0.0,1.4,0.029,0.5666666666666667,0.6666666666666666,2,900,510,-390,0.0,1.2333333333333334,0.04,0.3333333333333333,0.6666666666666666,2,900,300,-600,0.0,0.6333333333333333,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,1.0285714285714285,0.6666666666666666,2,2100,2160,60,0.0,2.585714285714286,0.611,0.0,0.0,0,1800,0,-1800,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0
B,阪神,5,0.88,0.4,2,500,440,-60,0.0,2.2,0.402,0.8066666666666666,0.8,4,1500,1210,-290,0.24,1.3333333333333333,0.219,0.98,1.0,5,1500,1470,-30,0.5,1.6408333333333325,0.443,0.78,0.2,1,500,390,-110,0.0,2.34,0.28,0.64,0.2,1,500,320,-180,0.0,1.92,0.23,0.47333333333333333,0.4,2,1500,710,-790,0.0,0.9933333333333333,0.016,0.2866666666666667,0.4,2,1500,430,-1070,0.0,0.5933333333333334,0.0,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.0,0.0,0,3500,0,-3500,0.0,0.0,0.0,0.0,0.0,0,3000,0,-3000,0.0,0.0,0.0,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0
C,中京,12,1.0333333333333334,0.3333333333333333,4,1200,1240,40,0.175,1.9333333333333333,0.509,0.45,0.4166666666666667,5,3600,1620,-1980,0.14166666666666666,0.7583333333333333,0.0,0.8555555555555555,0.8333333333333334,10,3600,3080,-520,0.5026388888888889,1.2723611111111108,0.24,1.3333333333333333,0.16666666666666666,2,1200,1600,400,0.0,3.3333333333333335,0.627,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.4444444444444444,0.16666666666666666,2,3600,1600,-2000,0.0,1.1111111111111112,0.033,0.6222222222222222,0.4166666666666667,5,3600,2240,-1360,0.18333333333333332,1.0668055555555553,0.044,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.9071428571428571,0.25,3,8400,7620,-780,0.0,2.092857142857143,0.39,0.0,0.0,0,7200,0,-7200,0.0,0.0,0.0,0.0,0.0,0,2400,0,-2400,0.0,0.0,0.0
C,中山,27,0.5296296296296297,0.07407407407407407,2,2700,1430,-1270,0.0,1.4777777777777779,0.201,0.6098765432098765,0.37037037037037035,10,8100,4940,-3160,0.25790123456790126,1.02858024691358,0.033,0.891358024691358,0.8518518518518519,23,8100,7220,-880,0.634537037037037,1.2012654320987655,0.228,0.5481481481481482,0.1111111111111111,3,2700,1480,-1220,0.0,1.1334259259259258,0.072,0.26296296296296295,0.07407407407407407,2,2700,710,-1990,0.0,0.6703703703703704,0.0,0.27037037037037037,0.18518518518518517,5,8100,2190,-5910,0.0654320987654321,0.49160493827160473,0.0,0.8790123456790123,0.37037037037037035,10,8100,7120,-980,0.25055555555555553,1.6375617283950612,0.334,0.0,0.0,0,2700,0,-2700,0.0,0.0,0.0,2.585714285714286,0.14814814814814814,4,18900,48870,29970,0.0656084656084656,6.067195767195767,0.874,0.0,0.0,0,16200,0,-16200,0.0,0.0,0.0,0.0,0.0,0,5400,0,-5400,0.0,0.0,0.0
C,京都,10,0.32,0.1,1,1000,320,-680,0.0,0.96,0.02,0.24333333333333335,0.2,2,3000,730,-2270,0.0,0.5633333333333334,0.0,0.5766666666666667,0.7,7,3000,1730,-1270,0.2699166666666667,0.9133333333333333,0.004,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0,0.27,0.1,1,1000,270,-730,0.0,0.81,0.02,0.09,0.1,1,3000,270,-2730,0.0,0.27,0.0,0.48333333333333334,0.2,2,3000,1450,-1550,0.0,1.15,0.057,0.33,0.1,1,1000,330,-670,0.0,0.99,0.02,0.047142857142857146,0.1,1,7000,330,-6670,0.0,0.14142857142857143,0.0,0.25666666666666665,0.1,1,6000,1540,-4460,0.0,0.77,0.02,0.77,0.1,1,2000,1540,-460,0.0,2.31,0.262
C,新潟,1,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.5,1.0,1,300,150,-150,0.5,0.5,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,700,0,-700,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0
C,東京,13,1.6384615384615384,0.46153846153846156,6,1300,2130,830,0.4846153846153846,3.0386538461538457,0.824,1.0153846153846153,0.6923076923076923,9,3900,3960,60,0.4666025641025641,1.6487820512820512,0.479,1.3051282051282052,0.8461538461538461,11,3900,5090,1190,0.6153205128205128,2.4283333333333332,0.652,1.0076923076923077,0.15384615384615385,2,1300,1310,10,0.0,2.4307692307692306,0.554,1.4076923076923078,0.23076923076923078,3,1300,1830,530,0.0,3.4461538461538463,0.66,0.8051282051282052,0.38461538461538464,5,3900,3140,-760,0.20256410256410257,1.4872435897435898,0.276,0.8179487179487179,0.5384615384615384,7,3900,3190,-710,0.3050641025641026,1.3692948717948719,0.225,0.47692307692307695,0.07692307692307693,1,1300,620,-680,0.0,1.4307692307692308,0.078,1.0516483516483517,0.38461538461538464,5,9100,9570,470,0.3182142857142857,1.8921428571428562,0.551,0.33589743589743587,0.07692307692307693,1,7800,2620,-5180,0.0,1.0076923076923077,0.078,1.0076923076923077,0.07692307692307693,1,2600,2620,20,0.0,3.023076923076923,0.645
C,福島,35,1.0314285714285714,0.17142857142857143,6,3500,3610,110,0.31378571428571433,1.9314285714285715,0.508,0.979047619047619,0.5142857142857142,18,10500,10280,-220,0.6180714285714286,1.3352619047619048,0.433,0.8838095238095238,0.8571428571428571,30,10500,9280,-1220,0.6827380952380953,1.1114523809523809,0.145,3.8771428571428572,0.17142857142857143,6,3500,13570,10070,0.8507142857142858,8.017142857142858,0.961,0.2742857142857143,0.05714285714285714,2,3500,960,-2540,0.0,0.6971428571428572,0.0,1.4685714285714286,0.2857142857142857,10,10500,15420,4920,0.4284523809523809,2.7884523809523794,0.746,1.0695238095238095,0.42857142857142855,15,10500,11230,730,0.5018333333333332,1.6723809523809523,0.561,1.1428571428571428,0.05714285714285714,2,3500,4000,500,0.0,3.0314285714285716,0.513,1.713469387755102,0.2571428571428571,9,24500,41980,17480,0.4448877551020408,3.3963877551020403,0.831,1.2095238095238094,0.05714285714285714,2,21000,25400,4400,0.0,3.255714285714286,0.513,0.0,0.0,0,7000,0,-7000,0.0,0.0,0.0
C,阪神,19,0.7842105263157895,0.3157894736842105,6,1900,1490,-410,0.3105263157894737,1.4159210526315789,0.234,0.39473684210526316,0.42105263157894735,8,5700,2250,-3450,0.18416666666666667,0.6368859649122807,0.0,0.6280701754385964,0.7894736842105263,15,5700,3580,-2120,0.42276315789473684,0.8333771929824562,0.0,0.9526315789473684,0.10526315789473684,2,1900,1810,-90,0.0,2.4210526315789473,0.4,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.41403508771929826,0.15789473684210525,3,5700,2360,-3340,0.0,0.9035087719298246,0.01,0.44912280701754387,0.3684210526315789,7,5700,2560,-3140,0.17535087719298245,0.7684649122807017,0.0,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.48721804511278194,0.10526315789473684,2,13300,6480,-6820,0.0,1.4142857142857144,0.087,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
D,中京,19,0.5684210526315789,0.21052631578947367,4,1900,1080,-820,0.08421052631578947,1.1686842105263155,0.072,0.22456140350877193,0.2631578947368421,5,5700,1280,-4420,0.05964912280701754,0.4300438596491226,0.0,0.9859649122807017,0.7894736842105263,15,5700,5620,-80,0.429780701754386,1.6897368421052628,0.406,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.6473684210526316,0.05263157894736842,1,1900,1230,-670,0.0,1.9421052631578948,0.268,0.21578947368421053,0.05263157894736842,1,5700,1230,-4470,0.0,0.6473684210526316,0.001,2.2824561403508774,0.21052631578947367,4,5700,13010,7310,0.08771929824561403,5.443859649122807,0.858,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.4368421052631579,0.10526315789473684,2,13300,5810,-7490,0.0,1.243609022556391,0.071,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
