condition,course,horses_band,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
B,東京,unknown,3,1.4,0.3333333333333333,1,300,420,120,0.0,4.2,0.738,0.7222222222222222,0.6666666666666666,2,900,650,-250,0.0,1.4,0.146,0.5222222222222223,0.6666666666666666,2,900,470,-430,0.0,0.8333333333333334,0.0,1.2333333333333334,0.3333333333333333,1,300,370,70,0.0,3.7,0.738,0.4666666666666667,0.3333333333333333,1,300,140,-160,0.0,1.4,0.035,0.5666666666666667,0.6666666666666666,2,900,510,-390,0.0,1.2333333333333334,0.038,0.3333333333333333,0.6666666666666666,2,900,300,-600,0.0,0.6333333333333333,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,1.0285714285714285,0.6666666666666666,2,2100,2160,60,0.0,2.585714285714286,0.619,0.0,0.0,0,1800,0,-1800,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0
B,阪神,unknown,5,0.88,0.4,2,500,440,-60,0.0,1.98,0.393,0.8066666666666666,0.8,4,1500,1210,-290,0.31333333333333335,1.3333333333333333,0.264,0.98,1.0,5,1500,1470,-30,0.5333333333333333,1.64,0.435,0.78,0.2,1,500,390,-110,0.0,2.34,0.272,0.64,0.2,1,500,320,-180,0.0,1.92,0.263,0.47333333333333333,0.4,2,1500,710,-790,0.0,0.9933333333333333,0.013,0.2866666666666667,0.4,2,1500,430,-1070,0.0,0.5933333333333334,0.0,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.0,0.0,0,3500,0,-3500,0.0,0.0,0.0,0.0,0.0,0,3000,0,-3000,0.0,0.0,0.0,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0
C,中京,unknown,12,1.0333333333333334,0.3333333333333333,4,1200,1240,40,0.25,1.967291666666666,0.516,0.45,0.4166666666666667,5,3600,1620,-1980,0.16666666666666666,0.7944444444444444,0.0,0.8555555555555555,0.8333333333333334,10,3600,3080,-520,0.475,1.2833333333333334,0.237,1.3333333333333333,0.16666666666666666,2,1200,1600,400,0.0,3.3333333333333335,0.612,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.4444444444444444,0.16666666666666666,2,3600,1600,-2000,0.0,1.1111111111111112,0.037,0.6222222222222222,0.4166666666666667,5,3600,2240,-1360,0.18333333333333332,1.0916666666666666,0.051,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.9071428571428571,0.25,3,8400,7620,-780,0.0,2.092857142857143,0.39,0.0,0.0,0,7200,0,-7200,0.0,0.0,0.0,0.0,0.0,0,2400,0,-2400,0.0,0.0,0.0
C,中山,unknown,27,0.5296296296296297,0.07407407407407407,2,2700,1430,-1270,0.0,1.5333333333333334,0.185,0.6098765432098765,0.37037037037037035,10,8100,4940,-3160,0.2591975308641975,1.058148148148148,0.04,0.891358024691358,0.8518518518518519,23,8100,7220,-880,0.6234259259259259,1.2111728395061727,0.209,0.5481481481481482,0.1111111111111111,3,2700,1480,-1220,0.0,1.2631481481481481,0.081,0.26296296296296295,0.07407407407407407,2,2700,710,-1990,0.0,0.6703703703703704,0.0,0.27037037037037037,0.18518518518518517,5,8100,2190,-5910,0.07867283950617286,0.5135802469135803,0.0,0.8790123456790123,0.37037037037037035,10,8100,7120,-980,0.24799382716049384,1.679043209876543,0.338,0.0,0.0,0,2700,0,-2700,0.0,0.0,0.0,2.585714285714286,0.14814814814814814,4,18900,48870,29970,0.0328042328042328,6.173544973544973,0.862,0.0,0.0,0,16200,0,-16200,0.0,0.0,0.0,0.0,0.0,0,5400,0,-5400,0.0,0.0,0.0
C,京都,unknown,10,0.32,0.1,1,1000,320,-680,0.0,0.96,0.018,0.24333333333333335,0.2,2,3000,730,-2270,0.0,0.5633333333333334,0.0,0.5766666666666667,0.7,7,3000,1730,-1270,0.28,0.9134166666666665,0.006,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0,0.27,0.1,1,1000,270,-730,0.0,0.81,0.018,0.09,0.1,1,3000,270,-2730,0.0,0.27,0.0,0.48333333333333334,0.2,2,3000,1450,-1550,0.0,1.15,0.06,0.33,0.1,1,1000,330,-670,0.0,0.99,0.018,0.047142857142857146,0.1,1,7000,330,-6670,0.0,0.14142857142857143,0.0,0.25666666666666665,0.1,1,6000,1540,-4460,0.0,0.77,0.018,0.77,0.1,1,2000,1540,-460,0.0,2.31,0.265
C,新潟,unknown,1,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.5,1.0,1,300,150,-150,0.5,0.5,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,0.0,0.0,0,100,0,-100,0.0,0.0,0.0,0.0,0.0,0,700,0,-700,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0
C,東京,unknown,13,1.6384615384615384,0.46153846153846156,6,1300,2130,830,0.5305769230769231,3.0696153846153846,0.823,1.0153846153846153,0.6923076923076923,9,3900,3960,60,0.4512820512820513,1.6308974358974357,0.475,1.3051282051282052,0.8461538461538461,11,3900,5090,1190,0.6256410256410256,2.520961538461538,0.687,1.0076923076923077,0.15384615384615385,2,1300,1310,10,0.0,2.4307692307692306,0.56,1.4076923076923078,0.23076923076923078,3,1300,1830,530,0.0,3.2548076923076916,0.655,0.8051282051282052,0.38461538461538464,5,3900,3140,-760,0.258974358974359,1.471923076923077,0.244,0.8179487179487179,0.5384615384615384,7,3900,3190,-710,0.2973717948717949,1.353974358974359,0.226,0.47692307692307695,0.07692307692307693,1,1300,620,-680,0.0,1.4307692307692308,0.068,1.0516483516483517,0.38461538461538464,5,9100,9570,470,0.27912087912087913,1.7824725274725275,0.52,0.33589743589743587,0.07692307692307693,1,7800,2620,-5180,0.0,1.0076923076923077,0.068,1.0076923076923077,0.07692307692307693,1,2600,2620,20,0.0,3.023076923076923,0.652
C,福島,unknown,35,1.0314285714285714,0.17142857142857143,6,3500,3610,110,0.2910714285714286,1.888785714285714,0.503,0.979047619047619,0.5142857142857142,18,10500,10280,-220,0.6495238095238095,1.3419285714285714,0.439,0.8838095238095238,0.8571428571428571,30,10500,9280,-1220,0.6628571428571428,1.1029047619047618,0.145,3.8771428571428572,0.17142857142857143,6,3500,13570,10070,0.7762142857142857,8.116142857142854,0.956,0.2742857142857143,0.05714285714285714,2,3500,960,-2540,0.0,0.6971428571428572,0.001,1.4685714285714286,0.2857142857142857,10,10500,15420,4920,0.43709523809523815,2.9106666666666663,0.771,1.0695238095238095,0.42857142857142855,15,10500,11230,730,0.5323333333333333,1.712928571428571,0.58,1.1428571428571428,0.05714285714285714,2,3500,4000,500,0.0,3.0314285714285716,0.546,1.713469387755102,0.2571428571428571,9,24500,41980,17480,0.48121428571428576,3.301428571428571,0.836,1.2095238095238094,0.05714285714285714,2,21000,25400,4400,0.0,3.255714285714286,0.546,0.0,0.0,0,7000,0,-7000,0.0,0.0,0.0
C,阪神,unknown,19,0.7842105263157895,0.3157894736842105,6,1900,1490,-410,0.24210526315789474,1.352894736842105,0.203,0.39473684210526316,0.42105263157894735,8,5700,2250,-3450,0.18416666666666667,0.6298245614035087,0.0,0.6280701754385964,0.7894736842105263,15,5700,3580,-2120,0.429780701754386,0.8315789473684211,0.001,0.9526315789473684,0.10526315789473684,2,1900,1810,-90,0.0,2.3421052631578947,0.405,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.41403508771929826,0.15789473684210525,3,5700,2360,-3340,0.0,0.9035087719298246,0.01,0.44912280701754387,0.3684210526315789,7,5700,2560,-3140,0.16140350877192983,0.7546491228070173,0.001,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.48721804511278194,0.10526315789473684,2,13300,6480,-6820,0.0,1.4142857142857144,0.082,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
D,中京,unknown,19,0.5684210526315789,0.21052631578947367,4,1900,1080,-820,0.08421052631578947,1.1842105263157894,0.068,0.22456140350877193,0.2631578947368421,5,5700,1280,-4420,0.06135964912280702,0.44394736842105254,0.0,0.9859649122807017,0.7894736842105263,15,5700,5620,-80,0.45083333333333336,1.6878508771929823,0.419,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.6473684210526316,0.05263157894736842,1,1900,1230,-670,0.0,1.9421052631578948,0.231,0.21578947368421053,0.05263157894736842,1,5700,1230,-4470,0.0,0.6473684210526316,0.0,2.2824561403508774,0.21052631578947367,4,5700,13010,7310,0.08771929824561403,5.443859649122807,0.857,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.4368421052631579,0.10526315789473684,2,13300,5810,-7490,0.0,1.1766917293233083,0.068,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
D,中山,unknown,35,1.1171428571428572,0.2571428571428571,9,3500,3910,410,0.3856428571428572,2.1257857142857146,0.599,0.8419047619047619,0.4,14,10500,8840,-1660,0.3923809523809524,1.4686428571428571,0.252,0.9857142857142858,0.9142857142857143,32,10500,10350,-150,0.7894761904761904,1.1981190476190475,0.454,1.1371428571428572,0.08571428571428572,3,3500,3980,480,0.0,3.311642857142857,0.613,0.43714285714285717,0.08571428571428572,3,3500,1530,-1970,0.0,1.048642857142857,0.033,0.6190476190476191,0.2,7,10500,6500,-4000,0.13802380952380955,1.4180952380952372,0.142,1.3428571428571427,0.5428571428571428,19,10500,14100,3600,0.7989999999999999,2.067380952380952,0.855,1.9114285714285715,0.11428571428571428,4,3500,6690,3190,0.17357142857142863,4.729285714285714,0.77,1.1248979591836734,0.3142857142857143,11,24500,27560,3060,0.34196938775510205,2.0027755102040814,0.597,2.3314285714285714,0.11428571428571428,4,21000,48960,27960,0.12696428571428578,5.911476190476189,0.794,5.5128571428571425,0.08571428571428572,3,7000,38590,31590,0.0,16.152857142857144,0.837
D,京都,unknown,16,0.15,0.0625,1,1600,240,-1360,0.0,0.45,0.0,0.56875,0.3125,5,4800,2730,-2070,0.12708333333333333,1.1520833333333333,0.061,0.5895833333333333,0.6875,11,4800,2830,-1970,0.32692708333333337,0.8792187499999999,0.002,0.13125,0.0625,1,1600,210,-1390,0.0,0.39375,0.0,0.0,0.0,0,1600,0,-1600,0.0,0.0,0.0,1.25,0.1875,3,4800,6000,1200,0.0,3.375,0.574,0.6270833333333333,0.25,4,4800,3010,-1790,0.053489583333333375,1.3631770833333328,0.141,0.0,0.0,0,1600,0,-1600,0.0,0.0,0.0,0.0,0.0,0,11200,0,-11200,0.0,0.0,0.0,0.0,0.0,0,9600,0,-9600,0.0,0.0,0.0,0.0,0.0,0,3200,0,-3200,0.0,0.0,0.0
D,新潟,unknown,6,1.7166666666666666,0.3333333333333333,2,600,1030,430,0.0,4.25,0.693,0.8,0.5,3,1800,1440,-360,0.15,1.6011111111111103,0.294,0.8055555555555556,0.8333333333333334,5,1800,1450,-350,0.47194444444444444,1.0722222222222222,0.103,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,1.3833333333333333,0.16666666666666666,1,600,830,230,0.0,4.15,0.683,0.9166666666666666,0.3333333333333333,2,1800,1650,-150,0.0,1.8388888888888888,0.345,0.6388888888888888,0.5,3,1800,1150,-650,0.19444444444444445,1.1166666666666667,0.102,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.8761904761904762,0.16666666666666666,1,4200,3680,-520,0.0,2.6285714285714286,0.285,0.0,0.0,0,3600,0,-3600,0.0,0.0,0.0,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0
D,東京,unknown,16,0.675,0.25,4,1600,1080,-520,0.075,1.39375,0.168,0.50625,0.4375,7,4800,2430,-2370,0.21661458333333333,0.8333333333333334,0.001,0.7666666666666667,0.75,12,4800,3680,-1120,0.4979166666666667,1.04171875,0.047,0.30625,0.0625,1,1600,490,-1110,0.0,0.91875,0.018,0.375,0.0625,1,1600,600,-1000,0.0,1.125,0.084,0.5916666666666667,0.1875,3,4800,2840,-1960,0.0,1.4229166666666666,0.138,0.5708333333333333,0.375,6,4800,2740,-2060,0.21041666666666667,0.9750520833333333,0.016,0.0,0.0,0,1600,0,-1600,0.0,0.0,0.0,0.4330357142857143,0.125,2,11200,4850,-6350,0.0,1.1267857142857143,0.046,0.0,0.0,0,9600,0,-9600,0.0,0.0,0.0,0.0,0.0,0,3200,0,-3200,0.0,0.0,0.0
D,福島,unknown,29,1.0448275862068965,0.27586206896551724,8,2900,3030,130,0.4446551724137931,1.7206896551724138,0.527,0.9045977011494253,0.5862068965517241,17,8700,7870,-830,0.6056609195402299,1.1954885057471265,0.264,0.903448275862069,0.896551724137931,26,8700,7860,-840,0.7298850574712644,1.0655459770114943,0.121,0.9655172413793104,0.06896551724137931,2,2900,2800,-100,0.0,2.393103448275862,0.389,2.3137931034482757,0.13793103448275862,4,2900,6710,3810,0.2413793103448276,5.468879310344825,0.795,1.535632183908046,0.27586206896551724,8,8700,13360,4660,0.5206896551724138,2.8153160919540223,0.841,1.0632183908045978,0.5172413793103449,15,8700,9250,550,0.5344827586206896,1.6804885057471266,0.556,1.5,0.06896551724137931,2,2900,4350,1450,0.0,3.8482758620689657,0.58,0.9330049261083744,0.2413793103448276,7,20300,18940,-1360,0.29635467980295566,1.6346428571428568,0.408,1.9040229885057471,0.06896551724137931,2,17400,33130,15730,0.0,4.988505747126437,0.735,0.0,0.0,0,5800,0,-5800,0.0,0.0,0.0
