course,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
中京,46,0.7739130434782608,0.2608695652173913,12,4600,3560,-1040,0.3824456521739131,1.2369565217391305,0.154,0.46304347826086956,0.391304347826087,18,13800,6390,-7410,0.2673731884057971,0.6659601449275362,0.0,0.9536231884057971,0.8478260869565217,39,13800,13160,-640,0.6884057971014492,1.2848007246376811,0.356,0.34782608695652173,0.043478260869565216,2,4600,1600,-3000,0.0,0.8695652173913043,0.012,0.8978260869565218,0.10869565217391304,5,4600,4130,-470,0.24782608695652175,1.6722282608695649,0.356,0.9072463768115943,0.17391304347826086,8,13800,12520,-1280,0.2108695652173913,1.9379528985507244,0.369,1.6666666666666667,0.391304347826087,18,13800,23000,9200,0.4571195652173913,3.1599275362318835,0.806,2.7043478260869565,0.021739130434782608,1,4600,12440,7840,0.0,8.11304347826087,0.634,1.075776397515528,0.2391304347826087,11,32200,34640,2440,0.4070574534161491,1.9530822981366456,0.528,3.2894927536231884,0.021739130434782608,1,27600,90790,63190,0.0,9.868478260869566,0.634,0.0,0.0,0,9200,0,-9200,0.0,0.0,0.0
中山,109,0.7779816513761468,0.1926605504587156,21,10900,8480,-2420,0.38061926605504587,1.18901376146789,0.146,0.6262996941896024,0.41284403669724773,45,32700,20480,-12220,0.44094036697247707,0.8551070336391438,0.001,0.9400611620795107,0.8899082568807339,97,32700,30740,-1960,0.8014525993883792,1.0893730886850153,0.205,0.5009174311926605,0.05504587155963303,6,10900,5460,-5440,0.06605504587155964,1.2352981651376143,0.073,0.6605504587155964,0.11926605504587157,13,10900,7200,-3700,0.2998394495412844,1.108302752293578,0.074,0.4470948012232416,0.2018348623853211,22,32700,14620,-18080,0.22415902140672783,0.72914373088685,0.0,0.9504587155963303,0.45871559633027525,50,32700,31080,-1620,0.647637614678899,1.2871559633027523,0.378,1.0779816513761469,0.07339449541284404,8,10900,11750,850,0.28073394495412846,2.1192889908256882,0.525,1.263040629095675,0.24770642201834864,27,76300,96370,20070,0.5543479685452163,2.2408682830930533,0.702,1.2564220183486239,0.07339449541284404,8,65400,82170,16770,0.27456804281345565,2.5569304281345566,0.635,3.293577981651376,0.06422018348623854,7,21800,71800,50000,0.465756880733945,7.180974770642202,0.912
京都,45,0.4066666666666667,0.15555555555555556,7,4500,1830,-2670,0.14888888888888888,0.7355555555555555,0.002,0.42962962962962964,0.3333333333333333,15,13500,5800,-7700,0.23107407407407407,0.6644444444444444,0.0,0.6214814814814815,0.7333333333333333,33,13500,8390,-5110,0.4711111111111111,0.7630185185185184,0.0,0.11555555555555555,0.044444444444444446,2,4500,520,-3980,0.0,0.32222222222222224,0.0,0.4111111111111111,0.08888888888888889,4,4500,1850,-2650,0.06,0.9266666666666666,0.015,0.6229629629629629,0.2,9,13500,8410,-5090,0.13553703703703704,1.3630925925925925,0.133,0.642962962962963,0.35555555555555557,16,13500,8680,-4820,0.35174074074074074,0.9800555555555555,0.021,0.4266666666666667,0.06666666666666667,3,4500,1920,-2580,0.0,0.9714444444444442,0.023,0.13682539682539682,0.08888888888888889,4,31500,4310,-27190,0.010476190476190476,0.33719047619047615,0.0,0.23592592592592593,0.06666666666666667,3,27000,6370,-20630,0.0,0.5322222222222223,0.0,0.35555555555555557,0.044444444444444446,2,9000,3200,-5800,0.0,0.8955555555555555,0.013
新潟,19,1.4631578947368422,0.3684210526315789,7,1900,2780,880,0.47355263157894734,2.7055263157894736,0.79,0.6263157894736842,0.47368421052631576,9,5700,3570,-2130,0.28942982456140354,1.0335526315789472,0.037,0.7701754385964912,0.8421052631578947,16,5700,4390,-1310,0.5964912280701754,0.9596491228070175,0.01,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.4368421052631579,0.05263157894736842,1,1900,830,-1070,0.0,1.7473684210526317,0.081,0.47368421052631576,0.15789473684210525,3,5700,2700,-3000,0.0,1.0526315789473684,0.034,0.5157894736842106,0.42105263157894735,8,5700,2940,-2760,0.2437280701754386,0.8368859649122807,0.002,0.0,0.0,0,1900,0,-1900,0.0,0.0,0.0,0.32706766917293234,0.10526315789473684,2,13300,4350,-8950,0.0,1.106766917293233,0.027,0.0,0.0,0,11400,0,-11400,0.0,0.0,0.0,0.0,0.0,0,3800,0,-3800,0.0,0.0,0.0
東京,47,0.8276595744680851,0.2553191489361702,12,4700,3890,-810,0.3893617021276596,1.3617021276595744,0.236,0.6950354609929078,0.5957446808510638,28,14100,9800,-4300,0.495,0.9270035460992907,0.009,0.874468085106383,0.8297872340425532,39,14100,12330,-1770,0.6425354609929078,1.179468085106383,0.187,0.46170212765957447,0.0851063829787234,4,4700,2170,-2530,0.07872340425531915,0.9829787234042553,0.021,1.0063829787234042,0.19148936170212766,9,4700,4730,30,0.3998404255319149,1.7808510638297872,0.479,0.6354609929078014,0.3191489361702128,15,14100,8960,-5140,0.3184219858156028,1.0173936170212763,0.03,0.6056737588652482,0.48936170212765956,23,14100,8540,-5560,0.4020744680851064,0.8546453900709219,0.0,0.251063829787234,0.0425531914893617,2,4700,1180,-3520,0.0,0.6343617021276593,0.0,0.5948328267477203,0.2553191489361702,12,32900,19570,-13330,0.29808510638297875,0.9696352583586626,0.019,0.15567375886524823,0.0425531914893617,2,28200,4390,-23810,0.0,0.4043173758865247,0.0,0.27872340425531916,0.02127659574468085,1,9400,2620,-6780,0.0,0.8361702127659575,0.022
福島,72,0.9625,0.20833333333333334,15,7200,6930,-270,0.4956944444444445,1.5098611111111109,0.44,0.9842592592592593,0.5694444444444444,41,21600,21260,-340,0.7647800925925926,1.2064814814814815,0.425,0.8773148148148148,0.8611111111111112,62,21600,18950,-2650,0.7527777777777778,1.014363425925926,0.041,2.2736111111111112,0.1111111111111111,8,7200,16370,9170,0.6804513888888889,4.4684375,0.917,1.3347222222222221,0.1111111111111111,8,7200,9610,2410,0.3429861111111111,2.746215277777777,0.67,1.4916666666666667,0.2916666666666667,21,21600,32220,10620,0.7832986111111111,2.3255208333333335,0.905,1.0458333333333334,0.4722222222222222,34,21600,22590,990,0.7189467592592592,1.4333912037037038,0.591,1.1597222222222223,0.05555555555555555,4,7200,8350,1150,0.19305555555555556,2.443680555555555,0.563,1.4027777777777777,0.2361111111111111,17,50400,70700,20300,0.6660367063492063,2.2838740079365074,0.85,1.354861111111111,0.05555555555555555,4,43200,58530,15330,0.18125,2.888726851851852,0.673,0.0,0.0,0,14400,0,-14400,0.0,0.0,0.0
阪神,111,0.8468468468468469,0.27927927927927926,31,11100,9400,-1700,0.5566891891891892,1.226126126126126,0.194,0.6537537537537538,0.4774774774774775,53,33300,21770,-11530,0.46515765765765765,0.8883108108108109,0.0,0.8195195195195195,0.8558558558558559,95,33300,27290,-6010,0.7041966966966966,0.9715165165165165,0.012,1.454054054054054,0.13513513513513514,15,11100,16140,5040,0.4801351351351351,2.9595945945945945,0.727,0.16126126126126125,0.036036036036036036,4,11100,1790,-9310,0.01891891891891892,0.3559009009009008,0.0,0.7402402402402403,0.21621621621621623,24,33300,24650,-8650,0.3396246246246246,1.2736786786786782,0.142,0.9048048048048049,0.40540540540540543,45,33300,30130,-3170,0.48016516516516516,1.610855855855856,0.337,0.31891891891891894,0.04504504504504504,5,11100,3540,-7560,0.07297297297297298,0.6848423423423422,0.0,1.3745173745173744,0.24324324324324326,27,77700,106800,29100,0.3208204633204633,3.2061068211068213,0.664,0.23333333333333334,0.04504504504504504,5,66600,15540,-51060,0.07447447447447447,0.4707394894894895,0.0,0.409009009009009,0.02702702702702703,3,22200,9080,-13120,0.0,0.940135135135135,0.005
