race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result
202606030401,3歳未勝利,0,3歳未勝利,X,trio,4-9-10; 4-10-12; 9-10-12; 9-10-14; 9-10-16; 10-12-14; 10-12-16,0.0,0,0.0,0,700,-700,settled,12.0,6,15.0,1-6-7
202606030402,3歳未勝利,0,3歳未勝利,D,trio,10-14-15; 10-15-16; 11-14-15; 11-15-16; 13-14-15; 13-15-16; 14-15-16,1.0,580,0.0,0,700,-120,settled,2.0,9,1.0,13-14-15
202606030403,3歳未勝利,0,3歳未勝利,X,trio,4-6-7; 4-6-11; 4-6-13; 4-6-15; 4-7-11; 4-7-13; 4-7-15,0.0,0,0.0,0,700,-700,settled,2.0,1,15.0,4-7-8
202606030405,3歳未勝利,0,3歳未勝利,X,trio,1-14-15; 1-14-16; 7-14-15; 7-14-16; 10-14-15; 10-14-16; 14-15-16,0.0,0,0.0,0,700,-700,settled,11.0,-,2.0,9-11-15
202606030406,3歳1勝クラス,0,3歳1勝クラス,X,trio,1-4-5; 1-5-13; 4-5-8; 4-5-13; 4-5-14; 5-8-13; 5-13-14,0.0,0,0.0,0,700,-700,settled,15.0,2,7.0,3-4-16
202606030407,3歳1勝クラス,0,3歳1勝クラス,D,trio,1-4-10; 1-6-10; 1-9-10; 1-10-14; 4-9-10; 6-9-10; 9-10-14,0.0,0,0.0,0,700,-700,settled,3.0,12,8.0,5-10-11
202606030408,4歳以上1勝クラス,0,4歳以上1勝クラス,D,trio,2-4-15; 2-15-16; 3-4-15; 3-15-16; 4-9-15; 4-15-16; 9-15-16,0.0,0,0.0,0,700,-700,settled,10.0,3,2.0,4-5-16
202606030409,安房特別,0,安房特別,A,trio,1-2-7; 1-3-7; 1-4-7; 1-6-7; 2-6-7; 3-6-7; 4-6-7,0.0,0,0.0,0,700,-700,settled,8.0,1,6.0,1-4-8
202606030410,アリエスS,0,アリエスS,X,trio,4-5-7; 4-6-7; 4-7-12; 4-7-16; 5-6-7; 6-7-12; 6-7-16,0.0,0,0.0,0,700,-700,settled,2.0,10,15.0,7-8-16
202606030411,美浦S,0,美浦S,C,trio,4-7-11; 4-7-13; 4-8-11; 4-8-13; 4-11-12; 4-11-13; 4-12-13,0.0,0,0.0,0,700,-700,settled,3.0,9,5.0,1-4-14
202606030412,4歳以上2勝クラス,0,4歳以上2勝クラス,A,trio,1-3-5; 1-3-12; 2-3-5; 2-3-12; 3-5-8; 3-5-12; 3-8-12,1.0,640,0.0,0,700,-60,settled,1.0,2,3.0,3-5-12
202606030509,山藤賞,0,山藤賞,A,trio,2-3-4; 2-3-7; 3-4-6; 3-4-7; 3-4-11; 3-6-7; 3-7-11,,0,,0,700,-700,pending,,,,
202609020401,3歳未勝利,0,3歳未勝利,D,trio,1-3-13; 1-5-13; 1-8-13; 1-12-13; 3-8-13; 5-8-13; 8-12-13,0.0,0,0.0,0,700,-700,settled,9.0,4,2.0,1-3-6
202609020402,3歳未勝利,0,3歳未勝利,B,trio,1-3-4; 1-4-9; 1-4-11; 1-4-13; 3-4-13; 4-9-13; 4-11-13,0.0,0,0.0,0,700,-700,settled,2.0,1,4.0,4-6-13
202609020403,3歳未勝利,0,3歳未勝利,D,trio,1-7-10; 1-7-13; 7-10-13; 7-10-14; 7-10-16; 7-13-14; 7-13-16,0.0,0,0.0,0,700,-700,settled,10.0,4,3.0,12-13-15
202609020404,3歳未勝利,0,3歳未勝利,C,trio,4-5-6; 4-6-9; 4-6-11; 4-6-12; 5-6-12; 6-9-12; 6-11-12,0.0,0,0.0,0,700,-700,settled,6.0,8,4.0,1-5-11
202609020405,3歳1勝クラス,0,3歳1勝クラス,B,trio,3-4-13; 3-11-13; 4-6-13; 4-9-13; 4-11-13; 6-11-13; 9-11-13,0.0,0,0.0,0,700,-700,settled,2.0,8,13.0,10-12-13
202609020406,4歳以上1勝クラス,0,4歳以上1勝クラス,A,trio,1-5-9; 1-8-9; 4-5-9; 4-8-9; 5-6-9; 5-8-9; 6-8-9,0.0,0,0.0,0,700,-700,settled,6.0,5,3.0,1-3-8
202609020407,4歳以上2勝クラス,0,4歳以上2勝クラス,X,trio,2-11-15; 2-12-15; 5-11-15; 5-12-15; 8-11-15; 8-12-15; 11-12-15,0.0,0,0.0,0,700,-700,settled,11.0,15,7.0,3-6-13
202609020408,4歳以上2勝クラス,0,4歳以上2勝クラス,A,trio,2-3-4; 2-4-10; 3-4-5; 3-4-10; 3-4-11; 4-5-10; 4-10-11,0.0,0,0.0,0,700,-700,settled,1.0,5,2.0,1-3-4
202609020409,バイオレットS,0,バイオレットS,D,trio,1-4-6; 1-4-10; 1-4-11; 1-4-12; 1-6-12; 1-10-12; 1-11-12,0.0,0,0.0,0,700,-700,settled,9.0,7,12.0,2-3-6
202609020410,心斎橋S,0,心斎橋S,D,trio,1-4-18; 1-12-18; 4-7-18; 4-12-18; 4-13-18; 7-12-18; 12-13-18,0.0,0,0.0,0,700,-700,settled,11.0,12,13.0,2-6-13
202609020411,大阪杯,0,大阪杯,C,trio,6-7-15; 6-8-15; 6-9-15; 6-12-15; 7-8-15; 8-9-15; 8-12-15,0.0,0,0.0,0,700,-700,settled,1.0,14,2.0,4-6-15
202609020412,天満橋S,0,天満橋S,D,trio,4-5-16; 4-7-16; 4-8-16; 4-11-16; 5-8-16; 7-8-16; 8-11-16,1.0,54840,0.0,0,700,54140,settled,1.0,3,4.0,5-8-16
