race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result
202606020701,中山,1,中山1R,D,trio,1-5-10; 1-5-11; 5-8-10; 5-8-11; 5-10-11; 5-10-13; 5-11-13,0,0,0,0,700,-700,settled,4,2,3,8-10-11
202606020702,中山,2,中山2R,A,trio,3-6-8; 3-6-10; 3-6-11; 3-6-12; 3-8-10; 3-8-11; 3-8-12,1,860,0,0,700,160,settled,1,3,2,3-6-8
202606020703,中山,3,中山3R,D,trio,2-3-8; 2-4-8; 2-8-15; 2-8-16; 3-8-15; 4-8-15; 8-15-16,0,0,0,0,700,-700,settled,14,3,2,2-6-15
202606020704,中山,4,中山4R,A,trio,1-6-9; 1-6-12; 4-6-9; 4-6-12; 6-8-9; 6-8-12; 6-9-12,0,0,0,0,700,-700,settled,3,8,-,3-6-8
202606020705,中山,5,中山5R,A,trio,1-4-10; 1-9-10; 4-8-10; 4-9-10; 4-10-11; 8-9-10; 9-10-11,1,1200,0,0,700,500,settled,1,2,7,9-10-11
202606020706,中山,6,中山6R,A,trio,1-7-12; 1-7-13; 5-7-12; 5-7-13; 7-11-12; 7-11-13; 7-12-13,0,0,0,0,700,-700,settled,8,3,7,10-11-12
202606020707,中山,7,中山7R,C,trio,1-2-8; 1-3-8; 1-8-11; 1-8-12; 2-8-12; 3-8-12; 8-11-12,0,0,0,0,700,-700,settled,6,15,5,3-4-5
202606020709,館山特別,0,館山特別,C,trio,4-5-10; 4-6-10; 4-10-13; 4-10-16; 5-10-13; 6-10-13; 10-13-16,0,0,0,0,700,-700,settled,9,3,1,4-5-13
202606020710,韓国馬事会杯,0,韓国馬事会杯,A,trio,1-2-6; 1-6-9; 1-6-11; 1-6-13; 2-6-13; 6-9-13; 6-11-13,0,0,0,0,700,-700,settled,7,10,8,4-11-12
202606020711,フラワーC,0,フラワーC,C,trio,3-7-8; 3-8-10; 3-8-11; 3-8-16; 7-8-11; 8-10-11; 8-11-16,1,22810,0,0,700,22110,settled,3,2,7,8-10-11
202606020712,4歳以上1勝クラス,0,4歳以上1勝クラス,D,trio,9-11-14; 9-11-16; 10-11-14; 10-11-16; 11-14-15; 11-14-16; 11-15-16,1,5830,0,0,700,5130,settled,2,3,5,10-11-14
202607010301,中京,1,中京1R,A,trio,4-5-13; 4-9-13; 4-10-13; 4-11-13; 5-9-13; 5-10-13; 5-11-13,0,0,0,0,700,-700,settled,1,6,8,2-9-13
202607010302,中京,2,中京2R,D,trio,3-4-16; 3-8-16; 4-6-16; 4-8-16; 4-10-16; 6-8-16; 8-10-16,0,0,0,0,700,-700,settled,5,3,11,1-4-10
202607010303,中京,3,中京3R,A,trio,1-4-11; 1-7-11; 2-4-11; 2-7-11; 4-5-11; 4-7-11; 5-7-11,0,0,0,0,700,-700,settled,9,3,2,1-4-7
202607010304,中京,4,中京4R,C,trio,1-5-16; 1-9-16; 5-9-16; 5-15-16; 5-16-18; 9-15-16; 9-16-18,0,0,0,0,700,-700,settled,1,2,12,3-5-16
202607010305,中京,5,中京5R,C,trio,1-2-6; 1-6-12; 2-6-9; 2-6-12; 2-6-14; 6-9-12; 6-12-14,1,3320,0,0,700,2620,settled,2,3,6,6-9-12
202607010306,中京,6,中京6R,D,trio,1-6-17; 1-12-17; 4-6-17; 4-12-17; 6-8-17; 6-12-17; 8-12-17,0,0,0,0,700,-700,settled,5,8,2,4-8-12
202607010307,中京,7,中京7R,D,trio,3-4-13; 3-8-13; 3-13-14; 3-13-16; 4-8-13; 8-13-14; 8-13-16,0,0,0,0,700,-700,settled,3,16,11,7-13-16
202607010308,4歳以上1勝クラス,0,4歳以上1勝クラス,A,trio,1-2-11; 1-5-11; 2-5-11; 2-6-11; 2-7-11; 5-6-11; 5-7-11,1,1600,0,0,700,900,settled,1,2,8,5-6-11
202607010309,岡崎特別,0,岡崎特別,D,trio,3-4-5; 3-4-10; 3-5-7; 3-5-8; 3-5-10; 3-7-10; 3-8-10,0,0,0,0,700,-700,settled,9,5,8,1-6-7
202607010310,豊明S,0,豊明S,D,trio,3-6-9; 3-6-14; 3-8-9; 3-8-14; 3-9-13; 3-9-14; 3-13-14,0,0,0,0,700,-700,settled,11,3,2,9-13-14
202607010311,ファルコンS,0,ファルコンS,D,trio,1-2-4; 1-2-17; 1-3-4; 1-3-17; 1-4-7; 1-4-17; 1-7-17,0,0,0,0,700,-700,settled,12,6,10,7-9-10
202607010312,4歳以上1勝クラス,0,4歳以上1勝クラス,A,trio,2-3-5; 2-4-5; 2-5-9; 2-5-14; 3-4-5; 3-5-9; 3-5-14,1,1910,0,0,700,1210,settled,2,4,1,3-4-5
202609010901,阪神,1,阪神1R,A,trio,1-4-9; 1-4-10; 3-4-9; 3-4-10; 4-5-9; 4-5-10; 4-9-10,0,0,0,0,700,-700,settled,5,3,8,3-6-9
202609010902,阪神,2,阪神2R,D,trio,1-6-9; 1-7-9; 3-6-9; 3-7-9; 6-7-9; 6-9-10; 7-9-10,0,0,0,0,700,-700,settled,11,3,9,2-6-10
202609010903,阪神,3,阪神3R,A,trio,3-4-9; 3-9-10; 4-5-9; 4-7-9; 4-9-10; 5-9-10; 7-9-10,1,1040,0,0,700,340,settled,3,8,1,4-7-9
202609010904,阪神,4,阪神4R,D,trio,3-6-14; 3-6-15; 3-9-14; 3-9-15; 3-10-14; 3-10-15; 3-14-15,0,0,0,0,700,-700,settled,7,3,1,10-14-15
202609010905,阪神,5,阪神5R,C,trio,5-6-8; 5-8-12; 6-8-12; 6-8-14; 6-8-15; 8-12-14; 8-12-15,0,0,0,0,700,-700,settled,6,3,9,7-12-15
202609010906,阪神,6,阪神6R,D,trio,2-5-9; 2-6-9; 2-7-9; 2-9-12; 5-6-9; 5-7-9; 5-9-12,0,0,0,0,700,-700,settled,12,1,10,5-8-11
