race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202606030701,中山,1,3歳未勝利,D,trio,1-2-15; 1-4-15; 1-12-15; 1-14-15; 2-4-15; 4-12-15; 4-14-15,1,540,0,0,700,-160,settled,1,13,3,4-12-15,1200,ダ
202606030702,中山,2,3歳未勝利,A,trio,1-6-8; 1-6-9; 1-6-10; 1-6-11; 6-8-11; 6-9-11; 6-10-11,1,1240,0,0,700,540,settled,3,2,4,1-6-10,1800,ダ
202606030703,中山,3,3歳未勝利,D,trio,7-9-11; 7-11-14; 8-9-11; 8-11-14; 9-10-11; 9-11-14; 10-11-14,0,0,0,0,700,-700,settled,6,2,5,5-9-10,1200,ダ
202606030704,中山,4,3歳未勝利,A,trio,2-7-8; 2-7-10; 3-7-8; 3-7-10; 5-7-8; 5-7-10; 7-8-10,0,0,0,0,700,-700,settled,5,4,2,3-5-8,1800,ダ
202606030705,中山,5,3歳未勝利,C,trio,1-5-8; 1-8-11; 1-8-13; 1-8-16; 5-8-16; 8-11-16; 8-13-16,0,0,0,0,700,-700,settled,6,7,4,2-5-11,1600,芝
202606030706,中山,6,3歳1勝クラス,E,umaren,5-6; 2-5,0,0,0,0,700,-700,settled,3,4,1,2-3-5,1800,芝
202606030707,中山,7,4歳以上1勝クラス,A,trio,3-6-10; 3-7-10; 6-7-10; 6-8-10; 6-9-10; 7-8-10; 7-9-10,0,0,0,0,700,-700,settled,2,10,6,3-8-10,2000,芝
202606030708,中山,8,4歳以上1勝クラス,C,trio,7-10-16; 7-11-16; 7-12-16; 7-14-16; 10-11-16; 11-12-16; 11-14-16,0,0,0,0,700,-700,settled,2,5,7,3-12-16,2400,ダ
202606030709,中山,9,袖ケ浦特別,D,trio,1-4-8; 1-8-12; 3-4-8; 3-8-12; 4-8-9; 4-8-12; 8-9-12,0,0,0,0,700,-700,settled,1,5,9,3-7-8,1200,芝
202606030710,中山,10,下総S,A,trio,4-5-8; 4-5-10; 4-5-11; 4-5-12; 4-8-10; 4-10-11; 4-10-12,0,0,0,0,700,-700,settled,13,12,2,3-5-9,1800,ダ
202606030712,中山,12,葛飾特別,D,trio,5-7-13; 5-12-13; 7-8-13; 7-10-13; 7-12-13; 8-12-13; 10-12-13,1,1560,0,0,700,860,settled,3,2,1,7-12-13,1200,ダ
202603010301,福島,1,3歳未勝利,D,trio,1-7-14; 1-9-14; 1-11-14; 1-14-16; 7-14-16; 9-14-16; 11-14-16,0,0,0,0,700,-700,settled,1,14,5,2-14-15,1150,ダ
202603010302,福島,2,3歳未勝利,C,trio,2-4-6; 2-6-7; 4-6-7; 4-6-10; 4-6-13; 6-7-10; 6-7-13,0,0,0,0,700,-700,settled,4,5,11,3-10-14,2000,芝
202603010303,福島,3,3歳未勝利,D,trio,1-8-13; 1-13-16; 8-11-13; 8-13-15; 8-13-16; 11-13-16; 13-15-16,0,0,0,0,700,-700,settled,2,1,8,6-13-16,1200,芝
202603010304,福島,4,3歳未勝利,C,trio,1-5-12; 1-8-12; 1-10-12; 1-12-15; 5-8-12; 5-10-12; 5-12-15,0,0,0,0,700,-700,settled,2,7,13,9-10-12,1700,ダ
202603010305,福島,5,3歳未勝利,C,trio,1-7-14; 1-7-16; 3-7-14; 3-7-16; 7-8-14; 7-8-16; 7-14-16,1,1110,0,0,700,410,settled,2,7,1,1-7-14,1800,芝
202603010306,福島,6,3歳未勝利,C,trio,1-2-4; 1-2-9; 2-4-9; 2-4-10; 2-4-12; 2-9-10; 2-9-12,0,0,0,0,700,-700,settled,2,9,6,2-6-12,2600,芝
202603010307,福島,7,4歳以上1勝クラス,D,trio,1-3-8; 1-8-14; 2-3-8; 2-8-14; 3-8-14; 3-8-15; 8-14-15,0,0,0,0,700,-700,settled,2,8,10,1-2-8,1150,ダ
202603010308,福島,8,4歳以上1勝クラス,C,trio,2-3-8; 2-3-11; 2-8-10; 2-8-11; 2-8-12; 2-10-11; 2-11-12,0,0,0,0,700,-700,settled,1,5,2,2-5-8,1700,ダ
202603010309,福島,9,ひめさゆり賞,A,trio,1-4-5; 1-4-7; 2-4-5; 2-4-7; 4-5-6; 4-5-7; 4-6-7,1,9780,0,0,700,9080,settled,3,8,1,2-4-5,2000,芝
202603010310,福島,10,桑折特別,A,trio,1-2-7; 1-7-8; 2-4-7; 2-5-7; 2-7-8; 4-7-8; 5-7-8,0,0,0,0,700,-700,settled,8,2,1,2-3-8,2000,芝
202603010311,福島,11,ラジオ福島賞,C,trio,2-3-8; 2-8-10; 2-8-11; 2-8-15; 3-8-10; 8-10-11; 8-10-15,0,0,0,0,700,-700,settled,1,4,14,3-8-11,1700,ダ
202603010312,福島,12,4歳以上1勝クラス,D,trio,2-5-13; 2-13-15; 5-6-13; 5-9-13; 5-13-15; 6-13-15; 9-13-15,1,1890,0,0,700,1190,settled,3,1,2,5-13-15,1200,芝
202609020701,阪神,1,3歳未勝利,C,trio,3-6-9; 3-6-12; 3-6-14; 3-6-15; 3-9-12; 3-12-14; 3-12-15,1,630,0,0,700,-70,settled,3,5,1,3-6-9,1800,ダ
202609020702,阪神,2,3歳未勝利,D,trio,2-3-4; 2-4-16; 3-4-6; 3-4-9; 3-4-16; 4-6-16; 4-9-16,1,270,0,0,700,-430,settled,3,1,6,4-6-16,1200,ダ
