race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202606030801,中山,1,3歳未勝利,A,trio,4-8-9; 4-8-11; 6-8-9; 6-8-11; 7-8-9; 7-8-11; 8-9-11,0,0,0,0,700,-700,settled,8,7,3,4-6-11,1800,ダ
202606030802,中山,2,3歳未勝利,D,trio,2-4-9; 2-6-9; 2-9-12; 2-9-13; 4-6-9; 6-9-12; 6-9-13,0,0,0,0,700,-700,settled,3,5,11,9-13-14,1200,ダ
202606030803,中山,3,3歳未勝利,A,trio,2-5-10; 2-10-12; 5-8-10; 5-9-10; 5-10-12; 8-10-12; 9-10-12,1,1690,0,0,700,990,settled,3,1,7,8-10-12,1800,ダ
202606030804,中山,4,3歳未勝利,C,trio,3-5-10; 3-9-10; 4-5-10; 4-9-10; 5-8-10; 5-9-10; 8-9-10,0,0,0,0,700,-700,settled,3,6,4,4-8-10,2000,芝
202606030805,中山,5,3歳1勝クラス,A,trio,2-3-9; 2-4-9; 2-7-9; 2-8-9; 3-7-9; 4-7-9; 7-8-9,0,0,0,0,700,-700,settled,8,2,1,2-4-7,1600,芝
202606030806,中山,6,3歳1勝クラス,E,umaren,1-3; 3-6,0,0,0,0,700,-700,settled,4,3,6,1-4-5,1800,ダ
202606030807,中山,7,4歳以上1勝クラス,D,trio,2-4-7; 2-4-13; 2-6-7; 2-6-13; 2-7-12; 2-7-13; 2-12-13,0,0,0,0,700,-700,settled,5,10,1,3-4-13,1200,ダ
202606030808,中山,8,利根川特別,A,trio,1-4-9; 1-7-9; 1-9-10; 1-9-12; 4-7-9; 4-9-10; 4-9-12,0,0,0,0,700,-700,settled,1,3,7,3-4-9,1800,ダ
202606030809,中山,9,野島崎特別,A,trio,1-2-8; 1-2-9; 1-2-11; 1-2-12; 2-8-9; 2-8-11; 2-8-12,0,0,0,0,700,-700,settled,2,1,8,2-3-8,2000,芝
202606030810,中山,10,京葉S,D,trio,1-7-13; 1-7-14; 2-7-13; 2-7-14; 6-7-13; 6-7-14; 7-13-14,0,0,0,0,700,-700,settled,2,13,3,7-12-13,1200,ダ
202606030811,中山,11,皐月賞,C,trio,1-9-17; 1-14-17; 1-15-17; 1-16-17; 9-15-17; 14-15-17; 15-16-17,0,0,0,0,700,-700,settled,15,2,13,4-9-15,2000,芝
202606030812,中山,12,サンシャインS,C,trio,1-2-5; 1-5-9; 1-5-14; 1-5-15; 2-5-15; 5-9-15; 5-14-15,0,0,0,0,700,-700,settled,6,2,11,1-2-7,2200,芝
202603010401,福島,1,3歳未勝利,D,trio,1-6-13; 1-12-13; 2-6-13; 2-12-13; 5-6-13; 5-12-13; 6-12-13,0,0,0,0,700,-700,settled,1,3,10,8-12-13,1150,ダ
