race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,actual_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202608030601,京都,1,3歳未勝利,A,trio,3-7-8; 3-7-11; 4-7-8; 4-7-11; 6-7-8; 6-7-11; 7-8-11,1,550,0,0,550,700,-150,settled,1,8,2,3-7-11,1800,ダ
202608030602,京都,2,3歳未勝利,D,trio,2-4-6; 2-5-6; 4-5-6; 4-6-8; 4-6-14; 5-6-8; 5-6-14,0,0,0,0,0,700,-700,settled,8,3,6,2-3-5,1200,ダ
202608030603,京都,3,3歳未勝利,A,trio,1-2-4; 1-2-9; 1-2-11; 1-2-12; 1-4-11; 1-9-11; 1-11-12,0,0,0,0,0,700,-700,settled,8,6,4,6-7-9,1900,ダ
202608030604,京都,4,3歳未勝利,C,trio,1-4-16; 1-6-16; 1-10-16; 1-14-16; 4-6-16; 4-10-16; 4-14-16,0,0,0,0,0,700,-700,settled,4,1,6,1-10-13,1600,芝
202608030605,京都,5,3歳未勝利,A,trio,1-3-8; 1-7-8; 1-8-9; 1-8-12; 3-8-9; 7-8-9; 8-9-12,0,0,0,0,0,700,-700,settled,2,6,1,8-9-13,2000,芝
202608030606,京都,6,4歳以上1勝クラス,A,trio,1-2-5; 1-3-5; 2-3-5; 2-5-6; 2-5-8; 3-5-6; 3-5-8,0,0,0,0,0,700,-700,settled,3,9,4,5-6-7,2200,芝
202608030607,京都,7,3歳1勝クラス,A,trio,1-5-6; 1-6-7; 1-6-10; 1-6-11; 5-6-7; 6-7-10; 6-7-11,1,690,0,0,690,700,-10,settled,2,1,3,1-6-7,1800,ダ
202608030608,京都,8,4歳以上1勝クラス,D,trio,1-2-5; 1-2-8; 1-2-11; 1-2-12; 1-5-8; 1-8-11; 1-8-12,1,1430,0,0,1430,700,730,settled,2,4,3,1-2-12,1200,芝
202608030609,京都,9,烏丸S,A,trio,2-5-6; 2-6-7; 2-6-12; 2-6-13; 5-6-12; 6-7-12; 6-12-13,0,0,0,0,0,700,-700,settled,1,10,7,1-6-13,2400,芝
202608030610,京都,10,橘S,D,trio,1-4-5; 1-5-10; 4-5-6; 4-5-8; 4-5-10; 5-6-10; 5-8-10,1,450,0,0,450,700,-250,settled,3,4,1,4-5-6,1400,芝
202608030611,京都,11,平城京S,C,trio,2-4-10; 2-10-14; 4-5-10; 4-7-10; 4-10-14; 5-10-14; 7-10-14,1,680,0,0,680,700,-20,settled,2,1,9,4-7-10,1800,ダ
202608030612,京都,12,4歳以上2勝クラス,D,trio,2-8-14; 2-10-14; 2-11-14; 2-12-14; 8-10-14; 10-11-14; 10-12-14,0,0,0,0,0,700,-700,settled,1,9,12,5-8-14,1400,ダ
202604010401,新潟,1,3歳未勝利,C,trio,1-3-13; 1-5-13; 1-7-13; 1-8-13; 3-8-13; 5-8-13; 7-8-13,1,800,0,0,800,700,100,settled,1,2,6,3-8-13,1800,ダ
202604010402,新潟,2,3歳未勝利,D,trio,2-3-14; 2-5-14; 3-5-14; 3-13-14; 3-14-15; 5-13-14; 5-14-15,0,0,0,0,0,700,-700,settled,4,6,11,9-10-12,1200,ダ
202604010403,新潟,3,3歳未勝利,C,trio,1-2-3; 1-3-5; 1-3-11; 1-3-12; 2-3-12; 3-5-12; 3-11-12,0,0,0,0,0,700,-700,settled,14,2,4,1-2-5,1800,ダ
202604010405,新潟,5,3歳未勝利,C,trio,1-7-11; 1-7-12; 1-7-13; 1-7-16; 7-11-12; 7-12-13; 7-12-16,1,3900,0,0,3900,700,3200,settled,2,1,7,7-12-16,1800,芝
202604010407,新潟,7,4歳以上1勝クラス,D,trio,3-5-14; 3-7-14; 3-13-14; 3-14-15; 5-7-14; 7-13-14; 7-14-15,0,0,0,0,0,700,-700,settled,2,9,12,1-10-14,1200,ダ
202604010408,新潟,8,4歳以上1勝クラス,D,trio,5-11-14; 5-12-14; 6-11-14; 6-12-14; 8-11-14; 8-12-14; 11-12-14,0,0,0,0,0,700,-700,settled,1,10,3,9-12-14,1200,ダ
202604010409,新潟,9,荒川峡特別,A,trio,3-5-14; 3-12-14; 4-5-14; 4-12-14; 5-8-14; 5-12-14; 8-12-14,1,12570,0,0,12570,700,11870,settled,2,3,1,5-12-14,2400,芝
202604010410,新潟,10,五泉特別,A,trio,3-4-5; 3-4-11; 3-5-7; 3-5-9; 3-5-11; 3-7-11; 3-9-11,0,0,0,0,0,700,-700,settled,2,10,1,3-6-11,1800,ダ
202604010411,新潟,11,谷川岳S,D,trio,1-5-11; 1-11-14; 5-6-11; 5-11-13; 5-11-14; 6-11-14; 11-13-14,0,0,0,0,0,700,-700,settled,11,8,5,3-7-8,1400,芝
202604010412,新潟,12,4歳以上1勝クラス,D,trio,6-7-8; 6-7-10; 7-8-10; 7-8-12; 7-8-13; 7-10-12; 7-10-13,1,1400,0,0,1400,700,700,settled,1,3,6,7-10-12,1200,芝
202605020601,東京,1,3歳未勝利,C,trio,3-4-7; 3-4-8; 3-4-14; 3-4-16; 4-7-8; 4-7-14; 4-7-16,0,0,0,0,0,700,-700,settled,16,7,4,2-14-16,1600,ダ
202605020602,東京,2,3歳未勝利,D,trio,2-5-16; 2-6-16; 2-7-16; 2-11-16; 5-6-16; 5-7-16; 5-11-16,0,0,0,0,0,700,-700,settled,6,3,13,2-7-9,1400,ダ
202605020603,東京,3,3歳未勝利,C,trio,1-6-10; 1-10-18; 2-6-10; 2-10-18; 3-6-10; 3-10-18; 6-10-18,0,0,0,0,0,700,-700,settled,2,7,4,5-10-12,1600,芝
202605020604,東京,4,3歳未勝利,A,trio,2-4-6; 2-4-7; 2-4-8; 2-4-10; 4-6-7; 4-7-8; 4-7-10,0,0,0,0,0,700,-700,settled,1,11,4,4-6-12,2000,芝
202605020605,東京,5,3歳1勝クラス,C,trio,1-5-16; 1-9-16; 5-7-16; 5-9-16; 5-10-16; 7-9-16; 9-10-16,0,0,0,0,0,700,-700,settled,1,10,13,4-15-16,2100,ダ
202605020606,東京,6,4歳以上1勝クラス,D,trio,1-6-8; 1-8-10; 5-6-8; 5-8-10; 6-8-10; 6-8-11; 8-10-11,0,0,0,0,0,700,-700,settled,4,2,3,5-6-10,1400,芝
202605020607,東京,7,4歳以上1勝クラス,D,trio,4-9-12; 4-12-13; 9-11-12; 9-12-13; 9-12-16; 11-12-13; 12-13-16,0,0,0,0,0,700,-700,settled,10,4,1,1-2-13,1300,ダ
202605020608,東京,8,4歳以上2勝クラス,D,trio,1-3-7; 1-5-7; 1-6-7; 1-7-9; 3-5-7; 3-6-7; 3-7-9,1,2810,0,0,2810,700,2110,settled,1,3,2,1-3-7,1400,芝
202605020609,東京,9,日吉特別,A,trio,1-3-7; 1-7-8; 3-4-7; 3-6-7; 3-7-8; 4-7-8; 6-7-8,1,1810,0,0,1810,700,1110,settled,3,2,6,4-7-8,2100,ダ
202605020610,東京,10,メトロポリタンS,A,trio,2-3-5; 2-5-9; 2-5-10; 2-5-12; 3-5-10; 5-9-10; 5-10-12,0,0,0,0,0,700,-700,settled,6,2,3,2-10-12,2400,芝
202605020611,東京,11,NHKマイルC,C,trio,4-7-12; 4-12-17; 7-9-12; 7-10-12; 7-12-17; 9-12-17; 10-12-17,0,0,0,0,0,700,-700,settled,8,1,5,11-16-17,1600,芝
202605020612,東京,12,立夏S,C,trio,2-3-13; 2-6-13; 2-8-13; 2-12-13; 3-6-13; 6-8-13; 6-12-13,0,0,0,0,0,700,-700,settled,7,9,6,3-9-12,1600,ダ
