race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result
202607010201,中京,1,レース,D,trio,3-5-14; 3-6-14; 3-9-14; 3-14-16; 5-6-14; 6-9-14; 6-14-16,1,1550,0,0,700,850,settled,1,2,6,3-14-16
202607010202,中京,2,レース,A,trio,1-5-6; 1-5-7; 1-5-11; 1-5-13; 1-6-13; 1-7-13; 1-11-13,1,1250,0,0,700,550,settled,1,2,7,1-11-13
202607010203,中京,3,レース,C,trio,1-4-12; 1-7-12; 1-11-12; 1-12-14; 4-12-14; 7-12-14; 11-12-14,1,2600,0,0,700,1900,settled,3,1,12,1-11-12
202607010204,中京,4,レース,D,trio,2-5-16; 2-9-16; 2-15-16; 2-16-17; 5-16-17; 9-16-17; 15-16-17,0,0,0,0,700,-700,settled,7,1,2,2-5-17
202607010205,中京,5,レース,C,trio,1-7-8; 1-7-10; 1-7-14; 1-7-15; 7-8-10; 7-10-14; 7-10-15,1,1080,0,0,700,380,settled,2,1,5,1-7-15
202607010206,中京,6,レース,D,trio,2-5-6; 2-6-14; 5-6-8; 5-6-14; 5-6-15; 6-8-14; 6-14-15,1,1810,0,0,700,1110,settled,3,2,10,2-5-6
202607010207,中京,7,レース,C,trio,1-6-9; 1-6-15; 1-8-9; 1-8-15; 1-9-12; 1-9-15; 1-12-15,1,2590,0,0,700,1890,settled,1,11,2,1-6-15
202607010208,中京,8,レース,A,trio,1-4-10; 1-7-10; 2-4-10; 2-7-10; 4-7-10; 4-9-10; 7-9-10,1,1780,0,0,700,1080,settled,1,4,2,7-9-10
202607010209,中京,9,レース,D,trio,5-8-15; 5-13-15; 8-9-15; 8-13-15; 8-15-16; 9-13-15; 13-15-16,0,0,0,0,700,-700,settled,3,12,11,7-15-16
202607010210,中京,10,レース,D,trio,1-7-10; 1-9-10; 4-7-10; 4-9-10; 7-9-10; 7-10-11; 9-10-11,0,0,0,0,700,-700,settled,5,8,8,1-4-6
202607010211,中京,11,レース,A,trio,1-2-12; 1-3-12; 1-6-12; 1-12-13; 2-12-13; 3-12-13; 6-12-13,0,0,0,0,700,-700,settled,3,5,12,3-9-12
202607010212,中京,12,レース,D,trio,3-6-13; 3-9-13; 3-13-16; 3-13-17; 6-9-13; 6-13-16; 6-13-17,0,0,0,0,700,-700,settled,1,9,5,1-2-13
202606020601,中山,1,レース,D,trio,4-7-10; 4-10-14; 4-10-15; 4-10-16; 7-10-14; 7-10-15; 7-10-16,1,480,0,0,700,-220,settled,1,2,3,4-7-10
202606020602,中山,2,レース,C,trio,3-7-11; 3-8-11; 3-11-13; 3-11-16; 7-8-11; 7-11-13; 7-11-16,1,750,0,0,700,50,settled,3,2,7,7-8-11
202606020603,中山,3,レース,D,trio,2-6-10; 2-10-16; 6-10-13; 6-10-15; 6-10-16; 10-13-16; 10-15-16,1,1170,0,0,700,470,settled,3,2,4,2-6-10
202606020604,中山,4,レース,C,trio,2-6-8; 2-6-16; 4-6-8; 4-6-16; 6-8-13; 6-8-16; 6-13-16,0,0,0,0,700,-700,settled,4,11,16,2-4-13
202606020605,中山,5,レース,C,trio,7-12-14; 7-12-18; 10-12-14; 10-12-18; 12-14-15; 12-14-18; 12-15-18,0,0,0,0,700,-700,settled,6,2,1,10-14-18
202606020606,中山,6,レース,C,trio,2-4-12; 2-5-12; 2-8-12; 2-10-12; 4-5-12; 5-8-12; 5-10-12,0,0,0,0,700,-700,settled,4,1,10,4-5-7
202606020607,中山,7,レース,D,trio,1-3-7; 1-4-7; 1-7-11; 1-7-14; 3-4-7; 4-7-11; 4-7-14,0,0,0,0,700,-700,settled,3,1,5,4-7-15
202606020608,中山,8,レース,A,trio,1-3-8; 1-4-8; 1-7-8; 1-8-10; 3-7-8; 4-7-8; 7-8-10,1,230,0,0,700,-470,settled,3,1,2,1-7-8
202606020609,中山,9,レース,A,trio,1-6-8; 1-6-10; 5-6-8; 5-6-10; 6-8-10; 6-8-11; 6-10-11,0,0,0,0,700,-700,settled,6,4,3,5-8-11
202606020610,中山,10,レース,C,trio,5-6-11; 5-6-15; 6-11-13; 6-11-15; 6-11-16; 6-13-15; 6-15-16,0,0,0,0,700,-700,settled,2,11,4,5-6-16
202606020611,中山,11,レース,C,trio,2-4-12; 2-10-12; 2-12-13; 2-12-14; 4-12-13; 10-12-13; 12-13-14,0,0,0,0,700,-700,settled,7,2,9,2-14-15
202606020612,中山,12,レース,D,trio,2-3-9; 2-9-15; 3-5-9; 3-9-15; 3-9-16; 5-9-15; 9-15-16,0,0,0,0,700,-700,settled,5,13,6,5-11-16
202609010801,阪神,1,レース,D,trio,2-6-11; 2-6-13; 2-11-12; 2-11-13; 2-11-14; 2-12-13; 2-13-14,0,0,0,0,700,-700,settled,3,5,1,2-7-11
202609010802,阪神,2,レース,A,trio,1-3-4; 1-4-13; 3-4-11; 3-4-13; 3-4-14; 4-11-13; 4-13-14,1,1180,0,0,700,480,settled,2,3,1,3-4-13
202609010803,阪神,3,レース,D,trio,1-8-14; 1-9-14; 5-8-14; 5-9-14; 8-9-14; 8-12-14; 9-12-14,1,820,0,0,700,120,settled,2,3,1,8-9-14
202609010805,阪神,5,レース,C,trio,3-10-12; 3-11-12; 3-12-14; 3-12-16; 10-12-14; 11-12-14; 12-14-16,0,0,0,0,700,-700,settled,4,11,5,2-4-10
202609010806,阪神,6,レース,A,trio,3-4-6; 3-5-6; 3-6-7; 3-6-10; 4-5-6; 4-6-7; 4-6-10,0,0,0,0,700,-700,settled,2,4,6,5-6-7
202609010807,阪神,7,レース,A,trio,1-3-10; 1-3-11; 3-9-10; 3-9-11; 3-10-11; 3-10-13; 3-11-13,0,0,0,0,700,-700,settled,2,6,5,3-7-13
202609010808,阪神,8,レース,A,trio,1-5-6; 1-5-10; 1-6-8; 1-6-9; 1-6-10; 1-8-10; 1-9-10,0,0,0,0,700,-700,settled,6,4,2,6-9-11
202609010809,阪神,9,レース,E,umaren,2-3; 3-4,0,0,1,670,700,-30,settled,1,4,2,3-4-7
202609010810,阪神,10,レース,A,trio,3-5-11; 3-5-12; 5-6-11; 5-6-12; 5-9-11; 5-9-12; 5-11-12,0,0,0,0,700,-700,settled,1,6,5,4-5-14
202609010811,阪神,11,レース,D,trio,3-7-8; 3-7-13; 4-7-8; 4-7-13; 7-8-9; 7-8-13; 7-9-13,0,0,0,0,700,-700,settled,12,3,13,8-12-14
202609010812,阪神,12,レース,D,trio,4-7-8; 4-8-9; 5-7-8; 5-8-9; 7-8-9; 7-8-13; 8-9-13,1,1910,0,0,700,1210,settled,2,8,3,5-7-8
